# Matter power spectrum P(k) at redshift z=0
# for k=1.1519e-05 to 1.08359 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.151903613141e-05       3.412565318894e+01 
       2.437064232656e-05       7.038470092066e+01 
       3.727014183447e-05       1.060963735476e+02 
       5.025209203817e-05       1.416039750113e+02 
       6.335164477459e-05       1.771121465161e+02 
       7.660485835465e-05       2.127780669218e+02 
       9.004901985345e-05       2.487381654607e+02 
       1.037229819261e-04       2.851194324394e+02 
       1.176675184381e-04       3.220452627469e+02 
       1.319257032320e-04       3.596390975178e+02 
       1.465433163544e-04       3.980269910329e+02 
       1.615692820043e-04       4.373396363923e+02 
       1.770561422776e-04       4.777141225767e+02 
       1.930605704076e-04       5.192955636500e+02 
       2.096439265316e-04       5.622386538328e+02 
       2.268728579319e-04       6.067092257747e+02 
       2.448199440223e-04       6.528858310193e+02 
       2.635643838808e-04       7.009613023100e+02 
       2.831927205727e-04       7.511443583643e+02 
       3.037995915681e-04       8.036611596393e+02 
       3.254884878368e-04       8.587567988960e+02 
       3.483724953218e-04       9.166966413513e+02 
       3.725749810827e-04       9.777674085410e+02 
       3.982301722124e-04       1.042277878949e+03 
       4.254835587139e-04       1.110558992824e+03 
       4.544920324074e-04       1.182963190088e+03 
       4.854236539936e-04       1.259862650357e+03 
       5.184569221524e-04       1.341646188833e+03 
       5.537794060797e-04       1.428714470629e+03 
       5.915856019380e-04       1.521473250460e+03 
       6.320738915689e-04       1.620324421130e+03 
       6.754425262399e-04       1.725654798119e+03 
       7.218846354116e-04       1.837822774090e+03 
       7.715823721171e-04       1.957143261846e+03 
       8.247004458562e-04       2.083871736274e+03 
       8.813794429871e-04       2.218188452562e+03 
       9.417294641513e-04       2.360184287028e+03 
       1.005824682281e-03       2.509849621731e+03 
       1.073699410446e-03       2.667067644779e+03 
       1.145346149497e-03       2.831613224949e+03 
       1.220715871047e-03       3.003157439606e+03 
       1.299720520012e-03       3.181277820875e+03 
       1.382237449956e-03       3.365458316361e+03 
       1.468115291702e-03       3.555139618633e+03 
       1.557180640850e-03       3.749728655468e+03 
       1.649244943924e-03       3.948600003986e+03 
       1.744111048301e-03       4.151123764426e+03 
       1.841579023127e-03       4.356680600547e+03 
       1.941451018295e-03       4.564673350084e+03 
       2.043535074889e-03       4.774536246648e+03 
       2.147647914675e-03       4.985740366446e+03 
       2.253616811950e-03       5.197797665173e+03 
