# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.538872536036e-10       4.308840537210e-15       3.243953317015e-13       2.217980977323e-19       7.749571171406e-09       5.418129581466e-10      -1.847791041394e-12 
    3       1.430525094068e-10       5.351016071057e-15       3.758343007340e-13       4.436871852708e-19       4.766001493716e-09       3.801340502791e-10      -1.373345631115e-12 
    4       1.335123641171e-10       4.442950037625e-15       3.558260013609e-13       7.396790852134e-19       3.306611200826e-09       2.861948976355e-10      -8.686700022333e-13 
    5       1.264404859820e-10       2.838412046950e-15       3.046058823945e-13       1.109890277686e-18       2.464012847240e-09       2.252497732426e-10      -4.536371480578e-13 
    6       1.214998985114e-10       1.539361333593e-15       2.458494854986e-13       1.554462310880e-18       1.922277146896e-09       1.828639349515e-10      -1.586409004079e-13 
    7       1.182049096233e-10       8.424796855805e-16       1.933834593168e-13       2.073559275066e-18       1.549191015042e-09       1.519588193757e-10       1.876986953471e-14 
    8       1.160816423016e-10       5.707367256956e-16       1.533283418244e-13       2.667364938789e-18       1.279173480461e-09       1.285769173593e-10       9.878170112215e-14 
    9       1.148444454200e-10       4.655379255004e-16       1.270375146662e-13       3.336079628781e-18       1.076278751433e-09       1.104015331224e-10       1.097577376600e-13 
   10       1.142998743931e-10       3.907537398190e-16       1.130112114155e-13       4.079916941080e-18       9.193208689375e-10       9.600992522612e-11       8.118560967215e-14 
   11       1.142272948327e-10       3.278603491590e-16       1.085025830280e-13       4.899100373870e-18       7.882684060878e-10       8.512742653621e-11       3.886558630972e-14 
   12       1.145434711869e-10       2.939658440889e-16       1.105478920883e-13       5.793859972436e-18       6.892802146275e-10       7.541328595940e-11      -1.055167588261e-16 
   13       1.151549032340e-10       2.913815264959e-16       1.164956176254e-13       6.764429073584e-18       6.079373890070e-10       6.718616668204e-11      -2.583925366634e-14 
   14       1.160061636291e-10       3.083005229050e-16       1.243426143800e-13       7.811041230841e-18       5.402059324548e-10       6.032174175979e-11      -3.582763632739e-14 
   15       1.170684107539e-10       3.368403519900e-16       1.328190857706e-13       8.933927393173e-18       4.831582957699e-10       5.447468457196e-11      -3.312172693976e-14 
   16       1.182679269027e-10       3.793140182676e-16       1.414691133422e-13       1.013331339902e-17       4.346182204826e-10       4.936610768056e-11      -2.332227643200e-14 
   17       1.196615588538e-10       4.415361750214e-16       1.502185788578e-13       1.140941783469e-17       3.929492882866e-10       4.493963439456e-11      -1.192795693599e-14 
   18       1.211358203740e-10       5.259422928274e-16       1.591992610335e-13       1.276245013388e-17       3.567645583652e-10       4.104712786744e-11      -3.421016448938e-15 
   19       1.227009211973e-10       6.315703567996e-16       1.686386326329e-13       1.419261004488e-17       3.254845037029e-10       3.764892013493e-11       5.585416272843e-16 
   20       1.243680897530e-10       7.559884654088e-16       1.787171850074e-13       1.570008499043e-17       2.979231677285e-10       3.466612595827e-11      -3.366691323873e-16 
   21       1.261273042117e-10       8.991910661685e-16       1.892176594181e-13       1.728505195883e-17       2.736503009811e-10       3.204584196446e-11      -4.603643941438e-15 
   22       1.279324530012e-10       1.061653035477e-15       1.997301852466e-13       1.894767472180e-17       2.520841689599e-10       2.970057807679e-11      -9.744400644283e-15 
   23       1.298013773269e-10       1.243332722180e-15       2.099719418273e-13       2.068810733912e-17       2.329379405760e-10       2.760109671565e-11      -1.400805239316e-14 
   24       1.317470764871e-10       1.444055975374e-15       2.196581944692e-13       2.250649091409e-17       2.157764722284e-10       2.570927979809e-11      -1.596033871040e-14 
   25       1.337575093537e-10       1.664970012952e-15       2.284926744200e-13       2.440295755962e-17       2.003686046103e-10       2.399631994602e-11      -1.565148123962e-14 
   26       1.358001386214e-10       1.907719603635e-15       2.361997675376e-13       2.637762819184e-17       1.864145066126e-10       2.242325724040e-11      -1.375327778124e-14 
   27       1.378842570229e-10       2.173943487637e-15       2.427592297671e-13       2.843062060655e-17       1.738426659783e-10       2.098814647135e-11      -1.100520864549e-14 
   28       1.400170469340e-10       2.465385933143e-15       2.482699048172e-13       3.056204234744e-17       1.625015087109e-10       1.968602002134e-11      -8.368201839813e-15 
   29       1.421912791552e-10       2.783803954008e-15       2.528561555989e-13       3.277199087517e-17       1.521166588667e-10       1.849840356223e-11      -6.832171520099e-15 
