# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.360314555234e-10       4.162875016195e-15       3.669752900084e-13       0.000000000000e+00       8.464148740445e-09       4.390572419459e-10      -1.836961065391e-12 
    3       1.285247010357e-10       5.363674716857e-15       4.071131067166e-13       0.000000000000e+00       5.182445503533e-09       3.101816906030e-10      -1.397070370241e-12 
    4       1.216353049832e-10       4.677596916661e-15       3.777203100293e-13       0.000000000000e+00       3.587610235267e-09       2.341329633840e-10      -9.207452661451e-13 
    5       1.165629322116e-10       3.149194829121e-15       3.198766027895e-13       0.000000000000e+00       2.669312777226e-09       1.844257033809e-10      -5.176856723240e-13 
    6       1.131235082115e-10       1.773280924439e-15       2.564855696869e-13       0.000000000000e+00       2.079874394279e-09       1.497076230883e-10      -2.186347011826e-13 
    7       1.109664600458e-10       9.563109715130e-16       2.005906994965e-13       0.000000000000e+00       1.674419697751e-09       1.242931773012e-10      -2.575458275309e-14 
    8       1.096978745902e-10       6.097646740071e-16       1.578297984352e-13       0.000000000000e+00       1.381305906609e-09       1.050407979874e-10       7.485688905352e-14 
    9       1.091477066502e-10       4.865754168388e-16       1.293288753459e-13       0.000000000000e+00       1.161318861284e-09       9.011114347738e-11       1.054553347613e-13 
   10       1.091436330457e-10       4.158864076380e-16       1.135318764150e-13       0.000000000000e+00       9.912958301363e-10       7.830104358912e-11       9.103330773508e-14 
   11       1.094999474438e-10       3.500035997676e-16       1.076813226622e-13       0.000000000000e+00       8.484225774542e-10       6.942814779878e-11       5.509150714909e-14 
   12       1.101468807963e-10       3.031339801576e-16       1.087607271094e-13       0.000000000000e+00       7.414338696347e-10       6.149776490033e-11       1.565930296608e-14 
   13       1.110421627047e-10       2.881439840277e-16       1.140208671977e-13       0.000000000000e+00       6.535928803410e-10       5.468939008425e-11      -1.578955343717e-14 
   14       1.121405527163e-10       2.984983254535e-16       1.213612908143e-13       0.000000000000e+00       5.804930225473e-10       4.906505944703e-11      -3.362615499525e-14 
   15       1.133731111453e-10       3.219203269022e-16       1.294528589731e-13       0.000000000000e+00       5.189601435133e-10       4.434610558462e-11      -3.793340108535e-14 
   16       1.147405105785e-10       3.546556860108e-16       1.376826249469e-13       0.000000000000e+00       4.666383556529e-10       4.019324972157e-11      -3.240083000352e-14 
   17       1.162435386025e-10       4.017059760893e-16       1.458849237161e-13       0.000000000000e+00       4.217470939806e-10       3.649880421628e-11      -2.197205298703e-14 
   18       1.178098011127e-10       4.691131055573e-16       1.542268226652e-13       0.000000000000e+00       3.827827821656e-10       3.328369162018e-11      -1.139510381754e-14 
   19       1.194607633447e-10       5.577249952565e-16       1.629440684341e-13       0.000000000000e+00       3.491171399102e-10       3.052932893630e-11      -3.426482081648e-15 
   20       1.211975725314e-10       6.659180079388e-16       1.722427838727e-13       0.000000000000e+00       3.194664953250e-10       2.811974283094e-11      -9.472504131977e-17 
   21       1.230048226643e-10       7.928342528264e-16       1.820968190467e-13       0.000000000000e+00       2.933643338278e-10       2.598499059565e-11      -1.089246894666e-15 
   22       1.248356970539e-10       9.375769867266e-16       1.923267669426e-13       0.000000000000e+00       2.701820784412e-10       2.404235966688e-11      -4.891013320536e-15 
   23       1.267143882082e-10       1.100390121706e-15       2.026203113028e-13       0.000000000000e+00       2.496090874056e-10       2.230567190800e-11      -9.756350315960e-15 
   24       1.286633702724e-10       1.281678940515e-15       2.125694484176e-13       0.000000000000e+00       2.311752843112e-10       2.078952905158e-11      -1.374336838478e-14 
   25       1.306702257608e-10       1.481494359502e-15       2.218402087709e-13       0.000000000000e+00       2.146306543211e-10       1.943818169166e-11      -1.599264033458e-14 
   26       1.326999201093e-10       1.699929901199e-15       2.301320692531e-13       0.000000000000e+00       1.996515636680e-10       1.816678414717e-11      -1.611135986601e-14 
   27       1.347623413506e-10       1.938530883170e-15       2.373627843055e-13       0.000000000000e+00       1.861603695895e-10       1.697973943592e-11      -1.447548027878e-14 
   28       1.368674344573e-10       2.199530359742e-15       2.435411987463e-13       0.000000000000e+00       1.739935417452e-10       1.590327450987e-11      -1.189732056716e-14 
   29       1.390114116064e-10       2.485207077268e-15       2.487092794026e-13       0.000000000000e+00       1.628555738958e-10       1.495146430310e-11      -9.328614216912e-15 
   30       1.411984926465e-10       2.796720784145e-15       2.529236723050e-13       0.000000000000e+00       1.526849681594e-10       1.410836356961e-11      -7.275551869688e-15 
   31       1.434240822736e-10       3.134809857008e-15       2.562718402729e-13       0.000000000000e+00       1.434061003908e-10       1.333594920970e-11      -6.168966266336e-15 
   32       1.456737961090e-10       3.500159681874e-15       2.588347363074e-13       0.000000000000e+00       1.348720292440e-10       1.259156262475e-11      -6.345862419319e-15 
   33       1.479465103979e-10       3.893701219038e-15       2.605298040765e-13       0.000000000000e+00       1.270362568045e-10       1.187954234085e-11      -7.445660543664e-15 
   34       1.502373746791e-10       4.316412084190e-15       2.612086667255e-13       0.000000000000e+00       1.198294119994e-10       1.121757574815e-11      -8.776380757703e-15 
   35       1.525371268419e-10       4.769221385435e-15       2.607154669453e-13       0.000000000000e+00       1.131442456067e-10       1.061969089775e-11      -9.634175961759e-15 
   36       1.548547265357e-10       5.252961512149e-15       2.589550033146e-13       0.000000000000e+00       1.069633945308e-10       1.008448051061e-11      -9.913754085869e-15 
   37       1.572011628742e-10       5.768392244103e-15       2.558465366642e-13       0.000000000000e+00       1.012674625875e-10       9.602158778533e-12      -9.703987178064e-15 
   38       1.595826804202e-10       6.316207317254e-15       2.513053304314e-13       0.000000000000e+00       9.599639177002e-11       9.157049735421e-12      -9.129692302310e-15 
   39       1.620009958746e-10       6.897058907224e-15       2.452608928245e-13       0.000000000000e+00       9.107112109619e-11       8.732219174001e-12      -8.342279210262e-15 
   40       1.644555215439e-10       7.511652946216e-15       2.377199727459e-13       0.000000000000e+00       8.647657154317e-11       8.326472613172e-12      -7.481253874280e-15 
   41       1.669408782161e-10       8.160678169748e-15       2.287245034093e-13       0.000000000000e+00       8.220067777535e-11       7.942325934703e-12      -6.704133235467e-15 
   42       1.694455928907e-10       8.844776985251e-15       2.183359697186e-13       0.000000000000e+00       7.820962836069e-11       7.581277251989e-12      -6.199152508086e-15 
   43       1.719570340593e-10       9.564549804102e-15       2.066098584972e-13       0.000000000000e+00       7.446037217788e-11       7.243832256998e-12      -6.130609136167e-15 
   44       1.744793630041e-10       1.032057592197e-14       1.935068872216e-13       0.000000000000e+00       7.094712675572e-11       6.929836432019e-12      -6.450265805487e-15 
   45       1.770202501342e-10       1.111339468763e-14       1.789559474394e-13       0.000000000000e+00       6.766629106641e-11       6.638070867950e-12      -7.030175909576e-15 
   46       1.795856770303e-10       1.194349695182e-14       1.628777742276e-13       0.000000000000e+00       6.460248073137e-11       6.366038710715e-12      -7.712303277399e-15 
   47       1.821797326020e-10       1.281132286545e-14       1.451843582059e-13       0.000000000000e+00       6.172760942291e-11       6.109869348586e-12      -8.306750121465e-15 
   48       1.848046173807e-10       1.371725417221e-14       1.257942636043e-13       0.000000000000e+00       5.900953224015e-11       5.865453278619e-12      -8.641682132449e-15 
   49       1.874611334579e-10       1.466159365456e-14       1.046850604551e-13       0.000000000000e+00       5.644300035785e-11       5.632448557680e-12      -8.733880248942e-15 
