# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.476358914228e-10       4.265714300814e-15       3.432624717683e-13       2.254392518507e-19       8.010167653596e-09       5.091160902838e-10      -1.844054807520e-12 
    3       1.378308085160e-10       5.365650143034e-15       3.899594332194e-13       4.509686585793e-19       4.914143352841e-09       3.574743421779e-10      -1.382214301400e-12 
    4       1.291670840821e-10       4.533330934526e-15       3.654461307781e-13       7.518131291728e-19       3.406714842794e-09       2.691053833660e-10      -8.874534599272e-13 
    5       1.227682456135e-10       2.950292645320e-15       3.108580123961e-13       1.128088332013e-18       2.537578583895e-09       2.117221352438e-10      -4.762996988559e-13 
    6       1.183636073834e-10       1.620172518097e-15       2.497701165346e-13       1.579935045421e-18       1.979121691352e-09       1.717777571982e-10      -1.794144274719e-13 
    7       1.154594820738e-10       8.805770127139e-16       1.957356791821e-13       2.107516774388e-18       1.594550203412e-09       1.426100910784e-10       3.887120307475e-15 
    8       1.136477443457e-10       5.843597860517e-16       1.546140588558e-13       2.711017038847e-18       1.316250706240e-09       1.205661492816e-10       9.141987861837e-14 
    9       1.126772268879e-10       4.744363517913e-16       1.275342311401e-13       3.390636406164e-18       1.107208842789e-09       1.034764260417e-10       1.092994141220e-13 
   10       1.123118849636e-10       4.013520502623e-16       1.129634661068e-13       4.146589346209e-18       9.455329043804e-10       8.993589890767e-11       8.543735923988e-14 
   11       1.124014380721e-10       3.370825309199e-16       1.081395433048e-13       4.979100990602e-18       8.103910024261e-10       7.966253937285e-11       4.490657236161e-14 
   12       1.128476523757e-10       2.987845909444e-16       1.099726150813e-13       5.888403878293e-18       7.084815191191e-10       7.052096387468e-11       5.317724436942e-15 
   13       1.135792720385e-10       2.925666057061e-16       1.156897801288e-13       6.874734767599e-18       6.247735142307e-10       6.286182894386e-11      -2.268528834309e-14 
   14       1.145111556601e-10       3.078056859236e-16       1.233071407673e-13       7.938331590351e-18       5.550801555360e-10       5.636233771703e-11      -3.568567884187e-14 
   15       1.156351071139e-10       3.346212270065e-16       1.316409327809e-13       9.079430616916e-18       4.963867982268e-10       5.087515804814e-11      -3.539855228047e-14 
   16       1.169378386585e-10       3.734577275195e-16       1.401006131964e-13       1.029826389202e-17       4.464590048950e-10       4.613512085132e-11      -2.671785437900e-14 
   17       1.183340509167e-10       4.304071202332e-16       1.485575609134e-13       1.159505699064e-17       4.036086236972e-10       4.198711880659e-11      -1.523811085038e-14 
   18       1.198393510687e-10       5.092887752671e-16       1.572784440063e-13       1.297002699721e-17       3.664033319346e-10       3.833663418060e-11      -5.747465477305e-15 
   19       1.214676386485e-10       6.095427196273e-16       1.664764416660e-13       1.442338167128e-17       3.342453953294e-10       3.516107489479e-11      -2.820004413025e-16 
   20       1.231638960202e-10       7.287156388197e-16       1.762717713366e-13       1.595531685337e-17       3.059141403084e-10       3.237592296693e-11       2.853728957636e-16 
   21       1.249334373098e-10       8.665718008844e-16       1.865509380193e-13       1.756601779222e-17       2.809662878748e-10       2.992067094870e-11      -2.929531561891e-15 
   22       1.267685402487e-10       1.023286457707e-15       1.970433181341e-13       1.925565643725e-17       2.588029459026e-10       2.770526572516e-11      -7.752427850267e-15 
   23       1.286656917700e-10       1.198870325447e-15       2.073928526697e-13       2.102439438096e-17       2.391288390128e-10       2.571654085823e-11      -1.245328192102e-14 
   24       1.306030018129e-10       1.393223216637e-15       2.171773407773e-13       2.287237969495e-17       2.214963824187e-10       2.393817603299e-11      -1.542001488692e-14 
   25       1.325889141400e-10       1.607037320172e-15       2.261091731280e-13       2.479975039904e-17       2.056677186512e-10       2.233575622925e-11      -1.622745007822e-14 
   26       1.346269971042e-10       1.841383725769e-15       2.339641784329e-13       2.680663230565e-17       1.913343844326e-10       2.085797480740e-11      -1.499289349143e-14 
   27       1.367248694055e-10       2.097964951235e-15       2.407213113327e-13       2.889314667948e-17       1.784224381621e-10       1.950504243226e-11      -1.239704260435e-14 
   28       1.388732552097e-10       2.378864668215e-15       2.464583374570e-13       3.105940319605e-17       1.667755534881e-10       1.828119218413e-11      -9.532716679953e-15 
   29       1.410480829275e-10       2.686175916888e-15       2.512776073005e-13       3.330550012834e-17       1.561112273553e-10       1.717736383830e-11      -7.560539990538e-15 
   30       1.432533700201e-10       3.021032690164e-15       2.551939003428e-13       3.563153669223e-17       1.463710780177e-10       1.618355209298e-11      -6.679093310149e-15 
   31       1.454915988939e-10       3.384184273474e-15       2.582049054150e-13       3.803760457751e-17       1.374833676482e-10       1.527842669853e-11      -6.748220450217e-15 
   32       1.477562186929e-10       3.776306412643e-15       2.602968476527e-13       4.052378712951e-17       1.293081231100e-10       1.443364204722e-11      -7.531517476452e-15 
   33       1.500501323883e-10       4.198278587954e-15       2.613618572480e-13       4.309016923785e-17       1.218010002841e-10       1.364567702578e-11      -8.655470556482e-15 
   34       1.523716784309e-10       4.650995788456e-15       2.612480605966e-13       4.573683065308e-17       1.148955913554e-10       1.291426598105e-11      -9.620552268548e-15 
   35       1.547141017491e-10       5.135317908940e-15       2.598032542692e-13       4.846384525728e-17       1.084892300364e-10       1.223546834632e-11      -9.945010833937e-15 
   36       1.570845799150e-10       5.652162686300e-15       2.569583005075e-13       5.127128803596e-17       1.025653908118e-10       1.160837801388e-11      -9.656427950367e-15 
   37       1.594903030199e-10       6.202438718080e-15       2.526718487095e-13       5.415923043627e-17       9.710563340583e-11       1.102994895168e-11      -8.969907959777e-15 
   38       1.619325456089e-10       6.787017273636e-15       2.469086962419e-13       5.712773854246e-17       9.205259904561e-11       1.049270356313e-11      -8.163572731442e-15 
   39       1.644082251129e-10       7.406711476206e-15       2.396457857660e-13       6.017687324410e-17       8.733072207016e-11       9.987421502220e-12      -7.517722718118e-15 
   40       1.669169096719e-10       8.062212116037e-15       2.308918001886e-13       6.330669076767e-17       8.292559591869e-11       9.513289641853e-12      -7.096508459747e-15 
   41       1.694550343797e-10       8.754125265183e-15       2.206748393571e-13       6.651724235519e-17       7.882565732494e-11       9.070538175718e-12      -6.899283680205e-15 
   42       1.720133349900e-10       9.482984286170e-15       2.090381251397e-13       6.980857415749e-17       7.499850155409e-11       8.657481975496e-12      -6.918972531282e-15 
   43       1.745812256163e-10       1.024927948721e-14       1.960160130324e-13       7.318072500295e-17       7.140287537596e-11       8.271327084797e-12      -7.136689090208e-15 
   44       1.771628145642e-10       1.105356810538e-14       1.815512277656e-13       7.663371880474e-17       6.803327384596e-11       7.911290339906e-12      -7.504836297895e-15 
   45       1.797649917606e-10       1.189639152417e-14       1.655531455951e-13       8.016756983442e-17       6.488629666485e-11       7.576168104667e-12      -7.957851159095e-15 
   46       1.823927459315e-10       1.277824239166e-14       1.479195642298e-13       8.378228466479e-17       6.194725841910e-11       7.263341947773e-12      -8.415793231491e-15 
   47       1.850489472124e-10       1.369956255981e-14       1.285359210051e-13       8.747786205563e-17       5.918930857105e-11       6.968671843322e-12      -8.783512793237e-15 
   48       1.877348033907e-10       1.466072955777e-14       1.072986238221e-13       9.125429060396e-17       5.658170269502e-11       6.687718799356e-12      -8.978241829582e-15 
   49       1.904518879581e-10       1.566201631136e-14       8.419464520569e-14       9.511154117812e-17       5.411942662041e-11       6.420069485047e-12      -9.023504930648e-15 
   50       1.932003102414e-10       1.670361652845e-14       5.924302157100e-14       9.904957215459e-17       5.180041101616e-11       6.166047169523e-12      -8.980251544283e-15 
   51       1.959779131661e-10       1.778565259288e-14       3.247313675977e-14       1.030683312446e-16       4.961670629409e-11       5.925450716646e-12      -8.921347529422e-15 
