# Matter power spectrum P(k) at redshift z=0
# for k=1.04833e-05 to 1.10768 h/Mpc,
# number of wavenumbers equal to 550
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048329706765e-05       4.760571830775e+01 
       2.333253499707e-05       1.031150459674e+02 
       3.622689499562e-05       1.577233719837e+02 
       4.920089987823e-05       2.119886216996e+02 
       6.228964206131e-05       2.662327966678e+02 
       7.552909493917e-05       3.206997642219e+02 
       8.895643418821e-05       3.755996719120e+02 
       1.026103732523e-04       4.311272122508e+02 
       1.165315172956e-04       4.874710305249e+02 
       1.307627399419e-04       5.448194546314e+02 
       1.453495871265e-04       6.033645098244e+02 
       1.603407123316e-04       6.633050611465e+02 
       1.757883472986e-04       7.248495209935e+02 
       1.917488119587e-04       7.882183315577e+02 
       2.082830666793e-04       8.536463583367e+02 
       2.254573088793e-04       9.213852662323e+02 
       2.433436144491e-04       9.917059008706e+02 
       2.620206220080e-04       1.064900705619e+03 
       2.815742545801e-04       1.141286140547e+03 
       3.020984684499e-04       1.221205071262e+03 
       3.236960123980e-04       1.305029049838e+03 
       3.464791718253e-04       1.393160385162e+03 
       3.705704610763e-04       1.486033837699e+03 
       3.961032133161e-04       1.584117738895e+03 
       4.232220006040e-04       1.687914264169e+03 
       4.520827978318e-04       1.797958519941e+03 
       4.828527842436e-04       1.914816051543e+03 
       5.157096577352e-04       2.039078316028e+03 
       5.508403240074e-04       2.171355642123e+03 
       5.884388205263e-04       2.312267224520e+03 
       6.287033513148e-04       2.462427807266e+03 
       6.718323506111e-04       2.622430891593e+03 
       7.180195678530e-04       2.792828638815e+03 
       7.674482753935e-04       2.974109075063e+03 
       8.202848379319e-04       3.166671721142e+03 
       8.766720318863e-04       3.370803298322e+03 
       9.367226353566e-04       3.586655590526e+03 
       1.000513889165e-03       3.814227828509e+03 
       1.068083423201e-03       4.053355680160e+03 
       1.139427131507e-03       4.303708627914e+03 
       1.214499271722e-03       4.564796348476e+03 
       1.293214795808e-03       4.835984050752e+03 
       1.375453645708e-03       5.116494935095e+03 
       1.461066528282e-03       5.405474786845e+03 
       1.549881560352e-03       5.702025685688e+03 
       1.641711160263e-03       6.005194044020e+03 
       1.736358641613e-03       6.314018181409e+03 
       1.833624103738e-03       6.627550229263e+03 
       1.933309373286e-03       6.944874963327e+03 
       2.035221899505e-03       7.265123808810e+03 
       2.139177623039e-03       7.587484042676e+03 
       2.245002916819e-03       7.911205330748e+03 
       2.352535740443e-03       8.235601471983e+03 
       2.461626163644e-03       8.560050764134e+03 
       2.572136409026e-03       8.883994145611e+03 
       2.683940547395e-03       9.206931563686e+03 
       2.796923957059e-03       9.528419056028e+03 
       2.910982635718e-03       9.848063196618e+03 
       3.026022432540e-03       1.016551846438e+04 
       3.141958249984e-03       1.048048066845e+04 
       3.258713250217e-03       1.079268519393e+04 
       3.376218089435e-03       1.110190043928e+04 
       3.494410194722e-03       1.140792655731e+04 
       3.613233091664e-03       1.171058997075e+04 
       3.732635786413e-03       1.200974375138e+04 
       3.852572202772e-03       1.230525976805e+04 
       3.973000672804e-03       1.259703235631e+04 
       4.093883478195e-03       1.288496978242e+04 
       4.215186438884e-03       1.316900041574e+04 
       4.336878545093e-03       1.344905928004e+04 
       4.458931628858e-03       1.372510251529e+04 
       4.581320071198e-03       1.399708845921e+04 
       4.704020541296e-03       1.426498796724e+04 
       4.827011764277e-03       1.452876632822e+04 
       4.950274314480e-03       1.478844825980e+04 
       5.073790431381e-03       1.504398303163e+04 
       5.197543855632e-03       1.529538354129e+04 
       5.321519682918e-03       1.554269614507e+04 
       5.445704233616e-03       1.578545164139e+04 
       5.570084936434e-03       1.602436709858e+04 
       5.694650224435e-03       1.625924320629e+04 
       5.819389442044e-03       1.649015586338e+04 
       5.944292761770e-03       1.671704053612e+04 
       6.069351109557e-03       1.693986093706e+04 
       6.194556097781e-03       1.715880973359e+04 
       6.319899965053e-03       1.737386807094e+04 
       6.445375522048e-03       1.758506367019e+04 
       6.570976102724e-03       1.779200679490e+04 
       6.696695520319e-03       1.799504941481e+04 
       6.822528027622e-03       1.819410704796e+04 
       6.948468281050e-03       1.838963548099e+04 
       7.074511308138e-03       1.858133375164e+04 
       7.200652478070e-03       1.876926022371e+04 
       7.326887474943e-03       1.895335378549e+04 
       7.453212273482e-03       1.913375870389e+04 
       7.579623116947e-03       1.931064598764e+04 
       7.706116497022e-03       1.948427953667e+04 
       7.832689135486e-03       1.965394155440e+04 
       7.959337967477e-03       1.982003380429e+04 
       8.086060126214e-03       1.998263987731e+04 
       8.212852929021e-03       2.014179887452e+04 
       8.339713864532e-03       2.029751549732e+04 
       8.466640580967e-03       2.044983480110e+04 
       8.593630875383e-03       2.059879317184e+04 
       8.720682683794e-03       2.074444145379e+04 
       8.847794072106e-03       2.088679269961e+04 
       8.974963227767e-03       2.102586947369e+04 
       9.102188452083e-03       2.116177723333e+04 
       9.229468153145e-03       2.129445148051e+04 
       9.356800839295e-03       2.142399126904e+04 
       9.484185113104e-03       2.155044822363e+04 
       9.611619665810e-03       2.167329801281e+04 
       9.739103272171e-03       2.179414219554e+04 
       9.866634785713e-03       2.191145772716e+04 
       9.994213134324e-03       2.202584367102e+04 
       1.012183731618e-02       2.213719061927e+04 
       1.024950639596e-02       2.224566880458e+04 
       1.037721950137e-02       2.235133399510e+04 
       1.050497581983e-02       2.245404202093e+04 
       1.063277459555e-02       2.255404601755e+04 
       1.076061512664e-02       2.265118494185e+04 
       1.088849676257e-02       2.274558650860e+04 
       1.101641890172e-02       2.283727684104e+04 
       1.114438098914e-02       2.292630941412e+04 
       1.127238251449e-02       2.301267931786e+04 
       1.140042301003e-02       2.309642388215e+04 
       1.152850204889e-02       2.317756440914e+04 
       1.165661924332e-02       2.325615111115e+04 
       1.178477424318e-02       2.333219666249e+04 
       1.191296673445e-02       2.340573390673e+04 
       1.204119643790e-02       2.347680245913e+04 
       1.216946310781e-02       2.354539828849e+04 
       1.229776653082e-02       2.361167373943e+04 
       1.242610652482e-02       2.367542574795e+04 
       1.255448293796e-02       2.373685946356e+04 
       1.268289564771e-02       2.379597068313e+04 
       1.281134455999e-02       2.385281050822e+04 
       1.293982960835e-02       2.390734382847e+04 
       1.306835075324e-02       2.395969721493e+04 
       1.319690798132e-02       2.400973318768e+04 
       1.332550130480e-02       2.405754849358e+04 
       1.345413076090e-02       2.410326416713e+04 
       1.358279641126e-02       2.414685945665e+04 
       1.371149834148e-02       2.418829165516e+04 
       1.384023666065e-02       2.422759620501e+04 
       1.396901150093e-02       2.426485154859e+04 
       1.409782301722e-02       2.430009870057e+04 
       1.422667138674e-02       2.433331492381e+04 
