# Matter power spectrum P(k) at redshift z=0
# for k=1.05546e-05 to 1.13498 h/Mpc,
# number of wavenumbers equal to 551
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055459680993e-05       4.683273632966e+01 
       2.340399071077e-05       1.010768075924e+02 
       3.629869740213e-05       1.544448267163e+02 
       4.927324201557e-05       2.074796903427e+02 
       6.236272099386e-05       2.604954494203e+02 
       7.560311351076e-05       3.137301904865e+02 
       8.903160284226e-05       3.673891836694e+02 
       1.026869119427e-04       4.216626628493e+02 
       1.166096575120e-04       4.767349937953e+02 
       1.308427268739e-04       5.327902563707e+02 
       1.454316819906e-04       5.900161640861e+02 
       1.604251948834e-04       6.486071330418e+02 
       1.758755185537e-04       7.087669251588e+02 
       1.918389971408e-04       7.707110752687e+02 
       2.083766184095e-04       8.346692302665e+02 
       2.255546106157e-04       9.008874697391e+02 
       2.434450841721e-04       9.696306368999e+02 
       2.621267161320e-04       1.041184699135e+03 
       2.816854720499e-04       1.115859113225e+03 
       3.022153549482e-04       1.193989160047e+03 
       3.238191645485e-04       1.275938173354e+03 
       3.466092412204e-04       1.362099561943e+03 
       3.707081578911e-04       1.452898462170e+03 
       3.962493091813e-04       1.548792829406e+03 
       4.233773303128e-04       1.650273698192e+03 
       4.522482593470e-04       1.757864280246e+03 
       4.830293363571e-04       1.872117516836e+03 
       5.158983146464e-04       1.993611640844e+03 
       5.510421460323e-04       2.122943274467e+03 
       5.886549001855e-04       2.260717627290e+03 
       6.289347942011e-04       2.407535461640e+03 
       6.720802507571e-04       2.563976657426e+03 
       7.182849778300e-04       2.730580546477e+03 
       7.677321720685e-04       2.907823626531e+03 
       8.205880856270e-04       3.096095741400e+03 
       8.769953454971e-04       3.295676356903e+03 
       9.370665466121e-04       3.506712958210e+03 
       1.000878719436e-03       3.729203867203e+03 
       1.068469265950e-03       3.962987549910e+03 
       1.139833846558e-03       4.207740089588e+03 
       1.214926492171e-03       4.462981460075e+03 
       1.293661946812e-03       4.728090548850e+03 
       1.375919973007e-03       5.002307330682e+03 
       1.461551133285e-03       5.284797097875e+03 
       1.550383438291e-03       5.574681121879e+03 
       1.642229238082e-03       5.871027858589e+03 
       1.736891812928e-03       6.172897159705e+03 
       1.834171259057e-03       6.479362763910e+03 
       1.933869424560e-03       6.789530397800e+03 
       2.035793798838e-03       7.102551413807e+03 
       2.139760375910e-03       7.417631794913e+03 
       2.245595590525e-03       7.734038492809e+03 
       2.353137468606e-03       8.051101202515e+03 
       2.462236147640e-03       8.368212646567e+03 
       2.572753917143e-03       8.684826816025e+03 
       2.684564912386e-03       9.000454966345e+03 
       2.797554572661e-03       9.314663805212e+03 
       2.911618952547e-03       9.627068886901e+03 
       3.026663953707e-03       9.937332841368e+03 
       3.142604526651e-03       1.024515859348e+04 
       3.259363877245e-03       1.055028756793e+04 
       3.376872701246e-03       1.085249366337e+04 
       3.495068461412e-03       1.115158175472e+04 
       3.613894715426e-03       1.144738235570e+04 
       3.733300498256e-03       1.173975180470e+04 
       3.853239759546e-03       1.202856528981e+04 
       3.973670854515e-03       1.231371931636e+04 
       4.094556085597e-03       1.259512481777e+04 
       4.215861291315e-03       1.287271062970e+04 
       4.337555478546e-03       1.314641580694e+04 
       4.459610494262e-03       1.341619417456e+04 
       4.582000732881e-03       1.368200751010e+04 
       4.704702875623e-03       1.394382661385e+04 
       4.827695658432e-03       1.420164054540e+04 
       4.950959665381e-03       1.445543194734e+04 
       5.074477144721e-03       1.470516553465e+04 
       5.198231845017e-03       1.495085233759e+04 
       5.322208869104e-03       1.519236052147e+04 
       5.446394543822e-03       1.542991526694e+04 
       5.570776303734e-03       1.566342984441e+04 
       5.695342587212e-03       1.589293587141e+04 
       5.820082743502e-03       1.611848603979e+04 
       5.944986949496e-03       1.634020169049e+04 
       6.070046135128e-03       1.655797217538e+04 
       6.195251916415e-03       1.677211804399e+04 
       6.320596535286e-03       1.698222900564e+04 
       6.446072805455e-03       1.718854534736e+04 
       6.571674063658e-03       1.739084300636e+04 
       6.697394125681e-03       1.758926033886e+04 
       6.823227246650e-03       1.778389690950e+04 
       6.949168085131e-03       1.797493361493e+04 
       7.075211670635e-03       1.816224786315e+04 
       7.201353374165e-03       1.834596912651e+04 
       7.327588881499e-03       1.852581138951e+04 
       7.453914168912e-03       1.870217283464e+04 
       7.580325481096e-03       1.887497779239e+04 
       7.706819311064e-03       1.904459789501e+04 
       7.833392381824e-03       1.921039835134e+04 
       7.960041629655e-03       1.937270734545e+04 
       8.086764188837e-03       1.953163019694e+04 
       8.213557377678e-03       1.968716110714e+04 
       8.340418685731e-03       1.983933554035e+04 
       8.467345762071e-03       1.998818396268e+04 
       8.594336404553e-03       2.013376928571e+04 
       8.721388549939e-03       2.027610407175e+04 
       8.848500264829e-03       2.041523011375e+04 
       8.975669737326e-03       2.055113497414e+04 
       9.102895269348e-03       2.068394580126e+04 
       9.230175269560e-03       2.081363046919e+04 
       9.357508246844e-03       2.094023891555e+04 
       9.484892804278e-03       2.106379073215e+04 
       9.612327633578e-03       2.118435498971e+04 
       9.739811509952e-03       2.130197217929e+04 
       9.867343287350e-03       2.141658248458e+04 
       9.994921894063e-03       2.152832065585e+04 
       1.012254632865e-02       2.163717723669e+04 
       1.025021565614e-02       2.174318136758e+04 
       1.037792900458e-02       2.184643360063e+04 
       1.050568556173e-02       2.194681840662e+04 
       1.063348457208e-02       2.204453357959e+04 
