# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.568016267821e-10       4.342335906574e-15       3.356369913725e-13       0.000000000000e+00       7.764999420565e-09       5.540870863668e-10      -1.845193958676e-12 
    3       1.447455711034e-10       5.369125193521e-15       3.852307586756e-13       0.000000000000e+00       4.764469183972e-09       3.871386493173e-10      -1.369469217462e-12 
    4       1.345332098466e-10       4.440132101174e-15       3.618220476285e-13       0.000000000000e+00       3.306970623011e-09       2.906159546568e-10      -8.631355785098e-13 
    5       1.270764543142e-10       2.825909506618e-15       3.075093022799e-13       0.000000000000e+00       2.466095080844e-09       2.281834688755e-10      -4.476051693659e-13 
    6       1.219144992301e-10       1.527848720586e-15       2.465681512073e-13       0.000000000000e+00       1.924962291370e-09       1.848671096272e-10      -1.532816065062e-13 
    7       1.184861449077e-10       8.352251795980e-16       1.929022600738e-13       0.000000000000e+00       1.551854209341e-09       1.533589509907e-10       2.275936725731e-14 
    8       1.162693563180e-10       5.656839536153e-16       1.524433682455e-13       0.000000000000e+00       1.281628591853e-09       1.295760797655e-10       1.011691830623e-13 
    9       1.149690639774e-10       4.602205228748e-16       1.262480347568e-13       0.000000000000e+00       1.078473791407e-09       1.111098619371e-10       1.106990013452e-13 
   10       1.143894888889e-10       3.846083928543e-16       1.125598543448e-13       0.000000000000e+00       9.212696999464e-10       9.648148199042e-11       8.109843702049e-14 
   11       1.142654944905e-10       3.214895516338e-16       1.084390865812e-13       0.000000000000e+00       7.905153786917e-10       8.538700272266e-11       3.825327040228e-14 
   12       1.145561928332e-10       2.876853353530e-16       1.108061763414e-13       0.000000000000e+00       6.913071808951e-10       7.561156417132e-11      -6.577874054565e-16 
   13       1.151706075511e-10       2.848204882157e-16       1.169004577146e-13       0.000000000000e+00       6.097737566775e-10       6.727330031421e-11      -2.612156132129e-14 
   14       1.159938822855e-10       3.009675392882e-16       1.247626787229e-13       0.000000000000e+00       5.418715117091e-10       6.032618570380e-11      -3.571356792587e-14 
   15       1.170425609824e-10       3.285219151993e-16       1.332303257482e-13       0.000000000000e+00       4.846721584782e-10       5.445027937120e-11      -3.260051281347e-14 
   16       1.182601825468e-10       3.701602258525e-16       1.417375151654e-13       0.000000000000e+00       4.360002338291e-10       4.928454220566e-11      -2.263565150176e-14 
   17       1.196064075760e-10       4.318624544345e-16       1.503508752273e-13       0.000000000000e+00       3.942133865338e-10       4.479531913381e-11      -1.135455227392e-14 
   18       1.210790654080e-10       5.157046447047e-16       1.593420750166e-13       0.000000000000e+00       3.579228656223e-10       4.088134656428e-11      -3.103918602963e-15 
   19       1.226802274816e-10       6.206149025291e-16       1.688584126319e-13       0.000000000000e+00       3.265483873661e-10       3.749043790874e-11       5.876390202026e-16 
   20       1.243524589184e-10       7.441996474142e-16       1.789433752796e-13       0.000000000000e+00       2.989019230358e-10       3.450912426812e-11      -5.206918335389e-16 
   21       1.261008360736e-10       8.865772566614e-16       1.894441265128e-13       0.000000000000e+00       2.745525613372e-10       3.187147934578e-11      -4.884924678628e-15 
   22       1.279181887219e-10       1.048348357006e-15       2.000637673496e-13       0.000000000000e+00       2.529172201703e-10       2.948982397922e-11      -9.998406579532e-15 
   23       1.298048994717e-10       1.229335940110e-15       2.104351235216e-13       0.000000000000e+00       2.337084153935e-10       2.736501433495e-11      -1.414663957000e-14 
   24       1.317425054612e-10       1.429167517982e-15       2.201343870697e-13       0.000000000000e+00       2.164899034295e-10       2.549157467683e-11      -1.595629300719e-14 
   25       1.337345077898e-10       1.649061483170e-15       2.288838318208e-13       0.000000000000e+00       2.010302527040e-10       2.380954163399e-11      -1.553046479767e-14 
   26       1.357770201541e-10       1.890827713900e-15       2.364803974023e-13       0.000000000000e+00       1.870291700209e-10       2.223240817579e-11      -1.358900066675e-14 
   27       1.378779574505e-10       2.156190492322e-15       2.429396455481e-13       0.000000000000e+00       1.744148976383e-10       2.076536412129e-11      -1.087430814929e-14 
   28       1.400311067741e-10       2.446965053519e-15       2.483902413511e-13       0.000000000000e+00       1.630351487768e-10       1.943346353487e-11      -8.331235374888e-15 
   29       1.422151908338e-10       2.764958809441e-15       2.529798874860e-13       0.000000000000e+00       1.526144475965e-10       1.824770847290e-11      -6.923707365155e-15 
   30       1.444334235906e-10       3.111341530593e-15       2.566932454245e-13       0.000000000000e+00       1.430959602397e-10       1.719456044619e-11      -6.685797636476e-15 
   31       1.466858082589e-10       3.487014859924e-15       2.594631332542e-13       0.000000000000e+00       1.344097379116e-10       1.623899119212e-11      -7.288763852756e-15 
