# Matter power spectrum P(k) at redshift z=0
# for k=1.05512e-05 to 1.13497 h/Mpc,
# number of wavenumbers equal to 551
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055120881674e-05       4.605618758151e+01 
       2.340059529221e-05       9.941772786772e+01 
       3.629528549549e-05       1.519172544602e+02 
       4.926980444794e-05       2.040889447374e+02 
       6.235924840086e-05       2.562417693785e+02 
       7.559959625325e-05       3.086099455106e+02 
       8.902803091984e-05       3.613954114738e+02 
       1.026832749029e-04       4.147853036229e+02 
       1.166059443541e-04       4.689609856416e+02 
       1.308389259458e-04       5.241035382344e+02 
       1.454277808788e-04       5.803976154459e+02 
       1.604211802930e-04       6.380344651825e+02 
       1.758713761796e-04       6.972145245491e+02 
       1.918347115272e-04       7.581498166324e+02 
       2.083721727985e-04       8.210662384947e+02 
       2.255499867839e-04       8.862058570401e+02 
       2.434402622555e-04       9.538291922441e+02 
       2.621216744400e-04       1.024217545728e+03 
       2.816801868708e-04       1.097675323405e+03 
       3.022098003492e-04       1.174532332188e+03 
       3.238133121758e-04       1.255145975134e+03 
       3.466030601086e-04       1.339903238201e+03 
       3.707016142907e-04       1.429222317826e+03 
       3.962423664230e-04       1.523553692075e+03 
       4.233699487264e-04       1.623380380605e+03 
       4.522403962611e-04       1.729217055337e+03 
       4.830209462110e-04       1.841607634429e+03 
       5.158893492483e-04       1.961120917443e+03 
       5.510325550007e-04       2.088343798392e+03 
       5.886446316115e-04       2.223871627955e+03 
       6.289237955578e-04       2.368295382599e+03 
       6.720684700708e-04       2.522185513070e+03 
       7.182723651014e-04       2.686072593463e+03 
       7.677186809002e-04       2.860425399933e+03 
       8.205736749741e-04       3.045627477548e+03 
       8.769799814192e-04       3.241953804953e+03 
       9.370502038756e-04       3.449549533827e+03 
       1.000861382806e-03       3.668413073687e+03 
       1.068450931019e-03       3.898385587119e+03 
       1.139814520023e-03       4.139148476619e+03 
       1.214906191496e-03       4.390229602320e+03 
       1.293640699340e-03       4.651017893050e+03 
       1.375897814600e-03       4.920765813477e+03 
       1.461528106658e-03       5.198652213390e+03 
       1.550359591197e-03       5.483812699698e+03 
       1.642204621516e-03       5.775330884649e+03 
       1.736866479461e-03       6.072281961964e+03 
       1.834145261406e-03       6.373754721076e+03 
       1.933842814419e-03       6.678869439377e+03 
       2.035766625991e-03       6.986791286273e+03 
       2.139732687604e-03       7.296739155474e+03 
       2.245567431068e-03       7.607991949320e+03 
       2.353108879153e-03       7.919890191644e+03 
       2.462207166129e-03       8.231836512052e+03 
       2.572724578332e-03       8.543293678109e+03 
       2.684535247970e-03       8.853781232558e+03 
       2.797524611437e-03       9.162872582490e+03 
       2.911588720612e-03       9.470189806436e+03 
       3.026633474664e-03       9.775400714582e+03 
       3.142573821818e-03       1.007821318715e+04 
       3.259332965868e-03       1.037837283902e+04 
       3.376841600688e-03       1.067565753297e+04 
       3.495037187344e-03       1.096987489765e+04 
       3.613863281994e-03       1.126085843242e+04 
       3.733268918236e-03       1.154846672903e+04 
       3.853208044488e-03       1.183257680222e+04 
       3.973639014869e-03       1.211308714060e+04 
       4.094524130827e-03       1.238990998708e+04 
       4.215829230002e-03       1.266297571382e+04 
       4.337523318481e-03       1.293222382834e+04 
       4.459578242525e-03       1.319760870451e+04 
       4.581968395918e-03       1.345909398658e+04 
       4.704670459305e-03       1.371664910397e+04 
       4.827663168118e-03       1.397019986416e+04 
       4.950927105968e-03       1.421981370639e+04 
       5.074444520688e-03       1.446548426166e+04 
       5.198199160468e-03       1.470718208916e+04 
       5.322176127803e-03       1.494485302074e+04 
       5.446361749227e-03       1.517869153091e+04 
       5.570743459023e-03       1.540857715458e+04 
