# Matter power spectrum P(k) at redshift z=0
# for k=1.02765e-05 to 1.03307 h/Mpc,
# number of wavenumbers equal to 547
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.027647540865e-05       5.103064681798e+01 
       2.312526713121e-05       1.117146967201e+02 
       3.601862773364e-05       1.713992674079e+02 
       4.899107336620e-05       2.307019410608e+02 
       6.207768482224e-05       2.899767295009e+02 
       7.531441878943e-05       3.494909754057e+02 
       8.873842896035e-05       4.094747001431e+02 
       1.023884012556e-04       4.701408107577e+02 
       1.163049074448e-04       5.316954800129e+02 
       1.305307814846e-04       5.943444501987e+02 
       1.451115229001e-04       6.582974375150e+02 
       1.600957314803e-04       7.237715788265e+02 
       1.755355773895e-04       7.909943933620e+02 
       1.914873104383e-04       8.602064972897e+02 
       2.080118116288e-04       9.316642208535e+02 
       2.251751890466e-04       1.005642203821e+03 
       2.430494185667e-04       1.082435994620e+03 
       2.617130274529e-04       1.162364691134e+03 
       2.812518154970e-04       1.245773583931e+03 
       3.017596035496e-04       1.333036765169e+03 
       3.233389927637e-04       1.424559626127e+03 
       3.461021092198e-04       1.520781121168e+03 
       3.701712974438e-04       1.622175630351e+03 
       3.956797124201e-04       1.729254196360e+03 
       4.227717430312e-04       1.842564842499e+03 
       4.516031809124e-04       1.962691604642e+03 
       4.823410287529e-04       2.090251845914e+03 
       5.151628235146e-04       2.225891357848e+03 
       5.502553367797e-04       2.370276730197e+03 
       5.878125120954e-04       2.524084486819e+03 
       6.280325148921e-04       2.687986589930e+03 
       6.711138120932e-04       2.862632196830e+03 
       7.172502723985e-04       3.048625721722e+03 
       7.666253866362e-04       3.246501979824e+03 
       8.194058447956e-04       3.456699541402e+03 
       8.757348556077e-04       3.679534133199e+03 
       9.357257275050e-04       3.915174349927e+03 
       9.994563107675e-04       4.163622260703e+03 
       1.066964895990e-03       4.424701242742e+03 
       1.138248054927e-03       4.698052948033e+03 
       1.213260703284e-03       4.983144213768e+03 
       1.291918396917e-03       5.279283545775e+03 
       1.374101599213e-03       5.585624903409e+03 
       1.459661436831e-03       5.901235232988e+03 
       1.548426335774e-03       6.225134360568e+03 
       1.640208913610e-03       6.556281487902e+03 
       1.734812581630e-03       6.893625577311e+03 
       1.832037449039e-03       7.236130421586e+03 
       1.931685280949e-03       7.582795219298e+03 
       2.033563410638e-03       7.932669902878e+03 
       2.137487624251e-03       8.284865551693e+03 
       2.243284115602e-03       8.638561032776e+03 
       2.350790651990e-03       8.993005807865e+03 
       2.459857106612e-03       9.347518876850e+03 
       2.570345507932e-03       9.701488615735e+03 
       2.682129739661e-03       1.005436768103e+04 
       2.795095003102e-03       1.040566986553e+04 
       2.909137130821e-03       1.075496459910e+04 
       3.024161819576e-03       1.110187334140e+04 
       3.140083832318e-03       1.144606315805e+04 
       3.256826204312e-03       1.178724426908e+04 
       3.374319476888e-03       1.212516288668e+04 
       3.492500973519e-03       1.245960027923e+04 
       3.611314126591e-03       1.279036640486e+04 
       3.730707858571e-03       1.311730002928e+04 
       3.850636018217e-03       1.344026086364e+04 
       3.971056870339e-03       1.375913307208e+04 
       4.091932636380e-03       1.407381692212e+04 
       4.213229082302e-03       1.438423222497e+04 
       4.334915149959e-03       1.469030982695e+04 
       4.456962628016e-03       1.499199962247e+04 
       4.579345858577e-03       1.528925703118e+04 
       4.702041475875e-03       1.558203936104e+04 
       4.825028173617e-03       1.587036311715e+04 
       4.948286497866e-03       1.615416362286e+04 
       5.071798662623e-03       1.643344509325e+04 
       5.195548385559e-03       1.670821338479e+04 
       5.319520741604e-03       1.697853307263e+04 
       5.443702032362e-03       1.724368677412e+04 
       5.568079669539e-03       1.750483076963e+04 
       5.692642070785e-03       1.776166574043e+04 
       5.817378566526e-03       1.801405529027e+04 
       5.942279316545e-03       1.826199465516e+04 
       6.067335235198e-03       1.850547319896e+04 
       6.192537924297e-03       1.874480293611e+04 
       6.317879612807e-03       1.897986387834e+04 
       6.443353102590e-03       1.921067284232e+04 
       6.568951719533e-03       1.943682605645e+04 
       6.694669269480e-03       1.965865068125e+04 
       6.820499998432e-03       1.987650615771e+04 
       6.946438556570e-03       2.009015918984e+04 
       7.072479965692e-03       2.029966033395e+04 
       7.198619589696e-03       2.050492151808e+04 
       7.324853107805e-03       2.070610307900e+04 
       7.451176490243e-03       2.090343990021e+04 
       7.577585976107e-03       2.109671217709e+04 
       7.704078053231e-03       2.128656254234e+04 
       7.830649439821e-03       2.147198739239e+04 
       7.957297067704e-03       2.165354607597e+04 
       8.084018067023e-03       2.183130552553e+04 
       8.210809752239e-03       2.200525611943e+04 
       8.337669609322e-03       2.217545215331e+04 
       8.464595284010e-03       2.234195148940e+04 
       8.591584571041e-03       2.250478667758e+04 
       8.718635404266e-03       2.266398059477e+04 
       8.845745847565e-03       2.281957632569e+04 
       8.972914086490e-03       2.297157810124e+04 
       9.100138420573e-03       2.312013708061e+04 
       9.227417256236e-03       2.326516940412e+04 
       9.354749100255e-03       2.340678230136e+04 
       9.482132553729e-03       2.354499831782e+04 
       9.609566306509e-03       2.367983882552e+04 
       9.737049132046e-03       2.381142409663e+04 
       9.864579882633e-03       2.393959226532e+04 
       9.992157484993e-03       2.406465563319e+04 
       1.011978093620e-02       2.418635611236e+04 
       1.024744929990e-02       2.430494264476e+04 
       1.037516170278e-02       2.442045742818e+04 
       1.050291733136e-02       2.453279133291e+04 
       1.063071542893e-02       2.464197054739e+04 
       1.075855529277e-02       2.474828022973e+04 
       1.088643627154e-02       2.485142646097e+04 
       1.101435776284e-02       2.495167517867e+04 
       1.114231921100e-02       2.504899027433e+04 
       1.127032010496e-02       2.514340267145e+04 
       1.139835997633e-02       2.523494429475e+04 
       1.152643839756e-02       2.532365587700e+04 
       1.165455498032e-02       2.540956314294e+04 
       1.178270937386e-02       2.549269997515e+04 
       1.191090126359e-02       2.557310138564e+04 
       1.203913036973e-02       2.565075893622e+04 
       1.216739644602e-02       2.572580761787e+04 
       1.229569927860e-02       2.579812857598e+04 
       1.242403868486e-02       2.586796354318e+04 
       1.255241451248e-02       2.593508959319e+04 
       1.268082663846e-02       2.599973082824e+04 
       1.280927496825e-02       2.606187421788e+04 
       1.293775943498e-02       2.612152307986e+04 
       1.306627999867e-02       2.617871056508e+04 
       1.319483664556e-02       2.623347552953e+04 
       1.332342938746e-02       2.628576377337e+04 
       1.345205826118e-02       2.633581910380e+04 
       1.358072332797e-02       2.638344015753e+04 
       1.370942467306e-02       2.642869318050e+04 
       1.383816240515e-02       2.647176157082e+04 
       1.396693665606e-02       2.651245231162e+04 
       1.409574758028e-02       2.655099702948e+04 
       1.422459535472e-02       2.658734108831e+04 
       1.435348017833e-02       2.662149234463e+04 
       1.448240227185e-02       2.665350860889e+04 
       1.461136187758e-02       2.668278929301e+04 
       1.474035925917e-02       2.671115708005e+04 
       1.486939470141e-02       2.673688905801e+04 
       1.499846851010e-02       2.676052158254e+04 
       1.512758101190e-02       2.678220919000e+04 
       1.525673255424e-02       2.680192107287e+04 
       1.538592350523e-02       2.681958113168e+04 
       1.551515425361e-02       2.683538337721e+04 
       1.564442520871e-02       2.684927525913e+04 
       1.577373680041e-02       2.686122189705e+04 
       1.590308947921e-02       2.687058141674e+04 
       1.603248371619e-02       2.687968141578e+04 
       1.616192000312e-02       2.688540956392e+04 
       1.629139885246e-02       2.689081585669e+04 
       1.642092079750e-02       2.689365018120e+04 
       1.655048639247e-02       2.689476676707e+04 
       1.668009621259e-02       2.689425255525e+04 
       1.680975085432e-02       2.689196813702e+04 
       1.693945093542e-02       2.688813958744e+04 
       1.706919709518e-02       2.688173412248e+04 
       1.719898999461e-02       2.687522605740e+04 
       1.732883031664e-02       2.686645383356e+04 
       1.745871876632e-02       2.685605470840e+04 
       1.758865607114e-02       2.684413918353e+04 
       1.771864298122e-02       2.682979137063e+04 
       1.784868026961e-02       2.681571500143e+04 
       1.797876873259e-02       2.679884406396e+04 
       1.810890918997e-02       2.678141174776e+04 
       1.823910248544e-02       2.676112392474e+04 
       1.836934948689e-02       2.674029040664e+04 
       1.849965108678e-02       2.671823215423e+04 
       1.863000820250e-02       2.669465650563e+04 
       1.876042177681e-02       2.667030811535e+04 
       1.889089277820e-02       2.664310930542e+04 
       1.902142220136e-02       2.661642837089e+04 
       1.915201106757e-02       2.658683745596e+04 
       1.928266042526e-02       2.655662491693e+04 
       1.941337135039e-02       2.652535422108e+04 
       1.954414494701e-02       2.649334120064e+04 
       1.967498234776e-02       2.645928454523e+04 
       1.980588471442e-02       2.642415629475e+04 
       1.993685323845e-02       2.638795137514e+04 
       2.006788914159e-02       2.634968879121e+04 
       2.019899367641e-02       2.631100410758e+04 
       2.033016812700e-02       2.627237831270e+04 
       2.046141380955e-02       2.623156450411e+04 
       2.059273207300e-02       2.618970307501e+04 
       2.072412429979e-02       2.614601446223e+04 
       2.085559190649e-02       2.610200565230e+04 
       2.098713634458e-02       2.605775969194e+04 
       2.111875910114e-02       2.601089992776e+04 
       2.125046169968e-02       2.596386302037e+04 
       2.138224570094e-02       2.591601930180e+04 
       2.151411270364e-02       2.586705380037e+04 
       2.164606434541e-02       2.581728627767e+04 
       2.177810230364e-02       2.576647663844e+04 
       2.191022829637e-02       2.571481151864e+04 
       2.204244408322e-02       2.566224495212e+04 
       2.217475146638e-02       2.560864209334e+04 
       2.230715229159e-02       2.555456885814e+04 
       2.243964844913e-02       2.549946323746e+04 
       2.257224187494e-02       2.544332821398e+04 
       2.270493455163e-02       2.538680170695e+04 
       2.283772850965e-02       2.532969706984e+04 
       2.297062582847e-02       2.527106629818e+04 
       2.310362863770e-02       2.521248013235e+04 
       2.323673911837e-02       2.515223394816e+04 
