# Matter power spectrum P(k) at redshift z=0
# for k=1.0365e-05 to 1.05677 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.036496817968e-05       4.902461720030e+01 
       2.321394972411e-05       1.068321480483e+02 
       3.610773683400e-05       1.636935183748e+02 
       4.908084850142e-05       2.201938754460e+02 
       6.216837048297e-05       2.766696459108e+02 
       7.540626660432e-05       3.333751943719e+02 
       8.883169995358e-05       3.905295231324e+02 
       1.024833682165e-04       4.483354207810e+02 
       1.164018574391e-04       5.069893105231e+02 
       1.306300185376e-04       5.666872378686e+02 
       1.452133708808e-04       6.276290643352e+02 
       1.602005372165e-04       6.900217413144e+02 
       1.756437140396e-04       7.540821342025e+02 
       1.915991811457e-04       8.200396054469e+02 
       2.081278534760e-04       8.881385088223e+02 
       2.252958773186e-04       9.586406621698e+02 
       2.431752713204e-04       1.031827826177e+03 
       2.618446103677e-04       1.108004218619e+03 
       2.813897469559e-04       1.187499033389e+03 
       3.019045598593e-04       1.270668927951e+03 
       3.234917133726e-04       1.357900399257e+03 
       3.462634017222e-04       1.449611942089e+03 
       3.703420420754e-04       1.546255816059e+03 
       3.958608656409e-04       1.648319222542e+03 
       4.229643396712e-04       1.756324596974e+03 
       4.518083342171e-04       1.870828674815e+03 
       4.825599275314e-04       1.992419918249e+03 
       5.153967254756e-04       2.121713831660e+03 
       5.505055570820e-04       2.259345660112e+03 
       5.880804061764e-04       2.405960017236e+03 
       6.283194548260e-04       2.562197049659e+03 
       6.714211561249e-04       2.728675007847e+03 
       7.175793279283e-04       2.905969342466e+03 
       7.669773677899e-04       3.094589002268e+03 
       8.197818267306e-04       3.294951030407e+03 
       8.761357287127e-04       3.507355283310e+03 
       9.361521554329e-04       3.731961284181e+03 
       9.999086965337e-04       3.968769828245e+03 
       1.067443359983e-03       4.217611447711e+03 
       1.138752427559e-03       4.478143558412e+03 
       1.213790533327e-03       4.749857062801e+03 
       1.292472974618e-03       5.032092329762e+03 
       1.374679991526e-03       5.324041998669e+03 
       1.460262530875e-03       5.624817077364e+03 
       1.549048886162e-03       5.933482976865e+03 
       1.640851589502e-03       6.249047811782e+03 
       1.735474010197e-03       6.570510170437e+03 
       1.832716253076e-03       6.896882952412e+03 
       1.932380109454e-03       7.227212923173e+03 
       2.034272962139e-03       7.560595169742e+03 
       2.138210663321e-03       7.896183284473e+03 
       2.244019483415e-03       8.233195180210e+03 
       2.351537271985e-03       8.570916116716e+03 
       2.460613986317e-03       8.908698112172e+03 
       2.571111737952e-03       9.245958259885e+03 
       2.682904490673e-03       9.582176047008e+03 
       2.795877521538e-03       9.916888257299e+03 
       2.909926733794e-03       1.024968493754e+04 
       3.024957889435e-03       1.058020610478e+04 
       3.140885811130e-03       1.090813438581e+04 
       3.257633588467e-03       1.123319416815e+04 
       3.375131811945e-03       1.155514394992e+04 
       3.493317849391e-03       1.187377537086e+04 
       3.612135173088e-03       1.218890761602e+04 
       3.731532741327e-03       1.250038712330e+04 
       3.851464434993e-03       1.280808057049e+04 
       3.971888547684e-03       1.311187785927e+04 
       4.092767326634e-03       1.341168345403e+04 
       4.214066560910e-03       1.370742147252e+04 
       4.335755213074e-03       1.399902625710e+04 
       4.457805090356e-03       1.428644991666e+04 
       4.580190551519e-03       1.456965034511e+04 
       4.702888245757e-03       1.484857900899e+04 
       4.825876880228e-03       1.512316027942e+04 
       4.949137013097e-03       1.539356180565e+04 
       5.072650869272e-03       1.565964214493e+04 
       5.196402176261e-03       1.592136375717e+04 
       5.320376017878e-03       1.617882160384e+04 
