# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.405602077928e-10       4.197596720122e-15       3.343612446249e-13       2.263924788407e-19       8.127655976678e-09       4.731544842495e-10      -1.845494183516e-12 
    3       1.330520897732e-10       5.339759247483e-15       3.811230783043e-13       4.528737462360e-19       4.973679766778e-09       3.350326176731e-10      -1.391551561680e-12 
    4       1.257805618289e-10       4.571881477260e-15       3.598777623855e-13       7.549853229891e-19       3.445750935895e-09       2.537191429416e-10      -9.034750076836e-13 
    5       1.202662135494e-10       3.015992123599e-15       3.087283735258e-13       1.132841285364e-18       2.564931291048e-09       2.005019465193e-10      -4.950047572294e-13 
    6       1.164127159492e-10       1.672647984900e-15       2.501275352081e-13       1.586580609254e-18       1.999171731860e-09       1.631999217075e-10      -1.966704002008e-13 
    7       1.138656125664e-10       9.071729102765e-16       1.974067583433e-13       2.116364898020e-18       1.609645943996e-09       1.358582254825e-10      -9.098889908136e-15 
    8       1.123573137048e-10       5.946081886639e-16       1.565766720072e-13       2.722375790918e-18       1.327925035757e-09       1.151652296948e-10       8.392788001361e-14 
    9       1.115647038781e-10       4.810685291179e-16       1.291484285116e-13       3.404812118641e-18       1.116590806233e-09       9.909021281885e-11       1.070123657436e-13 
   10       1.113531062163e-10       4.090428890222e-16       1.139003930707e-13       4.163886878018e-18       9.533541974065e-10       8.630873209819e-11       8.694887972786e-14 
   11       1.115703490507e-10       3.438203050021e-16       1.082530381892e-13       4.999824101170e-18       8.166801001119e-10       7.665234772673e-11       4.829985798546e-14 
