# Matter power spectrum P(k) at redshift z=0
# for k=1.03153e-05 to 1.03314 h/Mpc,
# number of wavenumbers equal to 547
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345244770986e-02       2.554404286039e+04 
       1.358111288620e-02       2.559032231742e+04 
       1.370981434113e-02       2.563410613990e+04 
       1.383855218344e-02       2.567597870280e+04 
       1.396732654498e-02       2.571529210338e+04 
       1.409613758035e-02       2.575277065836e+04 
       1.422498546650e-02       2.578798123366e+04 
       1.435387040246e-02       2.582122816119e+04 
       1.448279260902e-02       2.585210988053e+04 
       1.461175232857e-02       2.588117650961e+04 
       1.474074982481e-02       2.590804016763e+04 
       1.486978538259e-02       2.593303663927e+04 
       1.499885930777e-02       2.595599559178e+04 
       1.512797192709e-02       2.597697664282e+04 
       1.525712358803e-02       2.599605369405e+04 
       1.538631465877e-02       2.601324383655e+04 
       1.551554552811e-02       2.602851243952e+04 
       1.564481660543e-02       2.604195751004e+04 
       1.577412832069e-02       2.605354682262e+04 
       1.590348112444e-02       2.606341362856e+04 
       1.603287548783e-02       2.607145945193e+04 
       1.616231190269e-02       2.607761175523e+04 
       1.629179088154e-02       2.608225088388e+04 
       1.642131295775e-02       2.608501463740e+04 
       1.655087868558e-02       2.608603779033e+04 
       1.668048864035e-02       2.608553683545e+04 
       1.681014341856e-02       2.608333449751e+04 
       1.693984363804e-02       2.607950641377e+04 
       1.706958993815e-02       2.607419852547e+04 
       1.719938297997e-02       2.606711338833e+04 
       1.732922344648e-02       2.605833628175e+04 
       1.745911204282e-02       2.604851280449e+04 
       1.758904949653e-02       2.603695499572e+04 
       1.771903655781e-02       2.602386362152e+04 
       1.784907399977e-02       2.600837140410e+04 
       1.797916261876e-02       2.599342831845e+04 
       1.810930323469e-02       2.597612208151e+04 
       1.823949669129e-02       2.595707345961e+04 
       1.836974385653e-02       2.593595153500e+04 
       1.850004562295e-02       2.591483807766e+04 
       1.863040290802e-02       2.589251001382e+04 
       1.876081665457e-02       2.586849539023e+04 
       1.889128783117e-02       2.584279142554e+04 
       1.902181743258e-02       2.581592874567e+04 
       1.915240648020e-02       2.578803696093e+04 
       1.928305602249e-02       2.575838044184e+04 
       1.941376713553e-02       2.572752813584e+04 
       1.954454092345e-02       2.569664525763e+04 
       1.967537851897e-02       2.566364948221e+04 
       1.980628108396e-02       2.562953046776e+04 
       1.993724980997e-02       2.559435399312e+04 
       2.006828591884e-02       2.555737624225e+04 
       2.019939066323e-02       2.551959421244e+04 
       2.033056532733e-02       2.548231217795e+04 
       2.046181122741e-02       2.544275883128e+04 
       2.059312971253e-02       2.540214600898e+04 
       2.072452216523e-02       2.535934283147e+04 
       2.085599000218e-02       2.531671577539e+04 
       2.098753467496e-02       2.527403097046e+04 
       2.111915767078e-02       2.522832871708e+04 
       2.125086051325e-02       2.518282664447e+04 
       2.138264476320e-02       2.513626432385e+04 
       2.151451201951e-02       2.508878883297e+04 
       2.164646391990e-02       2.504044021495e+04 
       2.177850214189e-02       2.499118863955e+04 
       2.191062840364e-02       2.494106545385e+04 
       2.204284446490e-02       2.489020165907e+04 
       2.217515212800e-02       2.483826392609e+04 
       2.230755323880e-02       2.478571529084e+04 
       2.244004968773e-02       2.473220483204e+04 
       2.257264341085e-02       2.467789802486e+04 
       2.270533639092e-02       2.462304842018e+04 
       2.283813065856e-02       2.456798694433e+04 
       2.297102829335e-02       2.451068500102e+04 
       2.310403142508e-02       2.445423763001e+04 
       2.323714223494e-02       2.439618628369e+04 
       2.337036295680e-02       2.433663438646e+04 
       2.350369587853e-02       2.427820351775e+04 
       2.363714334334e-02       2.421727654081e+04 
       2.377070775119e-02       2.415749244250e+04 
       2.390439156019e-02       2.409522894084e+04 
       2.403819728813e-02       2.403334641464e+04 
       2.417212751399e-02       2.397065256106e+04 
       2.430618487951e-02       2.390851174345e+04 
       2.444037209084e-02       2.384393688323e+04 
       2.457469192022e-02       2.377983676214e+04 
       2.470914720772e-02       2.371515636814e+04 
       2.484374086303e-02       2.365040084526e+04 
       2.497847586734e-02       2.358395899771e+04 
       2.511335527521e-02       2.351710105626e+04 
       2.524838221660e-02       2.345029157669e+04 
       2.538355989889e-02       2.338304779023e+04 
       2.551889160902e-02       2.331521975592e+04 
       2.565438071564e-02       2.324688223125e+04 
       2.579003067140e-02       2.317809733585e+04 
       2.592584501529e-02       2.310880679243e+04 
       2.606182737505e-02       2.303904662089e+04 
       2.619798146967e-02       2.296939877503e+04 
       2.633431111198e-02       2.289848999496e+04 
       2.647082021135e-02       2.282726775666e+04 
       2.660751277645e-02       2.275605208118e+04 
       2.674439291812e-02       2.268452506443e+04 
       2.688146485234e-02       2.261317294022e+04 
       2.701873290334e-02       2.254029611576e+04 
       2.715620150677e-02       2.246788357556e+04 
       2.729387521304e-02       2.239458912010e+04 
       2.743175869069e-02       2.232159522964e+04 
       2.756985673002e-02       2.224782410914e+04 
       2.770817424674e-02       2.217403171079e+04 
       2.784671628582e-02       2.210019617207e+04 
       2.798548802543e-02       2.202601494304e+04 
       2.812449478111e-02       2.195098337438e+04 
       2.826374201003e-02       2.187581395661e+04 
       2.840323531540e-02       2.180068298712e+04 
       2.854298045117e-02       2.172524421027e+04 
       2.868298332676e-02       2.164969421976e+04 
       2.882325001210e-02       2.157384962494e+04 
       2.896378674276e-02       2.149822790604e+04 
       2.910459992542e-02       2.142155606094e+04 
       2.924569614343e-02       2.134511410989e+04 
       2.938708216266e-02       2.126885881741e+04 
       2.952876493760e-02       2.119191089938e+04 
       2.967075161770e-02       2.111538216154e+04 
       2.981304955394e-02       2.103779831035e+04 
       2.995566630572e-02       2.096045785576e+04 
       3.009860964805e-02       2.088315758229e+04 
       3.024188757900e-02       2.080571577738e+04 
       3.038550832748e-02       2.072804938019e+04 
       3.052948036144e-02       2.065026615573e+04 
       3.067381239631e-02       2.057243634586e+04 
       3.081851340389e-02       2.049448988936e+04 
       3.096359262161e-02       2.041651013112e+04 
       3.110905956223e-02       2.033833073082e+04 
       3.125492402397e-02       2.026016146336e+04 
       3.140119610108e-02       2.018182369284e+04 
       3.154788619494e-02       2.010372311515e+04 
       3.169500502566e-02       2.002508193205e+04 
       3.184256364424e-02       1.994655585100e+04 
       3.199057344528e-02       1.986836193084e+04 
       3.213904618032e-02       1.978947714201e+04 
       3.228799397187e-02       1.971086848712e+04 
       3.243742932805e-02       1.963222567049e+04 
       3.258736515800e-02       1.955375778673e+04 
       3.273781478809e-02       1.947493548163e+04 
       3.288879197885e-02       1.939605835508e+04 
       3.304031094291e-02       1.931732711485e+04 
       3.319238636374e-02       1.923857588637e+04 
       3.334503341542e-02       1.916003314699e+04 
       3.349826778343e-02       1.908118551251e+04 
       3.365210568662e-02       1.900240107001e+04 
       3.380656390022e-02       1.892337421392e+04 
       3.396165978027e-02       1.884480979488e+04 
       3.411741128923e-02       1.876615522243e+04 
       3.427383702314e-02       1.868750381355e+04 
       3.443095624026e-02       1.860833806249e+04 
       3.458878889128e-02       1.852997685413e+04 
       3.474735565139e-02       1.845095524714e+04 
       3.490667795408e-02       1.837231075004e+04 
       3.506677802702e-02       1.829378593202e+04 
       3.522767893003e-02       1.821527429617e+04 
       3.538940459535e-02       1.813652913828e+04 
       3.555197987036e-02       1.805800752950e+04 
       3.571543056290e-02       1.797947558300e+04 
       3.587978348946e-02       1.790099463432e+04 
       3.604506652641e-02       1.782248424519e+04 
       3.621130866445e-02       1.774422610296e+04 
       3.637854006663e-02       1.766592851027e+04 
       3.654679213017e-02       1.758749454306e+04 
       3.671609755236e-02       1.750952678520e+04 
       3.688649040087e-02       1.743108080682e+04 
       3.705800618895e-02       1.735275281675e+04 
       3.723068195567e-02       1.727454982942e+04 
       3.740455635187e-02       1.719640420323e+04 
       3.757966973222e-02       1.711836016283e+04 
       3.775606425379e-02       1.704025073491e+04 
       3.793378398190e-02       1.696228696717e+04 
       3.811287500378e-02       1.688422344337e+04 
       3.829338555069e-02       1.680639520705e+04 
       3.847536612940e-02       1.672841892799e+04 
       3.865886966377e-02       1.665047227605e+04 
       3.884395164745e-02       1.657256383119e+04 
       3.903067030870e-02       1.649461545088e+04 
       3.921908678850e-02       1.641676030751e+04 
       3.940926533334e-02       1.633901450104e+04 
       3.960127350398e-02       1.626113314972e+04 
       3.979518240194e-02       1.618326130082e+04 
       3.999106691539e-02       1.610566843098e+04 
       4.018900598668e-02       1.602767112300e+04 
       4.038908290345e-02       1.594992757255e+04 
       4.059138561628e-02       1.587208806040e+04 
       4.079600708536e-02       1.579391528420e+04 
       4.100304565970e-02       1.571629359545e+04 
       4.121260549245e-02       1.563816008546e+04 
       4.142479699651e-02       1.556013722254e+04 
       4.163973734507e-02       1.548205076420e+04 
       4.185755102257e-02       1.540399058530e+04 
       4.207837043215e-02       1.532569589199e+04 
       4.230233656655e-02       1.524749435817e+04 
       4.252959975056e-02       1.516906150436e+04 
       4.276032046410e-02       1.509066047115e+04 
       4.299467025669e-02       1.501232571900e+04 
       4.323283276542e-02       1.493336021560e+04 
       4.347500485062e-02       1.485432891935e+04 
       4.372139786564e-02       1.477532626993e+04 
       4.397223907996e-02       1.469612220054e+04 
       4.422777327782e-02       1.461668238996e+04 
       4.448826455863e-02       1.453702026401e+04 
       4.475399836980e-02       1.445724166379e+04 
       4.502528380831e-02       1.437694395445e+04 
       4.530245623365e-02       1.429656585477e+04 
       4.558588024320e-02       1.421595357081e+04 
       4.587595307026e-02       1.413514673457e+04 
       4.617310847737e-02       1.405349466626e+04 
       4.647782123159e-02       1.397185546065e+04 
       4.679061226634e-02       1.388960641654e+04 
       4.711205465649e-02       1.380682655115e+04 
       4.744278056032e-02       1.372303547463e+04 
       4.778348931588e-02       1.363929179089e+04 
       4.813495692168e-02       1.355526228742e+04 
       4.849804718437e-02       1.346995172507e+04 
       4.887372488278e-02       1.338329596100e+04 
       4.926307138232e-02       1.329648859386e+04 
       4.966730324015e-02       1.320905556361e+04 
       5.008779447787e-02       1.312015129766e+04 
       5.052610337138e-02       1.303077641630e+04 
       5.098400482846e-02       1.293970846583e+04 
       5.146352970575e-02       1.284738770848e+04 
       5.196701277324e-02       1.275356784444e+04 
       5.249715148342e-02       1.265796301670e+04 
       5.305707825809e-02       1.256042104431e+04 
       5.365044967763e-02       1.246052997143e+04 
       5.428155673015e-02       1.235785172648e+04 
       5.495546108514e-02       1.225221538969e+04 
       5.567816302116e-02       1.214281358603e+04 
       5.645680675081e-02       1.202938482459e+04 
       5.729992759187e-02       1.191097116655e+04 
       5.821774102220e-02       1.178657633178e+04 
       5.922246290071e-02       1.165449237400e+04 
       6.032862733680e-02       1.151175824734e+04 
       6.155332480300e-02       1.135775245246e+04 
       6.291620666157e-02       1.118774290817e+04 
       6.443898725559e-02       1.099671288824e+04 
       6.614404566622e-02       1.077942419170e+04 
       6.805169411610e-02       1.052928024919e+04 
       7.017598065963e-02       1.023731667966e+04 
       7.251979859249e-02       9.897322611742e+03 
       7.507137849630e-02       9.507211516675e+03 
       7.780469846434e-02       9.068732132532e+03 
       8.068456098604e-02       8.592272120043e+03 
       8.367398564178e-02       8.093819557216e+03 
       8.674030688230e-02       7.593227574843e+03 
       8.985805375473e-02       7.109281144791e+03 
       9.300903259547e-02       6.658712858582e+03 
       9.618099719295e-02       6.253655244452e+03 
       9.936601885050e-02       5.900902012810e+03 
       1.025590898147e-01       5.602527483135e+03 
       1.057570957934e-01       5.356154035929e+03 
       1.089581184018e-01       5.155710657320e+03 
       1.121609827349e-01       4.993063033414e+03 
       1.153649716832e-01       4.858593293357e+03 
       1.185696483898e-01       4.741737694481e+03 
       1.217747469662e-01       4.632703957907e+03 
       1.249801056086e-01       4.522801635542e+03 
       1.281856258056e-01       4.405230742451e+03 
       1.313912475114e-01       4.275349371954e+03 
       1.345969340536e-01       4.132023196796e+03 
       1.378026629648e-01       3.976157618924e+03 
       1.410084204155e-01       3.810371387369e+03 
       1.442141978338e-01       3.639235545249e+03 
       1.474199898523e-01       3.467829476701e+03 
       1.506257930612e-01       3.301714151368e+03 
       1.538316052507e-01       3.145229910720e+03 
       1.570374249501e-01       3.002021873940e+03 
       1.602432511470e-01       2.874426928771e+03 
       1.634490831161e-01       2.763413806339e+03 
       1.666549203147e-01       2.668842125435e+03 
       1.698607623183e-01       2.589277208794e+03 
       1.730666087810e-01       2.522514334690e+03 
       1.762724594108e-01       2.465703069691e+03 
       1.794783139541e-01       2.415826408538e+03 
       1.826841721859e-01       2.369791470735e+03 
       1.858900339034e-01       2.325105893627e+03 
       1.890958989213e-01       2.278810049261e+03 
       1.923017670693e-01       2.229124941502e+03 
       1.955076381899e-01       2.174838284866e+03 
       1.987135121366e-01       2.115873498892e+03 
       2.019193887730e-01       2.052827038363e+03 
       2.051252679712e-01       1.986804936685e+03 
       2.083311496120e-01       1.919584910447e+03 
       2.115370335832e-01       1.852754983116e+03 
       2.147429197794e-01       1.787962178319e+03 
       2.179488081019e-01       1.726512981321e+03 
       2.211546984573e-01       1.669287538146e+03 
       2.243605907580e-01       1.617166531598e+03 
       2.275664849210e-01       1.570235822003e+03 
       2.307723808683e-01       1.528599817960e+03 
       2.339782785260e-01       1.491934890649e+03 
       2.371841778242e-01       1.459476770207e+03 
       2.403900786969e-01       1.430498013603e+03 
       2.435959810815e-01       1.403955627475e+03 
       2.468018849188e-01       1.378778640910e+03 
       2.500077901524e-01       1.354212932802e+03 
       2.532136967291e-01       1.329245108911e+03 
       2.564196045981e-01       1.303529313048e+03 
       2.596255137112e-01       1.276706944656e+03 
       2.628314240227e-01       1.248696726430e+03 
       2.660373354890e-01       1.219568327807e+03 
       2.692432480686e-01       1.189639806766e+03 
       2.724491617219e-01       1.159244595065e+03 
       2.756550764112e-01       1.129008802164e+03 
       2.788609921008e-01       1.099245535986e+03 
       2.820669087561e-01       1.070632276913e+03 
       2.852728263446e-01       1.043493937903e+03 
       2.884787448348e-01       1.018058431684e+03 
       2.916846641970e-01       9.945675829564e+02 
       2.948905844025e-01       9.729423168073e+02 
       2.980965054240e-01       9.531021850156e+02 
       3.013024272353e-01       9.347398829664e+02 
       3.045083498112e-01       9.176416020876e+02 
       3.077142731279e-01       9.015579660331e+02 
       3.109201971622e-01       8.861570804731e+02 
       3.141261218921e-01       8.711735024610e+02 
       3.173320472964e-01       8.563252288724e+02 
       3.205379733547e-01       8.414090502679e+02 
       3.237439000476e-01       8.263171866713e+02 
       3.269498273562e-01       8.109136323548e+02 
       3.301557552626e-01       7.953563204582e+02 
       3.333616837494e-01       7.795799612168e+02 
       3.365676127999e-01       7.638540236896e+02 
       3.397735423982e-01       7.482206775929e+02 
       3.429794725287e-01       7.328363267363e+02 
       3.461854031767e-01       7.178377115506e+02 
       3.493913343278e-01       7.034024230690e+02 
       3.525972659682e-01       6.895557717157e+02 
       3.558031980847e-01       6.763266872635e+02 
       3.590091306644e-01       6.638213222256e+02 
       3.622150636950e-01       6.519671666157e+02 
       3.654209971646e-01       6.407405610931e+02 
       3.686269310616e-01       6.301182339406e+02 
       3.718328653750e-01       6.198905937759e+02 
       3.750388000941e-01       6.100261748219e+02 
       3.782447352084e-01       6.003956355717e+02 
       3.814506707080e-01       5.909215852212e+02 
       3.846566065832e-01       5.815416631128e+02 
       3.878625428246e-01       5.722092824137e+02 
       3.910684794233e-01       5.629733479601e+02 
       3.942744163704e-01       5.537486432627e+02 
       3.974803536574e-01       5.445597733556e+02 
       4.006862912763e-01       5.354166564743e+02 
       4.038922292191e-01       5.263622774938e+02 
       4.070981674780e-01       5.174761489696e+02 
       4.103041060456e-01       5.087278541386e+02 
       4.135100449148e-01       5.002451787299e+02 
       4.167159840786e-01       4.919848546290e+02 
       4.199219235301e-01       4.839832242609e+02 
       4.231278632628e-01       4.762491448503e+02 
       4.263338032704e-01       4.687740697359e+02 
       4.295397435466e-01       4.615472531842e+02 
       4.327456840855e-01       4.545557424994e+02 
       4.359516248813e-01       4.477947253823e+02 
       4.391575659282e-01       4.412201796725e+02 
       4.423635072209e-01       4.348261853290e+02 
       4.455694487540e-01       4.285743706523e+02 
       4.487753905224e-01       4.224346439891e+02 
       4.519813325209e-01       4.163669310781e+02 
       4.551872747448e-01       4.103908423522e+02 
       4.583932171893e-01       4.044830001976e+02 
       4.615991598497e-01       3.986409025659e+02 
       4.648051027216e-01       3.928683082157e+02 
       4.680110458007e-01       3.871713521037e+02 
       4.712169890826e-01       3.815549048620e+02 
       4.744229325633e-01       3.760391287353e+02 
       4.776288762387e-01       3.706074484628e+02 
       4.808348201050e-01       3.652812442683e+02 
       4.840407641583e-01       3.600691487055e+02 
       4.872467083949e-01       3.549853938900e+02 
       4.904526528113e-01       3.500323973199e+02 
       4.936585974038e-01       3.452171334206e+02 
       4.968645421692e-01       3.405298456849e+02 
       5.000704871040e-01       3.359591944597e+02 
       5.032764322050e-01       3.314931566444e+02 
       5.064823774690e-01       3.271282972597e+02 
       5.096883228930e-01       3.228425377233e+02 
       5.128942684739e-01       3.186306170820e+02 
       5.161002142089e-01       3.144960045216e+02 
       5.193061600950e-01       3.104320397653e+02 
       5.225121061294e-01       3.064229119879e+02 
       5.257180523095e-01       3.024637575259e+02 
       5.289239986325e-01       2.985579529684e+02 
       5.321299450960e-01       2.947036807833e+02 
       5.353358916973e-01       2.909050341708e+02 
       5.385418384340e-01       2.871712706207e+02 
       5.417477853036e-01       2.834998278224e+02 
       5.449537323039e-01       2.798968891354e+02 
       5.481596794325e-01       2.763625458876e+02 
       5.513656266872e-01       2.728918848980e+02 
       5.545715740658e-01       2.694890433252e+02 
       5.577775215661e-01       2.661505972457e+02 
       5.841000329371e-01       2.410187691981e+02 
       6.136959247340e-01       2.164415036832e+02 
       6.476782812387e-01       1.923717076277e+02 
       6.878270070710e-01       1.684939069693e+02 
       7.371917457488e-01       1.444781156418e+02 
       8.014488828789e-01       1.198269610838e+02 
       8.921140684932e-01       9.403271266616e+01 
       1.033141128627e+00       6.719089510005e+01 
