# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.286912734569e-10       4.085496842970e-15       3.625563633849e-13       2.334049171276e-19       8.645367582524e-09       3.919782895974e-10      -1.838403833630e-12 
    3       1.233642366115e-10       5.334663028450e-15       4.020899317752e-13       4.668926022753e-19       5.282098224035e-09       2.803831323869e-10      -1.407200789869e-12 
    4       1.178681694840e-10       4.729524745812e-15       3.750141688192e-13       7.783371862247e-19       3.653984137266e-09       2.133744329390e-10      -9.391198320170e-13 
    5       1.136854217229e-10       3.240380678478e-15       3.197203561789e-13       1.167846034785e-18       2.716578831762e-09       1.690451580812e-10      -5.399555371698e-13 
    6       1.108370509345e-10       1.851365890027e-15       2.581183953471e-13       1.635550809062e-18       2.115392462505e-09       1.377699878619e-10      -2.399280414697e-13 
    7       1.090443683954e-10       1.000150426710e-15       2.030670698600e-13       2.181605824253e-18       1.701948114428e-09       1.147555870862e-10      -4.248776570823e-14 
    8       1.081075671728e-10       6.286278484107e-16       1.602707445169e-13       2.806186135909e-18       1.403038405085e-09       9.730441150702e-11       6.452464341788e-14 
    9       1.077875657223e-10       4.981957221296e-16       1.311237735470e-13       3.509485383364e-18       1.178909299541e-09       8.370953210735e-11       1.016000068670e-13 
   10       1.078985173022e-10       4.294807248284e-16       1.144822949561e-13       4.291713424284e-18       1.005979215572e-09       7.287377959018e-11       9.231531103759e-14 
   11       1.083904550024e-10       3.646342160284e-16       1.078247358139e-13       5.153093798239e-18       8.604536838005e-10       6.492886103854e-11       5.947933464161e-14 
   12       1.091691728221e-10       3.150705765173e-16       1.082350787249e-13       6.093861060606e-18       7.517309353754e-10       5.744570184877e-11       2.047103680572e-14 
   13       1.101593872632e-10       2.966006576550e-16       1.130182862978e-13       7.114258031003e-18       6.624972616911e-10       5.141486401532e-11      -1.185708650189e-14 
   14       1.113058155984e-10       3.055370577446e-16       1.201076271830e-13       8.214533002632e-18       5.882770586545e-10       4.615521169554e-11      -3.186784046287e-14 
   15       1.125920404108e-10       3.292576887075e-16       1.281837492599e-13       9.394936960323e-18       5.258152321922e-10       4.162929401095e-11      -3.858757467070e-14 
   16       1.140305124335e-10       3.617794148561e-16       1.364519767635e-13       1.065572085560e-17       4.727176794140e-10       3.778117867423e-11      -3.475886119510e-14 
   17       1.155270304500e-10       4.068022640621e-16       1.446408023008e-13       1.199713298659e-17       4.271765459394e-10       3.448518118974e-11      -2.497605058715e-14 
   18       1.171200991547e-10       4.710477204877e-16       1.529240133986e-13       1.341941651011e-17       3.876594528697e-10       3.159684452583e-11      -1.408079865312e-14 
   19       1.188187348881e-10       5.562273803991e-16       1.615146071562e-13       1.492280726365e-17       3.535252110883e-10       2.905214261412e-11      -5.106620780239e-15 
   20       1.205550093872e-10       6.614693580000e-16       1.705922363367e-13       1.650753148154e-17       3.234678986454e-10       2.675698368971e-11      -4.923350603039e-16 
   21       1.223489568122e-10       7.856307183098e-16       1.801890600733e-13       1.817380448644e-17       2.970125949484e-10       2.471457615407e-11      -2.770389643793e-16 
   22       1.242153361217e-10       9.272118752803e-16       1.902177023827e-13       1.992182842562e-17       2.735207387720e-10       2.292203904834e-11      -3.291694637430e-15 
   23       1.261369014141e-10       1.086613419723e-15       2.004039359483e-13       2.175179249795e-17       2.526766243680e-10       2.133116857151e-11      -7.966048540830e-15 
   24       1.280702906964e-10       1.264578279119e-15       2.103561600133e-13       2.366387028436e-17       2.340030437061e-10       1.986433895165e-11      -1.240362567775e-14 
   25       1.300354949395e-10       1.460916486065e-15       2.197320231309e-13       2.565822076516e-17       2.172460089168e-10       1.852420235310e-11      -1.545748763983e-14 
   26       1.320572205011e-10       1.675289444450e-15       2.282084216890e-13       2.773498647076e-17       2.020769165190e-10       1.732488434492e-11      -1.632865576599e-14 
   27       1.341409683453e-10       1.909083150108e-15       2.356744908079e-13       2.989429882043e-17       1.884165011769e-10       1.625743977940e-11      -1.525249457936e-14 
   28       1.362666412873e-10       2.164450928929e-15       2.421006651738e-13       3.213627183041e-17       1.760984009875e-10       1.528892325695e-11      -1.297576744608e-14 
   29       1.384002066202e-10       2.443617341447e-15       2.474899274855e-13       3.446100233625e-17       1.648225522706e-10       1.437705132001e-11      -1.039977672811e-14 
   30       1.405488611609e-10       2.747812034156e-15       2.518988329806e-13       3.686858199082e-17       1.545266046859e-10       1.352672836491e-11      -8.069469398340e-15 
   31       1.427242715769e-10       3.077913014576e-15       2.554301169038e-13       3.935908801761e-17       1.451341616110e-10       1.275412228926e-11      -6.502388395160e-15 
   32       1.449297310239e-10       3.434749418005e-15       2.581854944354e-13       4.193258296262e-17       1.364965840301e-10       1.206793568806e-11      -6.148903328688e-15 
   33       1.471699235261e-10       3.819244455775e-15       2.601074472347e-13       4.458912834952e-17       1.285666325169e-10       1.145627030916e-11      -6.770352449586e-15 
   34       1.494425227448e-10       4.232315165525e-15       2.610784856629e-13       4.732877478774e-17       1.212737723857e-10       1.089344477874e-11      -7.820431405163e-15 
   35       1.517393457742e-10       4.674828509557e-15       2.609698142341e-13       5.015156289086e-17       1.145091140942e-10       1.035118327605e-11      -8.723206429400e-15 
   36       1.540633902102e-10       5.147594250687e-15       2.596733206732e-13       5.305754091253e-17       1.082550125200e-10       9.828886447653e-12      -9.316562937780e-15 
   37       1.564161378707e-10       5.651361594228e-15       2.570787156781e-13       5.604675268548e-17       1.024918419866e-10       9.333098167774e-12      -9.555465029538e-15 
   38       1.587920711865e-10       6.186814916395e-15       2.530639779383e-13       5.911923276448e-17       9.715882365255e-11       8.869296291895e-12      -9.394768917384e-15 
   39       1.611826675328e-10       6.754589849929e-15       2.475242024626e-13       6.227501107964e-17       9.217593635929e-11       8.441120761200e-12      -8.823751917877e-15 
   40       1.635918711193e-10       7.355339875617e-15       2.404720424788e-13       6.551412915969e-17       8.752787116724e-11       8.048105794117e-12      -7.983349187572e-15 
   41       1.660246231443e-10       7.989684359300e-15       2.319700968459e-13       6.883662919671e-17       8.320234823541e-11       7.686923494682e-12      -7.089247224036e-15 
   42       1.684821685930e-10       8.658186408838e-15       2.221055681406e-13       7.224254994206e-17       7.916506587849e-11       7.351744235720e-12      -6.403810131665e-15 
   43       1.709634784882e-10       9.361383584527e-15       2.109588591579e-13       7.573192810590e-17       7.537237637879e-11       7.035984036284e-12      -6.165156976524e-15 
   44       1.734709978414e-10       1.009989918350e-14       1.984942864557e-13       7.930480254906e-17       7.181841971353e-11       6.738668910203e-12      -6.341234826731e-15 
   45       1.760060130807e-10       1.087436016812e-14       1.846376921709e-13       8.296121177401e-17       6.849956749881e-11       6.459719718430e-12      -6.803855354969e-15 
   46       1.785667066555e-10       1.168536514785e-14       1.693056739985e-13       8.670119315036e-17       6.540027260812e-11       6.198105139805e-12      -7.394016639581e-15 
   47       1.811478713685e-10       1.253348327663e-14       1.524049322718e-13       9.052478321187e-17       6.249213994301e-11       5.951766126739e-12      -7.920077588332e-15 
   48       1.837435932520e-10       1.341921292788e-14       1.338488799061e-13       9.443201452432e-17       5.974266536407e-11       5.718260713276e-12      -8.208045726430e-15 
   49       1.863568610462e-10       1.434284651748e-14       1.136145323563e-13       9.842290455202e-17       5.714653366314e-11       5.497089645412e-12      -8.273462834538e-15 
