# Matter power spectrum P(k) at redshift z=0
# for k=1.04315e-05 to 1.08163 h/Mpc,
# number of wavenumbers equal to 549
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043151953264e-05       4.724989853854e+01 
       2.328064501681e-05       1.026140952007e+02 
       3.617475407501e-05       1.570763759591e+02 
       4.914836784701e-05       2.111949034224e+02 
       6.223657583264e-05       2.652913046354e+02 
       7.547534723676e-05       3.196089745960e+02 
       8.890185222486e-05       3.743575763103e+02 
       1.025547973428e-04       4.297313077868e+02 
       1.164747793862e-04       4.859183060673e+02 
       1.307046620395e-04       5.431063720328e+02 
       1.452899796102e-04       6.014869794388e+02 
       1.602793721281e-04       6.612584114749e+02 
       1.757250559081e-04       7.226284602561e+02 
       1.916833333150e-04       7.858169047599e+02 
       2.082151448345e-04       8.510578932801e+02 
       2.253866655076e-04       9.186023207042e+02 
       2.432699461715e-04       9.887201967272e+02 
       2.619435975529e-04       1.061703056661e+03 
       2.814935118095e-04       1.137866377269e+03 
       3.020136113048e-04       1.217551954860e+03 
       3.236066078466e-04       1.301130181466e+03 
       3.463847469370e-04       1.389002113242e+03 
       3.704705003966e-04       1.481601158431e+03 
       3.959971567776e-04       1.579394201365e+03 
       4.231092422820e-04       1.682881875842e+03 
       4.519626859339e-04       1.792597663095e+03 
       4.827246227989e-04       1.909105416053e+03 
       5.155727105208e-04       2.032994854451e+03 
       5.506938212799e-04       2.164874559453e+03 
       5.882819691071e-04       2.305362013504e+03 
       6.285353484642e-04       2.455070331302e+03 
       6.716524018959e-04       2.614591539027e+03 
       7.178269088407e-04       2.784476535538e+03 
       7.672421965045e-04       2.965212382177e+03 
       8.200647111852e-04       3.157197973132e+03 
       8.764373376830e-04       3.360719819332e+03 
       9.364729869962e-04       3.575929932150e+03 
       1.000249052616e-03       3.802828203035e+03 
       1.067803329880e-03       4.041251445176e+03 
       1.139131882481e-03       4.290870672068e+03 
       1.214189132734e-03       4.551197519828e+03 
       1.292890183667e-03       4.821599305698e+03 
       1.375115107611e-03       5.101302060060e+03 
       1.460714716348e-03       5.389454126328e+03 
       1.549517203925e-03       5.685159810144e+03 
       1.641335038391e-03       5.987468873527e+03 
       1.735971557651e-03       6.295422061351e+03 
       1.833226863388e-03       6.608074007776e+03 
       1.932902766745e-03       6.924511847831e+03 
       2.034806687865e-03       7.243869071867e+03 
       2.138754528668e-03       7.565335067890e+03 
       2.244572617215e-03       7.888161284774e+03 
       2.352098864950e-03       8.211663102201e+03 
       2.461183292404e-03       8.535220399495e+03 
       2.571688073588e-03       8.858275202038e+03 
       2.683487232484e-03       9.180328812322e+03 
       2.796466103108e-03       9.500938169409e+03 
       2.910520641836e-03       9.819710784080e+03 
       3.025556659704e-03       1.013630177895e+04 
       3.141489024267e-03       1.045040782987e+04 
       3.258240865941e-03       1.076176459746e+04 
       3.375742812187e-03       1.107014150422e+04 
       3.493932264166e-03       1.137533879189e+04 
       3.612752724149e-03       1.167718319411e+04 
       3.732153177352e-03       1.197552838859e+04 
       3.852087528805e-03       1.227024608876e+04 
       3.972514093746e-03       1.256123086231e+04 
       4.093395138791e-03       1.284839188591e+04 
       4.214696470374e-03       1.313165643318e+04 
       4.336387066619e-03       1.341096138873e+04 
       4.458438748711e-03       1.368626096509e+04 
       4.580825887934e-03       1.395751481112e+04 
       4.703525144727e-03       1.422468678332e+04 
       4.826515236357e-03       1.448742774762e+04 
       4.949776730087e-03       1.474623598329e+04 
       5.073291859021e-03       1.500123451497e+04 
       5.197044358060e-03       1.525197616099e+04 
