# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.476354317947e-10       4.265488861515e-15       3.432624756251e-13       0.000000000000e+00       8.010167653596e-09       5.091160902838e-10      -1.844054807520e-12 
    3       1.378298913684e-10       5.365199173911e-15       3.899594504195e-13       0.000000000000e+00       4.914143352841e-09       3.574743421779e-10      -1.382214301400e-12 
    4       1.291655601332e-10       4.532579119117e-15       3.654461802471e-13       0.000000000000e+00       3.406714842794e-09       2.691053833660e-10      -8.874534599272e-13 
    5       1.227659682420e-10       2.949164549190e-15       3.108581252225e-13       0.000000000000e+00       2.537578583895e-09       2.117221352438e-10      -4.762996988559e-13 
    6       1.183604331674e-10       1.618592561813e-15       2.497703386913e-13       0.000000000000e+00       1.979121691352e-09       1.717777571982e-10      -1.794144274719e-13 
    7       1.154552712529e-10       8.784694466019e-16       1.957360740517e-13       0.000000000000e+00       1.594550203412e-09       1.426100910784e-10       3.887120307475e-15 
    8       1.136423611961e-10       5.816486672101e-16       1.546147095261e-13       0.000000000000e+00       1.316250706240e-09       1.205661492816e-10       9.141987861837e-14 
    9       1.126705400052e-10       4.710455238667e-16       1.275352424457e-13       0.000000000000e+00       1.107208842789e-09       1.034764260417e-10       1.092994141220e-13 
   10       1.123037674487e-10       3.972051265404e-16       1.129649663954e-13       0.000000000000e+00       9.455329043804e-10       8.993589890767e-11       8.543735923988e-14 
   11       1.123917676212e-10       3.321028812923e-16       1.081416859151e-13       0.000000000000e+00       8.103910024261e-10       7.966253937285e-11       4.490657236161e-14 
   12       1.128363112775e-10       2.928953333133e-16       1.099755795227e-13       0.000000000000e+00       7.084815191191e-10       7.052096387468e-11       5.317724436942e-15 
