# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.193267647232e-10       3.973562593955e-15       3.743492081054e-13       2.384109350661e-19       9.088923653199e-09       3.130417721964e-10      -1.835226527695e-12 
    3       1.160427161155e-10       5.302226187184e-15       4.100624224461e-13       4.768912800919e-19       5.528687976247e-09       2.283975149758e-10      -1.419272185208e-12 
    4       1.120748686883e-10       4.833019516008e-15       3.814163717904e-13       7.949728691431e-19       3.816838963729e-09       1.757133632874e-10      -9.668671248775e-13 
    5       1.089948391258e-10       3.413520168162e-15       3.256463713102e-13       1.192747729040e-18       2.834561616673e-09       1.401724298568e-10      -5.758229421233e-13 
    6       1.069307758470e-10       2.001837808429e-15       2.636934285938e-13       1.670330364844e-18       2.204986331972e-09       1.148339739712e-10      -2.756402080238e-13 
    7       1.057380881302e-10       1.085346543314e-15       2.079727930340e-13       2.227857309093e-18       1.772523349660e-09       9.602203320164e-11      -7.154834677810e-14 
    8       1.051985930671e-10       6.616282393403e-16       1.641400041475e-13       2.865486491428e-18       1.460483118362e-09       8.161799715928e-11       4.580980955302e-14 
    9       1.052035435075e-10       5.120629538224e-16       1.337041842026e-13       3.583396390715e-18       1.226670456003e-09       7.034176895725e-11       9.393157097138e-14 
   10       1.055884118285e-10       4.447348421724e-16       1.156901711710e-13       4.381784933678e-18       1.046080092510e-09       6.137760005986e-11       9.386454158878e-14 
   11       1.062539229729e-10       3.821561898778e-16       1.078375887713e-13       5.260868108997e-18       8.931470221913e-10       5.495804123322e-11       6.673207097041e-14 
   12       1.072134378424e-10       3.276590656307e-16       1.073388030642e-13       6.220878273547e-18       7.799468141125e-10       4.869409174458e-11       2.970619680429e-14 
   13       1.083083582262e-10       3.009759609643e-16       1.114961150409e-13       7.262062137847e-18       6.870930417801e-10       4.363710325319e-11      -3.947290272441e-15 
   14       1.095395387511e-10       3.043955502168e-16       1.182449057488e-13       8.384678430309e-18       6.098999619782e-10       3.916720202475e-11      -2.746618684525e-14 
   15       1.109339956354e-10       3.261174961849e-16       1.261453692754e-13       9.588995254018e-18       5.449679356858e-10       3.543189354835e-11      -3.828905419756e-14 
   16       1.124091932034e-10       3.566253904166e-16       1.343057186038e-13       1.087528716492e-17       4.897957807345e-10       3.227751562496e-11      -3.793303043749e-14 
   17       1.139810390052e-10       3.965110391220e-16       1.424059669664e-13       1.224383201564e-17       4.424953394489e-10       2.951702615324e-11      -3.014531895251e-14 
   18       1.156030693736e-10       4.526723017552e-16       1.504652420212e-13       1.369490778508e-17       4.014665335895e-10       2.700577260219e-11      -1.957148658991e-14 
   19       1.172979255950e-10       5.285171278103e-16       1.587038600065e-13       1.522878833823e-17       3.660399814046e-10       2.477438470036e-11      -9.477138302681e-15 
   20       1.190663599507e-10       6.251359838064e-16       1.673845696236e-13       1.684574166976e-17       3.348543997252e-10       2.285569064258e-11      -2.813714717360e-15 
   21       1.208962059983e-10       7.411725402441e-16       1.765791358851e-13       1.854602448598e-17       3.074143823289e-10       2.119699270460e-11      -2.872560363600e-16 
   22       1.227453943286e-10       8.741590471399e-16       1.862397180262e-13       2.032988067570e-17       2.830555015848e-10       1.969086220005e-11      -1.498814943868e-15 
   23       1.246338953719e-10       1.024372960335e-15       1.961759394224e-13       2.219753725388e-17       2.614482185580e-10       1.832268446032e-11      -5.219982394861e-15 
