# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.430595261759e-10       4.209569575420e-15       3.122939621040e-13       2.231944047884e-19       7.948829999422e-09       4.906024872161e-10      -1.849170857106e-12 
    3       1.356167738874e-10       5.317376821681e-15       3.632566255473e-13       4.464798455760e-19       4.857241708385e-09       3.477547316553e-10      -1.387081201402e-12 
    4       1.281768818296e-10       4.503584751951e-15       3.474747283125e-13       7.443336186380e-19       3.364099941913e-09       2.637342774815e-10      -8.928714709933e-13 
    5       1.224209039562e-10       2.935551225676e-15       3.011174526625e-13       1.116872257329e-18       2.504692196771e-09       2.087666325601e-10      -4.817514555984e-13 
    6       1.183604922098e-10       1.614018907744e-15       2.460737056373e-13       1.564237369612e-18       1.952530612155e-09       1.702536377190e-10      -1.842823858999e-13 
    7       1.156433405668e-10       8.788084300066e-16       1.956651659577e-13       2.086593108178e-18       1.572431957510e-09       1.419793301948e-10      -1.447631449412e-16 
    8       1.139396198827e-10       5.846195692324e-16       1.561347590324e-13       2.684123302553e-18       1.297465635070e-09       1.205283863262e-10       8.825590445935e-14 
    9       1.130398112282e-10       4.753808142029e-16       1.292625748430e-13       3.357028335013e-18       1.090965679400e-09       1.038514122323e-10       1.069335207274e-13 
   10       1.127074342581e-10       4.021545191982e-16       1.141637881431e-13       4.105521848136e-18       9.313523685902e-10       9.058440718064e-11       8.375681880649e-14 
   11       1.128186667246e-10       3.373289326078e-16       1.085405384190e-13       4.929827374784e-18       7.981160697141e-10       8.048287476425e-11       4.379384988125e-14 
   12       1.132774261743e-10       2.984737005969e-16       1.096791106278e-13       5.830174981293e-18       6.976242601250e-10       7.145015862531e-11       4.556907147060e-15 
   13       1.140051024463e-10       2.919117652697e-16       1.150334412469e-13       6.806798011491e-18       6.151063510127e-10       6.389531313248e-11      -2.322881182790e-14 
   14       1.149492089509e-10       3.070997740621e-16       1.225680321693e-13       7.859930013180e-18       5.464230238918e-10       5.744563818319e-11      -3.616070198884e-14 
   15       1.160563116548e-10       3.341666609527e-16       1.310548023659e-13       8.989801920085e-18       4.885940222079e-10       5.197709012958e-11      -3.585120693775e-14 
   16       1.173530454953e-10       3.733841537483e-16       1.398332058459e-13       1.019663955127e-17       4.394120265181e-10       4.724209594795e-11      -2.712769656916e-14 
   17       1.187368067225e-10       4.307016178756e-16       1.486090568369e-13       1.148066147724e-17       3.972099441738e-10       4.311155643603e-11      -1.553954838697e-14 
   18       1.202293226497e-10       5.098235939478e-16       1.575482530692e-13       1.284207712830e-17       3.605740754501e-10       3.946691407869e-11      -5.927156272846e-15 
   19       1.218495677741e-10       6.102826312573e-16       1.668350577781e-13       1.428108628055e-17       3.289136044696e-10       3.627972510189e-11      -3.594882250448e-16 
   20       1.235413100119e-10       7.297707546013e-16       1.765935013824e-13       1.579787641718e-17       3.010242124802e-10       3.347224860812e-11       2.739538900352e-16 
   21       1.253058495315e-10       8.679303224494e-16       1.867788929374e-13       1.739262465436e-17       2.764683504948e-10       3.099204763745e-11      -2.909521107048e-15 
   22       1.271309154182e-10       1.024755430615e-15       1.972085799232e-13       1.906549495977e-17       2.546555947138e-10       2.875617579427e-11      -7.724869414588e-15 
   23       1.290155410897e-10       1.200386370775e-15       2.075112669996e-13       2.081664169862e-17       2.352946954798e-10       2.674585762669e-11      -1.243046106608e-14 
   24       1.309424652835e-10       1.394949721599e-15       2.172260214034e-13       2.264620638800e-17       2.179444979216e-10       2.493625044742e-11      -1.540188215893e-14 
   25       1.329203428333e-10       1.609162342372e-15       2.261108259234e-13       2.455432170519e-17       2.023704487471e-10       2.329893800424e-11      -1.621188544023e-14 
   26       1.349514685109e-10       1.844044259532e-15       2.340048284048e-13       2.654110928550e-17       1.882685382341e-10       2.179247194191e-11      -1.497879450977e-14 
   27       1.370431689078e-10       2.101232711633e-15       2.408623502047e-13       2.860668785834e-17       1.755657978673e-10       2.041703689945e-11      -1.238303610396e-14 
   28       1.391860459228e-10       2.382724398542e-15       2.466961574565e-13       3.075116609638e-17       1.641082322859e-10       1.917265979883e-11      -9.516682928592e-15 
   29       1.413557269968e-10       2.690531347955e-15       2.515441015548e-13       3.297464279835e-17       1.536176632604e-10       1.804561508560e-11      -7.539816839597e-15 
   30       1.435557573957e-10       3.025824337286e-15       2.554324963259e-13       3.527721922093e-17       1.440365481174e-10       1.702560096557e-11      -6.651882386644e-15 
   31       1.457879363851e-10       3.389441597921e-15       2.584016774154e-13       3.765899086180e-17       1.352942238825e-10       1.609238595220e-11      -6.714311147186e-15 
   32       1.480452318045e-10       3.782148463603e-15       2.604800864669e-13       4.012004652257e-17       1.272528848347e-10       1.521885253785e-11      -7.492446019452e-15 
   33       1.503317920979e-10       4.204826628173e-15       2.615548196387e-13       4.266047725974e-17       1.198688635407e-10       1.440268458671e-11      -8.613645170693e-15 
   34       1.526479898482e-10       4.658341517415e-15       2.614512053495e-13       4.528037049676e-17       1.130767976808e-10       1.364489946864e-11      -9.579050884361e-15 
   35       1.549887917010e-10       5.143520081018e-15       2.599949279259e-13       4.797980892191e-17       1.067756510127e-10       1.294265260352e-11      -9.907344701558e-15 
   36       1.573602532772e-10       5.661265326369e-15       2.571186563372e-13       5.075887494160e-17       1.009491467919e-10       1.229488786114e-11      -9.625248312520e-15 
   37       1.597672247913e-10       6.212474619200e-15       2.527915210251e-13       5.361764779724e-17       9.557912710006e-11       1.169782658929e-11      -8.946376826051e-15 
   38       1.622080403339e-10       6.798005586170e-15       2.469915639694e-13       5.655620246165e-17       9.060914388650e-11       1.114292157169e-11      -8.146980266184e-15 
   39       1.646771240077e-10       7.418660677460e-15       2.397075542510e-13       5.957460876199e-17       8.596483864570e-11       1.061983389808e-11      -7.505624485490e-15 
   40       1.671756719044e-10       8.075141687150e-15       2.309438588845e-13       6.267292824340e-17       8.163203525685e-11       1.012763176654e-11      -7.086699047952e-15 
   41       1.697033773355e-10       8.768074792917e-15       2.207181418920e-13       6.585121633568e-17       7.759936038440e-11       9.666689611883e-12      -6.890516379536e-15 
   42       1.722549242455e-10       9.498017858030e-15       2.090608672852e-13       6.910952318609e-17       7.383493920334e-11       9.235441672806e-12      -6.911202374210e-15 
   43       1.748231888772e-10       1.026548393363e-14       1.959951536328e-13       7.244789055354e-17       7.029819291454e-11       8.831200510691e-12      -7.131025319704e-15 
   44       1.774111906751e-10       1.107102983738e-14       1.814673106982e-13       7.586634136396e-17       6.698370874022e-11       8.453325024531e-12      -7.502477860331e-15 
   45       1.800230473577e-10       1.191518856621e-14       1.653957259211e-13       7.936488687690e-17       6.388814454288e-11       8.100750303419e-12      -7.959748396286e-15 
   46       1.826603651231e-10       1.279844213534e-14       1.476891140039e-13       8.294352929324e-17       6.099705725764e-11       7.770977014488e-12      -8.422584521123e-15 
   47       1.853219858473e-10       1.372121938644e-14       1.282458437093e-13       8.660226154692e-17       5.828403720919e-11       7.459962268637e-12      -8.795457423974e-15 
   48       1.880056133825e-10       1.468388444450e-14       1.069732951962e-13       9.034106503191e-17       5.571884454513e-11       7.163338030165e-12      -8.995163845113e-15 
   49       1.907138244214e-10       1.568670335523e-14       8.385395527644e-14       9.415990251099e-17       5.329655060730e-11       6.880727128862e-12      -9.044782322644e-15 
   50       1.934493176808e-10       1.672986427734e-14       5.889679696488e-14       9.805872285031e-17       5.101512381562e-11       6.612456373947e-12      -9.004766410495e-15 
   51       1.962130296709e-10       1.781348340931e-14       3.211921581819e-14       1.020374626040e-16       4.886674837220e-11       6.358294849778e-12      -8.947419674215e-15 
   52       1.990039777659e-10       1.893760232049e-14       3.547378699061e-15       1.060960457004e-16       4.683741787000e-11       6.117412513412e-12      -8.957510988777e-15 
   53       2.018205104315e-10       2.010222741276e-14      -2.679535582687e-14       1.102343878063e-16       4.491133512292e-11       5.888719443859e-12      -9.109984755116e-15 
