# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.382223918364e-10       4.179590998550e-15       3.519372182407e-13       2.291376460129e-19       8.283456289599e-09       4.560258604906e-10      -1.842278457786e-12 
    3       1.306774490558e-10       5.354768550316e-15       3.955071351558e-13       4.583630711297e-19       5.087564789691e-09       3.225351228209e-10      -1.394818436789e-12 
    4       1.235951779769e-10       4.629570845162e-15       3.698021082379e-13       7.641320671799e-19       3.523428794889e-09       2.438133924343e-10      -9.127158316330e-13 
    5       1.182979299365e-10       3.087180463885e-15       3.148735915865e-13       1.146557671770e-18       2.621789023837e-09       1.923691799157e-10      -5.069476883207e-13 
    6       1.146660885688e-10       1.726116698468e-15       2.535629292875e-13       1.605777812227e-18       2.042744572373e-09       1.563745175474e-10      -2.081091879973e-13 
    7       1.122997302414e-10       9.336803111234e-16       1.990683735940e-13       2.141953179375e-18       1.644411873366e-09       1.299781567779e-10      -1.764965382118e-14 
    8       1.109182484027e-10       6.038564653671e-16       1.571587791866e-13       2.755264791798e-18       1.356595696707e-09       1.099771515457e-10       7.941240142981e-14 
    9       1.102733587985e-10       4.858750335524e-16       1.291080989493e-13       3.445911308226e-18       1.140650068017e-09       9.447336366204e-11       1.064370832725e-13 
   10       1.101343987267e-10       4.149656399849e-16       1.135879775630e-13       4.214106150851e-18       9.737527712499e-10       8.219939921814e-11       8.927893793134e-14 
   11       1.104422685465e-10       3.497080900962e-16       1.079364864864e-13       5.060074505888e-18       8.333743171566e-10       7.301393319588e-11       5.203125484693e-14 
   12       1.110455076747e-10       3.057457341455e-16       1.090963021924e-13       5.984050269275e-18       7.283421595627e-10       6.456132909023e-11       1.227602193590e-14 
   13       1.118936471677e-10       2.940767210844e-16       1.143826979369e-13       6.986273005161e-18       6.421007174767e-10       5.769582122039e-11      -1.798980178514e-14 
   14       1.129388254840e-10       3.067335767748e-16       1.217751911221e-13       8.066984982663e-18       5.703337529788e-10       5.171608902773e-11      -3.451225197454e-14 
   15       1.141681736432e-10       3.319734706146e-16       1.299848551494e-13       9.226428352469e-18       5.099123046050e-10       4.668613694018e-11      -3.750069242983e-14 
   16       1.155069109236e-10       3.672731955322e-16       1.383484224946e-13       1.046484251931e-17       4.585301915777e-10       4.235083295156e-11      -3.091273114787e-14 
   17       1.169818374889e-10       4.181619177279e-16       1.466478794022e-13       1.178246175928e-17       4.144449533422e-10       3.856726008312e-11      -1.994046394036e-14 
   18       1.185300827286e-10       4.900698492207e-16       1.551405765180e-13       1.317951302893e-17       3.761788918727e-10       3.526705324152e-11      -9.473443006359e-15 
   19       1.201629916288e-10       5.833232977109e-16       1.640485455296e-13       1.465621465423e-17       3.431145559138e-10       3.240305514430e-11      -2.116990477926e-15 
   20       1.218731628977e-10       6.959210076438e-16       1.735122778478e-13       1.621277384020e-17       3.139912402297e-10       2.986094813166e-11       4.181485631628e-16 
   21       1.236618441945e-10       8.272271095580e-16       1.834836519919e-13       1.784938707132e-17       2.883512242485e-10       2.759461665056e-11      -1.297275923718e-15 
   22       1.255029846041e-10       9.767547129599e-16       1.937754912906e-13       1.956623755491e-17       2.655778287186e-10       2.554693487417e-11      -5.509882538149e-15 
   23       1.274029247946e-10       1.144673069640e-15       2.040652964457e-13       2.136349721555e-17       2.453665084887e-10       2.370948105323e-11      -1.047325370257e-14 
   24       1.293558866162e-10       1.331197993016e-15       2.139406709780e-13       2.324132369812e-17       2.272560653249e-10       2.206575935852e-11      -1.433127990026e-14 
   25       1.313566808145e-10       1.536547557713e-15       2.230927823377e-13       2.519986298515e-17       2.110011265123e-10       2.059350183108e-11      -1.626980421814e-14 
   26       1.333876761232e-10       1.761095697642e-15       2.312565733708e-13       2.723924734599e-17       1.962838528673e-10       1.925577113767e-11      -1.595595180741e-14 
   27       1.354584541720e-10       2.006472943573e-15       2.383607899589e-13       2.935960221068e-17       1.830278898909e-10       1.804330235686e-11      -1.390103461144e-14 
   28       1.375716674072e-10       2.274933486219e-15       2.444180505189e-13       3.156103936855e-17       1.710724030467e-10       1.694072437879e-11      -1.111009311449e-14 
   29       1.397163682351e-10       2.568755443382e-15       2.494718902220e-13       3.384365717325e-17       1.601269260417e-10       1.592169064191e-11      -8.704423217104e-15 
   30       1.418991469314e-10       2.889030274281e-15       2.535701913133e-13       3.620755282426e-17       1.501312485887e-10       1.498514496143e-11      -7.073218010779e-15 
   31       1.441217159236e-10       3.236384173464e-15       2.567857736428e-13       3.865281358890e-17       1.410114443348e-10       1.413113357636e-11      -6.396858016142e-15 
   32       1.463760246010e-10       3.611389707348e-15       2.591855143287e-13       4.117951618731e-17       1.326235129729e-10       1.335265407587e-11      -6.762974846361e-15 
   33       1.486615383016e-10       4.014984532244e-15       2.606898662944e-13       4.378773806655e-17       1.249217999007e-10       1.264314330907e-11      -7.819272531293e-15 
   34       1.509718833199e-10       4.448196749651e-15       2.611601977053e-13       4.647754955332e-17       1.178380468315e-10       1.199029951929e-11      -8.978110981630e-15 
   35       1.532957652552e-10       4.912016930559e-15       2.604487435616e-13       4.924901370545e-17       1.112667724296e-10       1.137832315355e-11      -9.648694844293e-15 
   36       1.556401513443e-10       5.407340640804e-15       2.584519388561e-13       5.210219708582e-17       1.051909397160e-10       1.080513008312e-11      -9.767777050066e-15 
   37       1.580136415444e-10       5.935000194922e-15       2.550737781913e-13       5.503716248285e-17       9.959155145716e-11       1.027028817308e-11      -9.449095881844e-15 
   38       1.604194969680e-10       6.495774765085e-15       2.502110010400e-13       5.805396601030e-17       9.440965996940e-11       9.770055736653e-12      -8.846588305047e-15 
   39       1.628567203741e-10       7.090385401154e-15       2.437781271775e-13       6.115265885525e-17       8.956763434622e-11       9.299164042900e-12      -8.133764836724e-15 
   40       1.653253248033e-10       7.719487793668e-15       2.357941454158e-13       6.433329332754e-17       8.505065145448e-11       8.857662599896e-12      -7.426165611458e-15 
   41       1.678217712129e-10       8.383670334938e-15       2.263244810528e-13       6.759591881211e-17       8.084682124227e-11       8.445880380298e-12      -6.837424254967e-15 
   42       1.703368788990e-10       9.083450847515e-15       2.154593650040e-13       7.094058026116e-17       7.692286969784e-11       8.062376238823e-12      -6.501725443069e-15 
   43       1.728602869163e-10       9.819322027210e-15       2.032802394207e-13       7.436731719545e-17       7.323644562671e-11       7.704643569260e-12      -6.532349860645e-15 
   44       1.753967401411e-10       1.059191444362e-14       1.897430975612e-13       7.787616009835e-17       6.978188336349e-11       7.371857534362e-12      -6.879100154270e-15 
   45       1.779539993519e-10       1.140187743406e-14       1.747611592444e-13       8.146713306684e-17       6.655568018579e-11       7.062720666973e-12      -7.428385462890e-15 
   46       1.805380969214e-10       1.224983302570e-14       1.582359448545e-13       8.514025484281e-17       6.354275696033e-11       6.774577342196e-12      -8.040489596070e-15 
   47       1.831531295043e-10       1.313637496323e-14       1.400564778626e-13       8.889553884386e-17       6.071555549126e-11       6.503311964011e-12      -8.548040876930e-15 
   48       1.858012449976e-10       1.406200116503e-14       1.201211141821e-13       9.273299043882e-17       5.804252458899e-11       6.244537912410e-12      -8.801758118476e-15 
   49       1.884830828029e-10       1.502689084565e-14       9.841216746858e-14       9.665259779392e-17       5.551851315340e-11       5.997798265081e-12      -8.826507577884e-15 
   50       1.911971014833e-10       1.603106289640e-14       7.494094962066e-14       1.006543384993e-16       5.314139367176e-11       5.763374280917e-12      -8.706607565133e-15 
   51       1.939392027838e-10       1.707443271030e-14       4.972732874668e-14       1.047381819919e-16       5.090300830541e-11       5.541062951861e-12      -8.543253275558e-15 
   52       1.967025342318e-10       1.815680781329e-14       2.280008611649e-14       1.089040894461e-16       4.878874525451e-11       5.330141044659e-12      -8.455398680409e-15 
   53       1.994801549397e-10       1.927799276803e-14      -5.816400500845e-15       1.131520133062e-16       4.678212638819e-11       5.129676902853e-12      -8.549401508037e-15 
   54       2.022742921783e-10       2.043814561071e-14      -3.614694861129e-14       1.174818959968e-16       4.488093024061e-11       4.939642753509e-12      -8.816764395980e-15 
   55       2.050891210252e-10       2.163750545527e-14      -6.823167499015e-14       1.218936706896e-16       4.308447659235e-11       4.760025752119e-12      -9.211635615809e-15 
   56       2.079280338989e-10       2.287629145154e-14      -1.021135417380e-13       1.263872615098e-16       4.138876938843e-11       4.590484362249e-12      -9.679326132976e-15 
   57       2.107935632094e-10       2.415470299810e-14      -1.378385726460e-13       1.309625834118e-16       3.978628321895e-11       4.430326978428e-12      -1.015588177371e-14 
   58       2.136873040085e-10       2.547291995520e-14      -1.754560695609e-13       1.356195420540e-16       3.826574979971e-11       4.278490549034e-12      -1.056765539189e-14 
   59       2.166102276306e-10       2.683098548053e-14      -2.150045329817e-13       1.403580399653e-16       3.681525984203e-11       4.133828226190e-12      -1.084879665197e-14 
