# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.432616463732e-10       4.248747349540e-15       3.845181336745e-13       2.309868520265e-19       8.358517492086e-09       4.783773249779e-10      -1.827422312852e-12 
    3       1.330056386924e-10       5.401882720365e-15       4.209691410110e-13       4.620636517350e-19       5.138652456954e-09       3.336312868433e-10      -1.385206149945e-12 
    4       1.245996558766e-10       4.647919794524e-15       3.857997800454e-13       7.703044461975e-19       3.564624567368e-09       2.495760809325e-10      -9.036289923549e-13 
    5       1.186494016948e-10       3.087557549697e-15       3.228729879331e-13       1.155824960449e-18       2.655340828046e-09       1.952773487644e-10      -4.985211691105e-13 
    6       1.146759610081e-10       1.720963554482e-15       2.560782844333e-13       1.618766312717e-18       2.070395151664e-09       1.575974153754e-10      -2.010301510780e-13 
    7       1.121177799173e-10       9.291347605469e-16       1.985051449310e-13       2.159292786373e-18       1.667469096262e-09       1.301294920575e-10      -1.231751920108e-14 
    8       1.106297988705e-10       6.006028754923e-16       1.553678163006e-13       2.777589281871e-18       1.376117886859e-09       1.094538981979e-10       8.289553648922e-14 
    9       1.099387824753e-10       4.829731133840e-16       1.272841089439e-13       3.473858510932e-18       1.157448924530e-09       9.354427970825e-11       1.082411299779e-13 
   10       1.097625983804e-10       4.122959082394e-16       1.123485161154e-13       4.248318000694e-18       9.883679901909e-10       8.101716824763e-11       8.980027280741e-14 
   11       1.100558164821e-10       3.479863053419e-16       1.074535740521e-13       5.101196979012e-18       8.465341374202e-10       7.168573389150e-11       5.180276459521e-14 
   12       1.106586374111e-10       3.054562870022e-16       1.092333529422e-13       6.032733213505e-18       7.399540434092e-10       6.305993783883e-11       1.170549263410e-14 
   13       1.114871027927e-10       2.949228054597e-16       1.149069764875e-13       7.043169876291e-18       6.524098899206e-10       5.609437793806e-11      -1.855773333678e-14 
   14       1.125584265859e-10       3.079635135405e-16       1.224351212595e-13       8.132752503575e-18       5.795413258614e-10       5.014226722250e-11      -3.481451546875e-14 
   15       1.137984228722e-10       3.330901357708e-16       1.304996728056e-13       9.301726114664e-18       5.181768962998e-10       4.509679824347e-11      -3.759434892504e-14 
   16       1.151462421467e-10       3.683396329086e-16       1.386069056331e-13       1.055033254846e-17       4.659810776434e-10       4.075325545607e-11      -3.086865729691e-14 
   17       1.166183850884e-10       4.193893369643e-16       1.467383981712e-13       1.187880806755e-17       4.211893091757e-10       3.697088727204e-11      -1.987770885986e-14 
   18       1.181763977914e-10       4.915130918041e-16       1.550928897431e-13       1.328738116546e-17       3.823040976971e-10       3.369866047235e-11      -9.496359624537e-15 
   19       1.198348851979e-10       5.850903283738e-16       1.639069316358e-13       1.477627134427e-17       3.486996919622e-10       3.088083975421e-11      -2.290275406073e-15 
   20       1.215753368577e-10       6.982421003964e-16       1.733771016010e-13       1.634568655187e-17       3.190976438987e-10       2.838011062327e-11       7.838132981251e-17 
   21       1.233869081431e-10       8.302653378725e-16       1.834379026034e-13       1.799582381282e-17       2.930338298238e-10       2.614778107227e-11      -1.780296770130e-15 
   22       1.252334908454e-10       9.805302746648e-16       1.938513531218e-13       1.972686658718e-17       2.698821586899e-10       2.413329921928e-11      -6.073064548332e-15 
   23       1.271316214488e-10       1.149133824298e-15       2.042518145220e-13       2.153898703470e-17       2.493336380035e-10       2.233851682019e-11      -1.102384239034e-14 
   24       1.290917006030e-10       1.336256229742e-15       2.141865484545e-13       2.343234292011e-17       2.309200554812e-10       2.075536098480e-11      -1.476303438358e-14 
   25       1.311074681935e-10       1.542174282010e-15       2.233396623823e-13       2.540708049157e-17       2.143922464609e-10       1.934528106758e-11      -1.653047776899e-14 
   26       1.331549269348e-10       1.767351130993e-15       2.314530869776e-13       2.746333236722e-17       1.994273154886e-10       1.804953443027e-11      -1.607066845549e-14 
   27       1.352426876148e-10       2.013437053821e-15       2.384696660327e-13       2.960122474804e-17       1.859478218283e-10       1.686305687328e-11      -1.392201593874e-14 
   28       1.373742803221e-10       2.282683375740e-15       2.444232454167e-13       3.182087041858e-17       1.737904845176e-10       1.578625713028e-11      -1.110191697880e-14 
   29       1.395391871225e-10       2.577368258620e-15       2.493818894918e-13       3.412236895836e-17       1.626602518813e-10       1.480842389762e-11      -8.738010220408e-15 
   30       1.417411218864e-10       2.898606555392e-15       2.534069680287e-13       3.650581931172e-17       1.524959297267e-10       1.392349408485e-11      -7.197428405195e-15 
   31       1.439772602074e-10       3.247059384996e-15       2.565827802848e-13       3.897131089694e-17       1.432223013456e-10       1.311809527083e-11      -6.622394186909e-15 
   32       1.462355997834e-10       3.623329760174e-15       2.589833482007e-13       4.151892293623e-17       1.346929157548e-10       1.237258296821e-11      -7.060327156513e-15 
   33       1.485178065450e-10       4.028341773631e-15       2.605106642771e-13       4.414873565765e-17       1.268613859120e-10       1.168334998021e-11      -8.149086978438e-15 
   34       1.508224416936e-10       4.463090181045e-15       2.609947986417e-13       4.686082255496e-17       1.196583800884e-10       1.104743251285e-11      -9.300834969732e-15 
   35       1.531433839794e-10       4.928527184327e-15       2.602576856255e-13       4.965525010193e-17       1.129767212803e-10       1.045849641264e-11      -9.927635232924e-15 
   36       1.554890246496e-10       5.425523106910e-15       2.581971454983e-13       5.253208786444e-17       1.067990777992e-10       9.915022781045e-12      -9.978081475073e-15 
   37       1.578683023985e-10       5.954885531334e-15       2.547301357866e-13       5.549140169353e-17       1.011060991636e-10       9.414230917123e-12      -9.583256921164e-15 
   38       1.602847822186e-10       6.517364255129e-15       2.497701504618e-13       5.853325102269e-17       9.583781123004e-11       8.949461077023e-12      -8.918750830574e-15 
   39       1.627374235041e-10       7.113659746903e-15       2.432486286630e-13       6.165769027720e-17       9.091524557081e-11       8.512545608537e-12      -8.177931466008e-15 
   40       1.652247942843e-10       7.744462388228e-15       2.351886227926e-13       6.486477372687e-17       8.632331562617e-11       8.102750895395e-12      -7.472884070484e-15 
   41       1.677411962150e-10       8.410419450754e-15       2.256557960727e-13       6.815455225603e-17       8.204992582462e-11       7.720295374190e-12      -6.905143695116e-15 
   42       1.702748242533e-10       9.112120250055e-15       2.147402753703e-13       7.152707216664e-17       7.806124236296e-11       7.363747125159e-12      -6.593719600812e-15 
   43       1.728128158873e-10       9.850120466774e-15       2.025220138159e-13       7.498237383536e-17       7.431420301677e-11       7.030727483998e-12      -6.637493798731e-15 
   44       1.753595862743e-10       1.062503206891e-14       1.889506824617e-13       7.852048697019e-17       7.080303480756e-11       6.720628460122e-12      -6.986110904288e-15 
   45       1.779232807518e-10       1.143745580891e-14       1.739306693926e-13       8.214143402732e-17       6.752416190687e-11       6.432497557930e-12      -7.530464371108e-15 
   46       1.805104807157e-10       1.228795447302e-14       1.573529832401e-13       8.584523151564e-17       6.446223963306e-11       6.164173599040e-12      -8.136336419756e-15 
   47       1.831260071666e-10       1.317705130105e-14       1.390943623573e-13       8.963188999644e-17       6.158923691726e-11       5.912195221589e-12      -8.642927013233e-15 
   48       1.857728502858e-10       1.410518632259e-14       1.190431764382e-13       9.350141131778e-17       5.887306409858e-11       5.672804128413e-12      -8.906572066455e-15 
   49       1.884523930813e-10       1.507257449792e-14       9.718784384008e-14       9.745377939651e-17       5.630847315414e-11       5.445502749285e-12      -8.949903201690e-15 
   50       1.911639132552e-10       1.607930487379e-14       7.355180748396e-14       1.014889668374e-16       5.389329143901e-11       5.230342231628e-12      -8.852206916520e-15 
   51       1.939042773309e-10       1.712537554019e-14       4.816938290208e-14       1.056069373335e-16       5.161921692329e-11       5.026880481811e-12      -8.708720389364e-15 
