# Matter power spectrum P(k) at redshift z=0
# for k=1.0671e-05 to 1.19297 h/Mpc,
# number of wavenumbers equal to 553
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.067100113114e-05       4.409261419850e+01 
       2.352065171584e-05       9.461329278581e+01 
       3.641592647755e-05       1.443247048560e+02 
       4.939135434841e-05       1.937289970904e+02 
       6.248203836333e-05       2.431177588436e+02 
       7.572396715094e-05       2.927123796700e+02 
       8.915433641447e-05       3.427039124938e+02 
       1.028118846562e-04       3.932694995554e+02 
       1.167372474322e-04       4.445808764987e+02 
       1.309733344567e-04       4.968095516550e+02 
       1.455657338833e-04       5.501304486592e+02 
       1.605631480286e-04       6.047247625249e+02 
       1.760178646335e-04       6.607824131494e+02 
       1.919862673916e-04       7.185043144081e+02 
       2.085293888325e-04       7.781045456158e+02 
       2.257135075941e-04       8.398125169289e+02 
       2.436107904902e-04       9.038751425044e+02 
       2.622999773635e-04       9.705590380072e+02 
       2.818671032468e-04       1.040152725691e+03 
       3.024062475094e-04       1.112968806820e+03 
       3.240202930800e-04       1.189346040815e+03 
       3.468216701079e-04       1.269651222994e+03 
       3.709330471910e-04       1.354280721577e+03 
       3.964879192995e-04       1.443661489695e+03 
       4.236310247743e-04       1.538251295351e+03 
       4.525185047810e-04       1.638537870245e+03 
       4.833176986451e-04       1.745036612094e+03 
       5.162064500277e-04       1.858286425740e+03 
       5.513717858857e-04       1.978843269909e+03 
       5.890078282576e-04       2.107270992668e+03 
       6.293128153075e-04       2.244129152841e+03 
       6.724851505047e-04       2.389957680564e+03 
       7.187184737446e-04       2.545258527394e+03 
       7.681958576509e-04       2.710474891725e+03 
       8.210833701941e-04       2.885969024605e+03 
       8.775233939933e-04       3.072000154886e+03 
       9.376282245875e-04       3.268704413390e+03 
       1.001474548759e-03       3.476078858143e+03 
       1.069099396286e-03       3.693971656795e+03 
       1.140498046174e-03       3.922079700624e+03 
       1.215624159359e-03       4.159954619761e+03 
       1.294392140709e-03       4.407016629188e+03 
       1.376681460239e-03       4.662556555655e+03 
       1.462342445324e-03       4.925796695799e+03 
       1.551202933741e-03       5.195917635401e+03 
       1.643075164521e-03       5.472051301586e+03 
       1.737762363926e-03       5.753321878453e+03 
       1.835064623451e-03       6.038866624097e+03 
       1.934783826459e-03       6.327852843961e+03 
       2.036727528096e-03       6.619490295935e+03 
       2.140711809651e-03       6.913039830693e+03 
       2.246563206873e-03       7.207818997456e+03 
       2.354119853994e-03       7.503203889691e+03 
       2.463231999122e-03       7.798629080081e+03 
       2.573762040982e-03       8.093586642902e+03 
       2.685584220057e-03       8.387621773998e+03 
       2.798584075141e-03       8.680331116726e+03 
       2.912657753627e-03       8.971357076525e+03 
       3.027711242822e-03       9.260385543956e+03 
       3.143659571623e-03       9.547140106910e+03 
       3.260426017189e-03       9.831380202059e+03 
       3.377941339806e-03       1.011289547526e+04 
       3.496143060435e-03       1.039150463698e+04 
       3.614974789108e-03       1.066704969932e+04 
       3.734385607801e-03       1.093939722167e+04 
       3.854329508310e-03       1.120843040544e+04 
       3.974764883627e-03       1.147405400691e+04 
       4.095654070025e-03       1.173618454030e+04 
       4.216962936343e-03       1.199475618088e+04 
       4.338660516629e-03       1.224971213283e+04 
       4.460718682212e-03       1.250100919634e+04 
       4.583111849373e-03       1.274861196956e+04 
       4.705816718960e-03       1.299249370172e+04 
       4.828812044566e-03       1.323262793349e+04 
       4.952078426150e-03       1.346888900956e+04 
       5.075598126271e-03       1.370153191071e+04 
       5.199354906403e-03       1.393040507867e+04 
       5.323333881043e-03       1.415546739139e+04 
       5.447521387576e-03       1.437679005106e+04 
       5.571904870116e-03       1.459449674457e+04 
       5.696472775696e-03       1.480845403409e+04 
       5.821214461426e-03       1.501869030274e+04 
       5.946120111347e-03       1.522523114317e+04 
       6.071180661906e-03       1.542809143067e+04 
       6.196387735053e-03       1.562660747690e+04 
       6.321733578138e-03       1.582224217708e+04 
       6.447211009827e-03       1.601478656628e+04 
       6.572813371391e-03       1.620315242302e+04 
       6.698534482772e-03       1.638798679320e+04 
       6.824368602909e-03       1.656928424700e+04 
       6.950310393871e-03       1.674713419855e+04 
       7.076354888395e-03       1.692159655505e+04 
       7.202497460455e-03       1.709260876569e+04 
       7.328733798566e-03       1.726032065520e+04 
       7.455059881534e-03       1.742459823484e+04 
       7.581471956390e-03       1.758543266412e+04 
       7.707966518312e-03       1.774368276026e+04 
       7.834540292314e-03       1.789808657930e+04 
       7.961190216537e-03       1.804929342226e+04 
       8.087913426990e-03       1.819729792179e+04 
       8.214707243591e-03       1.834214227358e+04 
       8.341569157388e-03       1.848391770038e+04 
       8.468496818854e-03       1.862257072614e+04 
       8.595488027146e-03       1.875816809046e+04 
       8.722540720240e-03       1.889074486257e+04 
       8.849652965879e-03       1.902032046247e+04 
       8.976822953228e-03       1.914689837565e+04 
       9.104048985205e-03       1.927056837042e+04 
       9.231329471411e-03       1.939137140390e+04 
       9.358662921609e-03       1.950930489850e+04 
       9.486047939706e-03       1.962437357000e+04 
       9.613483218196e-03       1.973609193626e+04 
       9.740967533023e-03       1.984620789068e+04 
       9.868499738830e-03       1.995296823790e+04 
       9.996078764562e-03       2.005711644221e+04 
       1.012370360939e-02       2.015843749966e+04 
       1.025137333895e-02       2.025718121849e+04 
       1.037908708183e-02       2.035337261888e+04 
       1.050684402631e-02       2.044689273774e+04 
       1.063464341741e-02       2.053787832582e+04 
       1.076248455400e-02       2.062632036661e+04 
       1.089036678629e-02       2.071217465399e+04 
       1.101828951335e-02       2.079566876586e+04 
       1.114625218092e-02       2.087668892534e+04 
       1.127425427926e-02       2.095529948338e+04 
       1.140229534127e-02       2.103149851306e+04 
       1.153037494064e-02       2.110533146043e+04 
       1.165849269020e-02       2.117684455050e+04 
       1.178664824034e-02       2.124608467189e+04 
       1.191484127757e-02       2.131299472726e+04 
       1.204307152314e-02       2.137775893481e+04 
       1.217133873182e-02       2.144010547585e+04 
       1.229964269071e-02       2.150032241799e+04 
       1.242798321816e-02       2.155842816478e+04 
       1.255636016276e-02       2.161431604612e+04 
       1.268477340238e-02       2.166813457102e+04 
       1.281322284336e-02       2.171988722186e+04 
       1.294170841966e-02       2.176958228326e+04 
       1.307023009210e-02       2.181708928360e+04 
       1.319878784772e-02       2.186268586256e+04 
       1.332738169912e-02       2.190620320692e+04 
       1.345601168385e-02       2.194783280625e+04 
       1.358467786393e-02       2.198749875194e+04 
       1.371338032530e-02       2.202510404718e+04 
       1.384211917738e-02       2.206098041549e+04 
       1.397089455268e-02       2.209482869051e+04 
       1.409970660641e-02       2.212688574910e+04 
       1.422855551613e-02       2.215709855669e+04 
       1.435744148149e-02       2.218547770573e+04 
       1.448636472388e-02       2.221213415943e+04 
       1.461532548627e-02       2.223695979625e+04 
       1.474432403296e-02       2.226015626732e+04 
       1.487336064938e-02       2.228147490657e+04 
       1.500243564198e-02       2.230116241391e+04 
       1.513154933806e-02       2.231911673235e+04 
       1.526070208569e-02       2.233546322883e+04 
       1.538989425361e-02       2.235021058168e+04 
       1.551912623118e-02       2.236328636996e+04 
