# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.339733325060e-10       4.145731642770e-15       3.794715049438e-13       2.335965770203e-19       8.622318389501e-09       4.224177464611e-10      -1.831272094469e-12 
    3       1.265259845016e-10       5.369322956062e-15       4.165102593540e-13       4.672769917168e-19       5.268883618667e-09       2.981040691244e-10      -1.398710215671e-12 
    4       1.198482292948e-10       4.719795351275e-15       3.841163856971e-13       7.789801700326e-19       3.646842561506e-09       2.247912449728e-10      -9.278509513339e-13 
    5       1.150140989285e-10       3.206598861137e-15       3.239848163799e-13       1.168814788146e-18       2.713617645678e-09       1.768958318453e-10      -5.274309307440e-13 
    6       1.117766209058e-10       1.819458630194e-15       2.589626382837e-13       1.636914049773e-18       2.114413626040e-09       1.433961330573e-10      -2.283539085563e-13 
    7       1.097342868854e-10       9.816569004185e-16       2.019842344244e-13       2.183433987643e-18       1.702057208386e-09       1.188390419780e-10      -3.342859381036e-14 
    8       1.086204982371e-10       6.207527155012e-16       1.584859128209e-13       2.808551486870e-18       1.403987503303e-09       1.002704070882e-10       7.029337151050e-14 
    9       1.081812640005e-10       4.937201557423e-16       1.294986845305e-13       3.512462062670e-18       1.180256033847e-09       8.593276171747e-11       1.040949051560e-13 
   10       1.082373823822e-10       4.246275341438e-16       1.134509663927e-13       4.295377429290e-18       1.007264246461e-09       7.461691876203e-11       9.219923967745e-14 
   11       1.086798842681e-10       3.600089974317e-16       1.074809846563e-13       5.157522900897e-18       8.620350767229e-10       6.617886364385e-11       5.769681698266e-14 
   12       1.093856113151e-10       3.124331548651e-16       1.084375141594e-13       6.099134668485e-18       7.532702755476e-10       5.842038797977e-11       1.834537648402e-14 
   13       1.103221244864e-10       2.963101151316e-16       1.135971261580e-13       7.120456999477e-18       6.639654747177e-10       5.197538985718e-11      -1.372562932652e-14 
   14       1.114628947919e-10       3.065459644776e-16       1.209087665768e-13       8.221739408481e-18       5.896628966235e-10       4.669457647400e-11      -3.268325400108e-14 
