# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.405597436265e-10       4.197370327593e-15       3.343612484573e-13       0.000000000000e+00       8.127655976678e-09       4.731544842495e-10      -1.845494183516e-12 
    3       1.330511636536e-10       5.339306373237e-15       3.811230953963e-13       0.000000000000e+00       4.973679766778e-09       3.350326176731e-10      -1.391551561680e-12 
    4       1.257790231541e-10       4.571126489482e-15       3.598778115447e-13       0.000000000000e+00       3.445750935895e-09       2.537191429416e-10      -9.034750076836e-13 
    5       1.202639145038e-10       3.014859273912e-15       3.087284856486e-13       0.000000000000e+00       2.564931291048e-09       2.005019465193e-10      -4.950047572294e-13 
    6       1.164095120637e-10       1.671061381397e-15       2.501277559870e-13       0.000000000000e+00       1.999171731860e-09       1.631999217075e-10      -1.966704002008e-13 
    7       1.138613631939e-10       9.050564921642e-16       1.974071507799e-13       0.000000000000e+00       1.609645943996e-09       1.358582254825e-10      -9.098889908136e-15 
    8       1.123518824030e-10       5.918857029867e-16       1.565773186985e-13       0.000000000000e+00       1.327925035757e-09       1.151652296948e-10       8.392788001361e-14 
    9       1.115579586913e-10       4.776635100821e-16       1.291494336856e-13       0.000000000000e+00       1.116590806233e-09       9.909021281885e-11       1.070123657436e-13 
   10       1.113449198531e-10       4.048786404841e-16       1.139018843505e-13       0.000000000000e+00       9.533541974065e-10       8.630873209819e-11       8.694887972786e-14 
   11       1.115605989590e-10       3.388198867132e-16       1.082551680720e-13       0.000000000000e+00       8.166801001119e-10       7.665234772673e-11       4.829985798546e-14 
   12       1.120565916423e-10       2.962625590353e-16       1.093945455538e-13       0.000000000000e+00       7.138146953419e-10       6.793763658441e-11       8.688244864044e-15 
   13       1.128528730223e-10       2.860443904476e-16       1.147358267435e-13       0.000000000000e+00       6.293349513609e-10       6.063216775953e-11      -2.061343339347e-14 
   14       1.138735796118e-10       2.988901757200e-16       1.222021880560e-13       0.000000000000e+00       5.590304248038e-10       5.457076771419e-11      -3.525348210632e-14 
   15       1.150255081377e-10       3.238000979195e-16       1.305288568439e-13       0.000000000000e+00       4.998437698654e-10       4.929779973525e-11      -3.667255698980e-14 
   16       1.163352322111e-10       3.595921580942e-16       1.390544129972e-13       0.000000000000e+00       4.495052516877e-10       4.469520792603e-11      -2.915103162911e-14 
   17       1.177649710731e-10       4.121069081927e-16       1.475593380582e-13       0.000000000000e+00       4.063110869548e-10       4.070265486983e-11      -1.793852360769e-14 
   18       1.192945682715e-10       4.860778708339e-16       1.562499331021e-13       0.000000000000e+00       3.688161235042e-10       3.722006608879e-11      -7.870562832754e-15 
   19       1.209311994241e-10       5.813420081194e-16       1.653388175450e-13       0.000000000000e+00       3.364156958090e-10       3.420370267323e-11      -1.330359056787e-15 
   20       1.226303605090e-10       6.955731529091e-16       1.749728772937e-13       0.000000000000e+00       3.078762906341e-10       3.154642605443e-11       3.018302045085e-16 
   21       1.243980534342e-10       8.283521994105e-16       1.850810969847e-13       0.000000000000e+00       2.827496659834e-10       2.918509111136e-11      -2.159454855637e-15 
   22       1.262251261453e-10       9.795849214897e-16       1.954449708717e-13       0.000000000000e+00       2.604312770479e-10       2.703856249396e-11      -6.744575086161e-15 
   23       1.281117203284e-10       1.149398386327e-15       2.057367779343e-13       0.000000000000e+00       2.406227376842e-10       2.511182721026e-11      -1.164391960509e-14 
   24       1.300407699263e-10       1.337868485837e-15       2.155524361475e-13       0.000000000000e+00       2.228722024546e-10       2.340860451543e-11      -1.503944523451e-14 
   25       1.320182269902e-10       1.545396903090e-15       2.246033065621e-13       0.000000000000e+00       2.069391413502e-10       2.188831773203e-11      -1.634203508088e-14 
   26       1.340433437578e-10       1.772637445496e-15       2.326509721199e-13       0.000000000000e+00       1.925120160751e-10       2.048539917135e-11      -1.550872957184e-14 
   27       1.361245903872e-10       2.021276746463e-15       2.396416605609e-13       0.000000000000e+00       1.795163937413e-10       1.919549994730e-11      -1.313997208176e-14 
   28       1.382558452381e-10       2.293542879762e-15       2.456053733401e-13       0.000000000000e+00       1.677952847793e-10       1.802162437880e-11      -1.026711287273e-14 
   29       1.404164746365e-10       2.591677704771e-15       2.505981240898e-13       0.000000000000e+00       1.570646148232e-10       1.695432720899e-11      -8.017523252951e-15 
   30       1.426112443444e-10       2.916771721406e-15       2.546443628225e-13       0.000000000000e+00       1.472652371371e-10       1.598471482991e-11      -6.710712624806e-15 
   31       1.448425158138e-10       3.269456560136e-15       2.577752360047e-13       0.000000000000e+00       1.383242328889e-10       1.509385338817e-11      -6.411197281548e-15 
   32       1.471029308378e-10       3.650296129721e-15       2.600155385605e-13       0.000000000000e+00       1.301000031181e-10       1.425687669503e-11      -7.081397120807e-15 
   33       1.493919267699e-10       4.060175812229e-15       2.612811607720e-13       0.000000000000e+00       1.225479001906e-10       1.347430036338e-11      -8.323850048309e-15 
   34       1.517028691512e-10       4.500044511223e-15       2.614424797972e-13       0.000000000000e+00       1.156013280637e-10       1.275095288630e-11      -9.528156546722e-15 
   35       1.540245039708e-10       4.970824924563e-15       2.603650468617e-13       0.000000000000e+00       1.091571990177e-10       1.208774720116e-11      -1.009174286240e-14 
   36       1.563653108467e-10       5.473466605736e-15       2.579638658818e-13       0.000000000000e+00       1.031988504815e-10       1.148310251162e-11      -9.991219300298e-15 
   37       1.587361378612e-10       6.008906400532e-15       2.541667085376e-13       0.000000000000e+00       9.770760191874e-11       1.093122752974e-11      -9.406555282493e-15 
   38       1.611429563683e-10       6.578051352460e-15       2.488994951440e-13       0.000000000000e+00       9.262558308231e-11       1.042116507000e-11      -8.575020654032e-15 
   39       1.635872297840e-10       7.181743600950e-15       2.421020578249e-13       0.000000000000e+00       8.787661229495e-11       9.940161323286e-12      -7.748447862680e-15 
   40       1.660686855909e-10       7.820646468201e-15       2.337823585262e-13       0.000000000000e+00       8.344618973952e-11       9.486258876128e-12      -7.037426833476e-15 
   41       1.685824461803e-10       8.495315543095e-15       2.239804404319e-13       0.000000000000e+00       7.932272769802e-11       9.059238459852e-12      -6.520907299556e-15 
   42       1.711175786139e-10       9.206223232880e-15       2.127550840991e-13       0.000000000000e+00       7.547368380153e-11       8.657006634438e-12      -6.289043309174e-15 
   43       1.736618580886e-10       9.953805605895e-15       2.001583563213e-13       0.000000000000e+00       7.185760949822e-11       8.276601763303e-12      -6.411876717115e-15 
   44       1.762191392035e-10       1.073863201730e-14       1.861473295395e-13       0.000000000000e+00       6.846895707398e-11       7.917973436812e-12      -6.832395834847e-15 
   45       1.787964718716e-10       1.156128008844e-14       1.706465751400e-13       0.000000000000e+00       6.530427490598e-11       7.581106360423e-12      -7.441073479147e-15 
   46       1.813990493511e-10       1.242228696049e-14       1.535716263346e-13       0.000000000000e+00       6.234875272604e-11       7.264867142792e-12      -8.103425952674e-15 
   47       1.840299937625e-10       1.332214765866e-14       1.348283340184e-13       0.000000000000e+00       5.957533600787e-11       6.966915227977e-12      -8.658555541332e-15 
   48       1.866906938574e-10       1.426128175101e-14       1.143290521260e-13       0.000000000000e+00       5.695305628359e-11       6.684498308271e-12      -8.962688817046e-15 
   49       1.893824313724e-10       1.523992602773e-14       9.204809181831e-14       0.000000000000e+00       5.447686529547e-11       6.417311525186e-12      -9.037705153170e-15 
   50       1.921048446192e-10       1.625820875899e-14       6.798079244302e-14       0.000000000000e+00       5.214468914398e-11       6.165291213738e-12      -8.961972425731e-15 
   51       1.948552345388e-10       1.731617558584e-14       4.212826606776e-14       0.000000000000e+00       4.994854143030e-11       5.927757930972e-12      -8.829824274963e-15 
   52       1.976283783947e-10       1.841378626676e-14       1.449761198561e-14       0.000000000000e+00       4.787410784388e-11       5.703372514729e-12      -8.752398307029e-15 
   53       2.004188577809e-10       1.955098203742e-14      -1.490503087008e-14       0.000000000000e+00       4.590524342135e-11       5.490567446593e-12      -8.829888475603e-15 
   54       2.032291742955e-10       2.072791551360e-14      -4.609791783307e-14       0.000000000000e+00       4.403977821821e-11       5.289072311269e-12      -9.057996141603e-15 
   55       2.060633960488e-10       2.194477423595e-14      -7.910591660607e-14       0.000000000000e+00       4.227705194835e-11       5.098704014891e-12      -9.398884437527e-15 
   56       2.089247469527e-10       2.320171494550e-14      -1.139539564819e-13       0.000000000000e+00       4.061315235109e-11       4.918902344070e-12      -9.807306230395e-15 
   57       2.118155258362e-10       2.449886329097e-14      -1.506671141354e-13       0.000000000000e+00       3.904070576088e-11       4.748705953553e-12      -1.023024375658e-14 
   58       2.147370255606e-10       2.583631353609e-14      -1.892706994147e-13       0.000000000000e+00       3.754866767695e-11       4.586728353886e-12      -1.060654825666e-14 
   59       2.176898041672e-10       2.721401624861e-14      -2.297819893382e-13       0.000000000000e+00       3.612536324842e-11       4.431544601050e-12      -1.088070570312e-14 
   60       2.206747555545e-10       2.863141157474e-14      -2.721829936061e-13       0.000000000000e+00       3.476890892302e-11       4.283010766858e-12      -1.104868551879e-14 
   61       2.236921449337e-10       3.008771013153e-14      -3.164415048148e-13       0.000000000000e+00       3.347884517840e-11       4.141208995047e-12      -1.112212132422e-14 
   62       2.267412111155e-10       3.158199353064e-14      -3.625187008632e-13       0.000000000000e+00       3.225300216795e-11       4.006053857160e-12      -1.111523708891e-14 
   63       2.298200975586e-10       3.311321028847e-14      -4.103689476334e-13       0.000000000000e+00       3.108740045715e-11       3.877282262307e-12      -1.104496561677e-14 
   64       2.329257834183e-10       3.468017173624e-14      -4.599396016707e-13       0.000000000000e+00       2.997615175985e-11       3.754443366928e-12      -1.093106703156e-14 
   65       2.360553431800e-10       3.628169741678e-14      -5.111823291667e-13       0.000000000000e+00       2.891308381601e-11       3.637032404809e-12      -1.079260430195e-14 
   66       2.392101904986e-10       3.791709625145e-14      -5.640902923324e-13       0.000000000000e+00       2.789723795634e-11       3.524947784124e-12      -1.063623611715e-14 
   67       2.423926125297e-10       3.958578026604e-14      -6.186685089976e-13       0.000000000000e+00       2.692836182384e-11       3.418113044443e-12      -1.046564912278e-14 
   68       2.456044894574e-10       4.128712418576e-14      -6.749231537100e-13       0.000000000000e+00       2.600523788612e-11       3.316335527320e-12      -1.028499837858e-14 
   69       2.488472627063e-10       4.302046552674e-14      -7.328616825504e-13       0.000000000000e+00       2.512563239935e-11       3.219300311803e-12      -1.009892394286e-14 
   70       2.521219031529e-10       4.478510468760e-14      -7.924929579463e-13       0.000000000000e+00       2.428624437237e-11       3.126564149934e-12      -9.912567456971e-15 
   71       2.554288793381e-10       4.658030504096e-14      -8.538273734864e-13       0.000000000000e+00       2.348265453071e-11       3.037549402255e-12      -9.731588729739e-15 
   72       2.587684219573e-10       4.840522825820e-14      -9.168680269692e-13       0.000000000000e+00       2.271046231262e-11       2.951691455234e-12      -9.561044003481e-15 
   73       2.621414467478e-10       5.025872570791e-14      -9.815820006371e-13       0.000000000000e+00       2.196906293641e-11       2.868927209658e-12      -9.401734623451e-15 
   74       2.655487521285e-10       5.213950699538e-14      -1.047923768077e-12       0.000000000000e+00       2.125850648657e-11       2.789289834629e-12      -9.253184203197e-15 
   75       2.689907140187e-10       5.404619981801e-14      -1.115843579320e-12       0.000000000000e+00       2.057835061543e-11       2.712761076863e-12      -9.114705597998e-15 
   76       2.724672608150e-10       5.597734857819e-14      -1.185287381281e-12       0.000000000000e+00       1.992763663121e-11       2.639268700346e-12      -8.985391500312e-15 
   77       2.759778483667e-10       5.793141299613e-14      -1.256196738188e-12       0.000000000000e+00       1.930486558606e-11       2.568683925993e-12      -8.864105035228e-15 
   78       2.795214349528e-10       5.990676672269e-14      -1.328508752027e-12       0.000000000000e+00       1.870797436415e-11       2.500818871299e-12      -8.749470355914e-15 
