# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.430590717141e-10       4.209346380973e-15       3.122939659151e-13       0.000000000000e+00       7.948829999422e-09       4.906024872161e-10      -1.849170857106e-12 
    3       1.356158670908e-10       5.316930341419e-15       3.632566425436e-13       0.000000000000e+00       4.857241708385e-09       3.477547316553e-10      -1.387081201402e-12 
    4       1.281753751717e-10       4.502840416287e-15       3.474747771938e-13       0.000000000000e+00       3.364099941913e-09       2.637342774815e-10      -8.928714709933e-13 
    5       1.224186525905e-10       2.934434346423e-15       3.011175641437e-13       0.000000000000e+00       2.504692196771e-09       2.087666325601e-10      -4.817514555984e-13 
    6       1.183573545102e-10       1.612454651332e-15       2.460739251348e-13       0.000000000000e+00       1.952530612155e-09       1.702536377190e-10      -1.842823858999e-13 
    7       1.156391785887e-10       8.767217926896e-16       1.956655560797e-13       0.000000000000e+00       1.572431957510e-09       1.419793301948e-10      -1.447631449412e-16 
    8       1.139342997343e-10       5.819353547760e-16       1.561354018408e-13       0.000000000000e+00       1.297465635070e-09       1.205283863262e-10       8.825590445935e-14 
    9       1.130332033471e-10       4.720236145329e-16       1.292635738633e-13       0.000000000000e+00       1.090965679400e-09       1.038514122323e-10       1.069335207274e-13 
   10       1.126994135888e-10       3.980486985273e-16       1.141652701013e-13       0.000000000000e+00       9.313523685902e-10       9.058440718064e-11       8.375681880649e-14 
   11       1.128091127979e-10       3.323986155491e-16       1.085426546921e-13       0.000000000000e+00       7.981160697141e-10       8.048287476425e-11       4.379384988125e-14 
   12       1.132662230917e-10       2.926427647583e-16       1.096820383997e-13       0.000000000000e+00       6.976242601250e-10       7.145015862531e-11       4.556907147060e-15 
   13       1.139921387766e-10       2.851038387866e-16       1.150373843655e-13       0.000000000000e+00       6.151063510127e-10       6.389531313248e-11      -2.322881182790e-14 
   14       1.149343775480e-10       2.992382384702e-16       1.225732217073e-13       0.000000000000e+00       5.464230238918e-10       5.744563818319e-11      -3.616070198884e-14 
   15       1.160395094082e-10       3.251746597224e-16       1.310614968906e-13       0.000000000000e+00       4.885940222079e-10       5.197709012958e-11      -3.585120693775e-14 
   16       1.173341730289e-10       3.631846067021e-16       1.398416914087e-13       0.000000000000e+00       4.394120265181e-10       4.724209594795e-11      -2.712769656916e-14 
   17       1.187157680544e-10       4.192172415918e-16       1.486196466943e-13       0.000000000000e+00       3.972099441738e-10       4.311155643603e-11      -1.553954838697e-14 
   18       1.202060248235e-10       4.969769279785e-16       1.575612871484e-13       0.000000000000e+00       3.605740754501e-10       3.946691407869e-11      -5.927156272846e-15 
   19       1.218239205211e-10       5.959960708276e-16       1.668509019225e-13       0.000000000000e+00       3.289136044696e-10       3.627972510189e-11      -3.594882250448e-16 
   20       1.235132253433e-10       7.139665873532e-16       1.766125463382e-13       0.000000000000e+00       3.010242124802e-10       3.347224860812e-11       2.739538900352e-16 
   21       1.252752414610e-10       8.505307716243e-16       1.868015531981e-13       0.000000000000e+00       2.764683504948e-10       3.099204763745e-11      -2.909521107048e-15 
   22       1.270976996087e-10       1.005682702033e-15       1.972352923054e-13       0.000000000000e+00       2.546555947138e-10       2.875617579427e-11      -7.724869414588e-15 
   23       1.289796346776e-10       1.179562702691e-15       2.075424891510e-13       0.000000000000e+00       2.352946954798e-10       2.674585762669e-11      -1.243046106608e-14 
   24       1.309037866130e-10       1.372297439281e-15       2.172622300187e-13       0.000000000000e+00       2.179444979216e-10       2.493625044742e-11      -1.540188215893e-14 
   25       1.328788113764e-10       1.584603913324e-15       2.261525149116e-13       0.000000000000e+00       2.023704487471e-10       2.329893800424e-11      -1.621188544023e-14 
   26       1.349070047323e-10       1.817502351991e-15       2.340525067938e-13       0.000000000000e+00       1.882685382341e-10       2.179247194191e-11      -1.497879450977e-14 
   27       1.369956944352e-10       2.072630244071e-15       2.409165401302e-13       0.000000000000e+00       1.755657978673e-10       2.041703689945e-11      -1.238303610396e-14 
   28       1.391354835068e-10       2.351984601629e-15       2.467573917247e-13       0.000000000000e+00       1.641082322859e-10       1.917265979883e-11      -9.516682928592e-15 
   29       1.413020004930e-10       2.657577826249e-15       2.516129210110e-13       0.000000000000e+00       1.536176632604e-10       1.804561508560e-11      -7.539816839597e-15 
   30       1.434987921356e-10       2.990581106964e-15       2.555094474046e-13       0.000000000000e+00       1.440365481174e-10       1.702560096557e-11      -6.651882386644e-15 
   31       1.457276593370e-10       3.351833144228e-15       2.584873092519e-13       0.000000000000e+00       1.352942238825e-10       1.609238595220e-11      -6.714311147186e-15 
   32       1.479815717117e-10       3.742099799078e-15       2.605749477684e-13       0.000000000000e+00       1.272528848347e-10       1.521885253785e-11      -7.492446019452e-15 
   33       1.502646798248e-10       4.162263322010e-15       2.616594555529e-13       0.000000000000e+00       1.198688635407e-10       1.440268458671e-11      -8.613645170693e-15 
   34       1.525773586324e-10       4.613189746750e-15       2.615661540142e-13       0.000000000000e+00       1.130767976808e-10       1.364489946864e-11      -9.579050884361e-15 
   35       1.549145773539e-10       5.095706682691e-15       2.601207167565e-13       0.000000000000e+00       1.067756510127e-10       1.294265260352e-11      -9.907344701558e-15 
   36       1.572823943075e-10       5.610717817690e-15       2.572557980611e-13       0.000000000000e+00       1.009491467919e-10       1.229488786114e-11      -9.625248312520e-15 
   37       1.596856626177e-10       6.159121241290e-15       2.529405095585e-13       0.000000000000e+00       9.557912710006e-11       1.169782658929e-11      -8.946376826051e-15 
   38       1.621227195438e-10       6.741775356877e-15       2.471528701117e-13       0.000000000000e+00       9.060914388650e-11       1.114292157169e-11      -8.146980266184e-15 
   39       1.645879925069e-10       7.359483441308e-15       2.398816210920e-13       0.000000000000e+00       8.596483864570e-11       1.061983389808e-11      -7.505624485490e-15 
   40       1.670826806350e-10       8.012948152533e-15       2.311310967034e-13       0.000000000000e+00       8.163203525685e-11       1.012763176654e-11      -7.086699047952e-15 
   41       1.696064803145e-10       8.702796579488e-15       2.209189230648e-13       0.000000000000e+00       7.759936038440e-11       9.666689611883e-12      -6.890516379536e-15 
   42       1.721540787343e-10       9.429587548528e-15       2.092755210722e-13       0.000000000000e+00       7.383493920334e-11       9.235441672806e-12      -6.911202374210e-15 
   43       1.747183553586e-10       1.019383513764e-14       1.962239607930e-13       0.000000000000e+00       7.029819291454e-11       8.831200510691e-12      -7.131025319704e-15 
   44       1.773023321521e-10       1.099609729355e-14       1.817104980047e-13       0.000000000000e+00       6.698370874022e-11       8.453325024531e-12      -7.502477860331e-15 
   45       1.799101291390e-10       1.183690821932e-14       1.656534604017e-13       0.000000000000e+00       6.388814454288e-11       8.100750303419e-12      -7.959748396286e-15 
   46       1.825433547928e-10       1.271675120467e-14       1.479614969516e-13       0.000000000000e+00       6.099705725764e-11       7.770977014488e-12      -8.422584521123e-15 
   47       1.852008532336e-10       1.363605643559e-14       1.285329044920e-13       0.000000000000e+00       5.828403720919e-11       7.459962268637e-12      -8.795457423974e-15 
   48       1.878803303928e-10       1.459518947426e-14       1.072749853578e-13       0.000000000000e+00       5.571884454513e-11       7.163338030165e-12      -8.995163845113e-15 
   49       1.905843644338e-10       1.559441796960e-14       8.417014408317e-14       0.000000000000e+00       5.329655060730e-11       6.880727128862e-12      -9.044782322644e-15 
   50       1.933156552517e-10       1.663393179949e-14       5.922726556771e-14       0.000000000000e+00       5.101512381562e-11       6.612456373947e-12      -9.004766410495e-15 
   51       1.960751403565e-10       1.771384898045e-14       3.246365078547e-14       0.000000000000e+00       4.886674837220e-11       6.358294849778e-12      -8.947419674215e-15 
   52       1.988618379359e-10       1.883421300121e-14       3.905365372913e-15       0.000000000000e+00       4.683741787000e-11       6.117412513412e-12      -8.957510988777e-15 
   53       2.016740972126e-10       1.999503228368e-14      -2.642433857780e-14       0.000000000000e+00       4.491133512292e-11       5.888719443859e-12      -9.109984755116e-15 
   54       2.045140882342e-10       2.119641661623e-14      -5.854405485577e-14       0.000000000000e+00       4.308637537347e-11       5.672081308466e-12      -9.394946212633e-15 
   55       2.073841930818e-10       2.243847115610e-14      -9.248462014239e-14       0.000000000000e+00       4.136189105645e-11       5.467344286491e-12      -9.774459011789e-15 
   56       2.102856039054e-10       2.372125649316e-14      -1.282782138362e-13       0.000000000000e+00       3.973405336259e-11       5.273956905612e-12      -1.020342454606e-14 
   57       2.132182249924e-10       2.504478774982e-14      -1.659585095402e-13       0.000000000000e+00       3.819564736597e-11       5.090944599731e-12      -1.062923686899e-14 
   58       2.161805748373e-10       2.640903368103e-14      -2.055608265496e-13       0.000000000000e+00       3.673586715133e-11       4.916884266765e-12      -1.099143761119e-14 
   59       2.191707325664e-10       2.781382157558e-14      -2.471112323842e-13       0.000000000000e+00       3.534329148634e-11       4.750298596404e-12      -1.123597379169e-14 
   60       2.221896562926e-10       2.925852821469e-14      -2.905905510840e-13       0.000000000000e+00       3.401608310421e-11       4.591003773720e-12      -1.136262152460e-14 
   61       2.252384636723e-10       3.074231542658e-14      -3.359622494466e-13       0.000000000000e+00       3.275380012438e-11       4.439030343208e-12      -1.138798519654e-14 
   62       2.283173940530e-10       3.226421396516e-14      -3.831825325742e-13       0.000000000000e+00       3.155432868945e-11       4.294219973614e-12      -1.133200977886e-14 
   63       2.314257459445e-10       3.382311941684e-14      -4.322001208202e-13       0.000000000000e+00       3.041378590768e-11       4.156214245226e-12      -1.121813075795e-14 
   64       2.345618144897e-10       3.541778810734e-14      -4.829560267356e-13       0.000000000000e+00       2.932642279537e-11       4.024443437159e-12      -1.107342406575e-14 
   65       2.377238496201e-10       3.704699203121e-14      -5.353959905507e-13       0.000000000000e+00       2.828621129857e-11       3.898292433140e-12      -1.092308054709e-14 
   66       2.409133068237e-10       3.871003097110e-14      -5.895113486715e-13       0.000000000000e+00       2.729221401554e-11       3.777664462715e-12      -1.077213246413e-14 
   67       2.441321750912e-10       4.040632183998e-14      -6.453064472686e-13       0.000000000000e+00       2.634418154941e-11       3.662517059681e-12      -1.062011356149e-14 
