# Matter power spectrum P(k) at redshift z=0
# for k=1.01151e-05 to 1.15871 h/Mpc,
# number of wavenumbers equal to 545
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.011513280938e-05       5.429617918479e+01 
       2.296358255151e-05       1.198792910389e+02 
       3.585616966910e-05       1.843698201523e+02 
       4.882740516773e-05       2.484418230484e+02 
       6.191236082902e-05       3.124795963532e+02 
       7.514698036487e-05       3.767726919485e+02 
       8.856840037781e-05       4.415699411627e+02 
       1.022152853802e-04       5.071014981412e+02 
       1.161281811574e-04       5.735901301229e+02 
       1.303498907932e-04       6.412580699496e+02 
       1.449258776847e-04       7.103317862324e+02 
       1.599046998185e-04       7.810457213421e+02 
       1.753384794122e-04       8.536454898745e+02 
       1.912834116729e-04       9.283908175546e+02 
       2.078003157950e-04       1.005558366489e+03 
       2.249552302883e-04       1.085444536913e+03 
       2.428200531265e-04       1.168368279243e+03 
       2.614732248318e-04       1.254673940382e+03 
       2.810004491945e-04       1.344734121895e+03 
       3.014954415462e-04       1.438952499548e+03 
       3.230606880067e-04       1.537766520386e+03 
       3.458081904915e-04       1.641649855956e+03 
       3.698601611541e-04       1.751114420114e+03 
       3.953496160523e-04       1.866711718567e+03 
       4.224208011989e-04       1.989033208482e+03 
       4.512293652321e-04       2.118709277863e+03 
       4.819421729851e-04       2.256406375618e+03 
       5.147366356370e-04       2.402821764683e+03 
       5.497994197694e-04       2.558675318871e+03 
       5.873243951279e-04       2.724697851476e+03 
       6.275096963272e-04       2.901615520146e+03 
       6.705538149019e-04       3.090130153469e+03 
       7.166507115431e-04       3.290895621909e+03 
       7.659840463503e-04       3.504490993471e+03 
       8.187207618652e-04       3.731391745292e+03 
       8.750044029081e-04       3.971940986254e+03 
       9.349486906243e-04       4.226323122266e+03 
       9.986319499985e-04       4.494542802442e+03 
       1.066092986665e-03       4.776411671906e+03 
       1.137328901088e-03       5.071544927158e+03 
       1.212295122766e-03       5.379368768431e+03 
       1.290907679447e-03       5.699138119900e+03 
       1.373047442355e-03       6.029941211900e+03 
       1.458565866852e-03       6.370770193775e+03 
       1.547291621396e-03       6.720567614665e+03 
       1.639037480172e-03       7.078209474300e+03 
       1.733606931752e-03       7.442560268018e+03 
       1.830800093938e-03       7.812500198630e+03 
       1.930418684546e-03       8.186947427315e+03 
       2.032269946898e-03       8.564874828113e+03 
       2.136169546968e-03       8.945321229968e+03 
       2.241943539042e-03       9.327398832522e+03 
       2.349429540498e-03       9.710295445331e+03 
       2.458477271220e-03       1.009327502587e+04 
       2.568948608161e-03       1.047567552111e+04 
       2.680717288980e-03       1.085690463041e+04 
       2.793668376770e-03       1.123643679649e+04 
       2.907697575132e-03       1.161380568861e+04 
       3.022710461784e-03       1.198860209559e+04 
       3.138621690696e-03       1.236046549392e+04 
       3.255354198001e-03       1.272908222789e+04 
       3.372838435284e-03       1.309417787384e+04 
       3.491011645071e-03       1.345551549816e+04 
       3.609817186928e-03       1.381288959044e+04 
       3.729203917936e-03       1.416612553365e+04 
       3.849125628216e-03       1.451507145983e+04 
       3.969540530032e-03       1.485960213504e+04 
       4.090410797751e-03       1.519960882741e+04 
       4.211702155165e-03       1.553500593209e+04 
       4.333383506333e-03       1.586571725876e+04 
       4.455426606034e-03       1.619168973141e+04 
       4.577805765964e-03       1.651287673842e+04 
       4.700497593051e-03       1.682929158303e+04 
       4.823480756454e-03       1.714081108141e+04 
       4.946735780144e-03       1.744744337393e+04 
       5.070244858220e-03       1.774922822264e+04 
       5.193991690398e-03       1.804581641240e+04 
       5.317961335391e-03       1.833771564931e+04 
       5.442140080138e-03       1.862474258235e+04 
       5.566515323065e-03       1.890659020401e+04 
       5.691075469777e-03       1.918404628592e+04 
       5.815809839768e-03       1.945675018255e+04 
       5.940708582876e-03       1.972462657261e+04 
