# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.209197020846e-10       4.639285649029e-15       2.110172762639e-13       0.000000000000e+00       6.159131752961e-09       7.622640288962e-10      -1.833864462363e-12 
    3       1.952019576835e-10       5.115620646042e-15       2.989170043020e-13       0.000000000000e+00       3.809169428497e-09       5.300821090801e-10      -1.257303042770e-12 
    4       1.752733731047e-10       3.660182450268e-15       3.085484594229e-13       0.000000000000e+00       2.660661408050e-09       3.976771982204e-10      -6.825989459685e-13 
    5       1.607618906590e-10       2.029818727155e-15       2.759312268333e-13       0.000000000000e+00       1.993299389944e-09       3.125870137533e-10      -2.563145448036e-13 
    6       1.503692872330e-10       1.044267820371e-15       2.276166289554e-13       0.000000000000e+00       1.561459555135e-09       2.536635890677e-10       2.791864160836e-16 
    7       1.430451385696e-10       6.348433102438e-16       1.809338645810e-13       0.000000000000e+00       1.262509043139e-09       2.108760702720e-10       1.125248955553e-13 
    8       1.378593592883e-10       4.756533640685e-16       1.447181631954e-13       0.000000000000e+00       1.045275573858e-09       1.786866586110e-10       1.255702940807e-13 
    9       1.342581225595e-10       3.774207560502e-16       1.218847451257e-13       0.000000000000e+00       8.815102829756e-10       1.537151807243e-10       8.698316947021e-14 
   10       1.317934674345e-10       3.061013128281e-16       1.115281349182e-13       0.000000000000e+00       7.544701552139e-10       1.338066802877e-10       3.538543661649e-14 
   11       1.301395700943e-10       2.707985260264e-16       1.108358041519e-13       0.000000000000e+00       6.501210554133e-10       1.184068458545e-10      -4.310105450027e-15 
   12       1.291954053498e-10       2.668019025943e-16       1.164457212579e-13       0.000000000000e+00       5.693305517683e-10       1.047856529080e-10      -2.468383724377e-14 
   13       1.287913437332e-10       2.834865201456e-16       1.252740053080e-13       0.000000000000e+00       5.028138497752e-10       9.355058234771e-11      -2.636841999027e-14 
   14       1.288003071958e-10       3.188488047265e-16       1.352234492609e-13       0.000000000000e+00       4.473294880566e-10       8.409806594890e-11      -1.716831766118e-14 
   15       1.291517161777e-10       3.763197084685e-16       1.452824333578e-13       0.000000000000e+00       4.005146624634e-10       7.583901913877e-11      -6.026637319793e-15 
   16       1.297694251116e-10       4.572681885500e-16       1.552069824574e-13       0.000000000000e+00       3.606180709936e-10       6.872417198794e-11       1.295467532604e-15 
