# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.432611688458e-10       4.248516362632e-15       3.845181375798e-13       0.000000000000e+00       8.358517492086e-09       4.783773249779e-10      -1.827422312852e-12 
    3       1.330046859137e-10       5.401420656160e-15       4.209691584285e-13       0.000000000000e+00       5.138652456954e-09       3.336312868433e-10      -1.385206149945e-12 
    4       1.245980729089e-10       4.647149487360e-15       3.857998301432e-13       0.000000000000e+00       3.564624567368e-09       2.495760809325e-10      -9.036289923549e-13 
    5       1.186470364676e-10       3.086401715429e-15       3.228731022028e-13       0.000000000000e+00       2.655340828046e-09       1.952773487644e-10      -4.985211691105e-13 
    6       1.146726648954e-10       1.719344762792e-15       2.560785094541e-13       0.000000000000e+00       2.070395151664e-09       1.575974153754e-10      -2.010301510780e-13 
    7       1.121134082296e-10       9.269754087305e-16       1.985055449371e-13       0.000000000000e+00       1.667469096262e-09       1.301294920575e-10      -1.231751920108e-14 
    8       1.106242112506e-10       5.978251642125e-16       1.553684755208e-13       0.000000000000e+00       1.376117886859e-09       1.094538981979e-10       8.289553648922e-14 
    9       1.099318431919e-10       4.794990249200e-16       1.272851336873e-13       0.000000000000e+00       1.157448924530e-09       9.354427970825e-11       1.082411299779e-13 
   10       1.097541765148e-10       4.080471878377e-16       1.123500365842e-13       0.000000000000e+00       9.883679901909e-10       8.101716824763e-11       8.980027280741e-14 
   11       1.100457860100e-10       3.428844463078e-16       1.074557458655e-13       0.000000000000e+00       8.465341374202e-10       7.168573389150e-11       5.180276459521e-14 
   12       1.106468771816e-10       2.994225201893e-16       1.092363583633e-13       0.000000000000e+00       7.399540434092e-10       6.305993783883e-11       1.170549263410e-14 
   13       1.114734964126e-10       2.878780938025e-16       1.149110253489e-13       0.000000000000e+00       6.524098899206e-10       5.609437793806e-11      -1.855773333678e-14 
   14       1.125428622193e-10       2.998285522338e-16       1.224404515886e-13       0.000000000000e+00       5.795413258614e-10       5.014226722250e-11      -3.481451546875e-14 
   15       1.137807929679e-10       3.237853586171e-16       1.305065511551e-13       0.000000000000e+00       5.181768962998e-10       4.509679824347e-11      -3.759434892504e-14 
   16       1.151264431084e-10       3.577852252448e-16       1.386156271258e-13       0.000000000000e+00       4.659810776434e-10       4.075325545607e-11      -3.086865729691e-14 
   17       1.165963169043e-10       4.075052554327e-16       1.467492862721e-13       0.000000000000e+00       4.211893091757e-10       3.697088727204e-11      -1.987770885986e-14 
   18       1.181519636322e-10       4.782190908208e-16       1.551062957704e-13       0.000000000000e+00       3.823040976971e-10       3.369866047235e-11      -9.496359624537e-15 
   19       1.198079910467e-10       5.703059946339e-16       1.639232340456e-13       0.000000000000e+00       3.486996919622e-10       3.088083975421e-11      -2.290275406073e-15 
   20       1.215458910671e-10       6.818868914469e-16       1.733967050111e-13       0.000000000000e+00       3.190976438987e-10       2.838011062327e-11       7.838132981251e-17 
   21       1.233548211298e-10       8.122586294263e-16       1.834612366659e-13       0.000000000000e+00       2.930338298238e-10       2.614778107227e-11      -1.780296770130e-15 
   22       1.251986747043e-10       9.607914115688e-16       1.938788711264e-13       0.000000000000e+00       2.698821586899e-10       2.413329921928e-11      -6.073064548332e-15 
   23       1.270939897582e-10       1.127582175847e-15       2.042839919269e-13       0.000000000000e+00       2.493336380035e-10       2.233851682019e-11      -1.102384239034e-14 
   24       1.290511681327e-10       1.312811249750e-15       2.142238811217e-13       0.000000000000e+00       2.309200554812e-10       2.075536098480e-11      -1.476303438358e-14 
   25       1.310639508131e-10       1.516755570258e-15       2.233826647633e-13       0.000000000000e+00       2.143922464609e-10       1.934528106758e-11      -1.653047776899e-14 
   26       1.331083414633e-10       1.739878497710e-15       2.315022900343e-13       0.000000000000e+00       1.994273154886e-10       1.804953443027e-11      -1.607066845549e-14 
   27       1.351929519996e-10       1.983830573247e-15       2.385256152509e-13       0.000000000000e+00       1.859478218283e-10       1.686305687328e-11      -1.392201593874e-14 
   28       1.373213135912e-10       2.250863454082e-15       2.444864983819e-13       0.000000000000e+00       1.737904845176e-10       1.578625713028e-11      -1.110191697880e-14 
   29       1.394829093607e-10       2.543255700765e-15       2.494530132728e-13       0.000000000000e+00       1.626602518813e-10       1.480842389762e-11      -8.738010220408e-15 
   30       1.416814546346e-10       2.862122600730e-15       2.534865367618e-13       0.000000000000e+00       1.524959297267e-10       1.392349408485e-11      -7.197428405195e-15 
   31       1.439141266325e-10       3.208125767646e-15       2.566713723040e-13       0.000000000000e+00       1.432223013456e-10       1.311809527083e-11      -6.622394186909e-15 
   32       1.461689248258e-10       3.581868769031e-15       2.590815429253e-13       0.000000000000e+00       1.346929157548e-10       1.237258296821e-11      -7.060327156513e-15 
   33       1.484475172927e-10       3.984276273124e-15       2.606190391199e-13       0.000000000000e+00       1.268613859120e-10       1.168334998021e-11      -8.149086978438e-15 
   34       1.507484676545e-10       4.416343660398e-15       2.611139255808e-13       0.000000000000e+00       1.196583800884e-10       1.104743251285e-11      -9.300834969732e-15 
   35       1.530656572979e-10       4.879023806087e-15       2.603881275070e-13       0.000000000000e+00       1.129767212803e-10       1.045849641264e-11      -9.927635232924e-15 
   36       1.554074802464e-10       5.373187711272e-15       2.583394520900e-13       0.000000000000e+00       1.067990777992e-10       9.915022781045e-12      -9.978081475073e-15 
   37       1.577828782022e-10       5.899643671124e-15       2.548848396677e-13       0.000000000000e+00       1.011060991636e-10       9.414230917123e-12      -9.583256921164e-15 
   38       1.601954194479e-10       6.459142243301e-15       2.499377627294e-13       0.000000000000e+00       9.583781123004e-11       8.949461077023e-12      -8.918750830574e-15 
   39       1.626440668317e-10       7.052384698383e-15       2.434296343335e-13       0.000000000000e+00       9.091524557081e-11       8.512545608537e-12      -8.177931466008e-15 
   40       1.651273915419e-10       7.680062240999e-15       2.353834756423e-13       0.000000000000e+00       8.632331562617e-11       8.102750895395e-12      -7.472884070484e-15 
   41       1.676396984405e-10       8.342823001670e-15       2.258649135200e-13       0.000000000000e+00       8.204992582462e-11       7.720295374190e-12      -6.905143695116e-15 
   42       1.701691858789e-10       9.041257196440e-15       2.149640332476e-13       0.000000000000e+00       7.806124236296e-11       7.363747125159e-12      -6.593719600812e-15 
   43       1.727029947192e-10       9.775921464189e-15       2.027607409142e-13       0.000000000000e+00       7.431420301677e-11       7.030727483998e-12      -6.637493798731e-15 
   44       1.752455427357e-10       1.054742884304e-14       1.892046547970e-13       0.000000000000e+00       7.080303480756e-11       6.720628460122e-12      -6.986110904288e-15 
   45       1.778049776551e-10       1.135638123047e-14       1.742001043160e-13       0.000000000000e+00       6.752416190687e-11       6.432497557930e-12      -7.530464371108e-15 
   46       1.803878832352e-10       1.220334261920e-14       1.576380333601e-13       0.000000000000e+00       6.446223963306e-11       6.164173599040e-12      -8.136336419756e-15 
   47       1.829990828109e-10       1.308883751821e-14       1.393951092538e-13       0.000000000000e+00       6.158923691726e-11       5.912195221589e-12      -8.642927013233e-15 
   48       1.856415687196e-10       1.401330732424e-14       1.193596245832e-13       0.000000000000e+00       5.887306409858e-11       5.672804128413e-12      -8.906572066455e-15 
   49       1.883167254515e-10       1.497696857805e-14       9.751991568934e-14       0.000000000000e+00       5.630847315414e-11       5.445502749285e-12      -8.949903201690e-15 
   50       1.910238318715e-10       1.597991203942e-14       7.389933737147e-14       0.000000000000e+00       5.389329143901e-11       5.230342231628e-12      -8.852206916520e-15 
   51       1.937597554740e-10       1.702213761528e-14       4.853211036765e-14       0.000000000000e+00       5.161921692329e-11       5.026880481811e-12      -8.708720389364e-15 
   52       1.965187623514e-10       1.810355063532e-14       2.146379730484e-14       0.000000000000e+00       4.947138766466e-11       4.834146518994e-12      -8.631466028135e-15 
   53       1.992949112964e-10       1.922403703758e-14      -7.266465905766e-15       0.000000000000e+00       4.743304501804e-11       4.650991466285e-12      -8.720851380433e-15 
   54       2.020903962908e-10       2.038372019579e-14      -3.768573557264e-14       0.000000000000e+00       4.550192205150e-11       4.477329537281e-12      -8.969974215561e-15 
   55       2.049090180289e-10       2.158276364223e-14      -6.984203347975e-14       0.000000000000e+00       4.367731894657e-11       4.313154034179e-12      -9.337164676973e-15 
   56       2.077537077113e-10       2.282129753198e-14      -1.037877300519e-13       0.000000000000e+00       4.195516606188e-11       4.158159645110e-12      -9.772683599145e-15 
   57       2.106264453619e-10       2.409941822713e-14      -1.395798333758e-13       0.000000000000e+00       4.032780697950e-11       4.011723009177e-12      -1.021833128523e-14 
   58       2.135281781450e-10       2.541718788092e-14      -1.772802782207e-13       0.000000000000e+00       3.878378155147e-11       3.872883281502e-12      -1.060705628470e-14 
