# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.286907855835e-10       4.085263437982e-15       3.625563672374e-13       0.000000000000e+00       8.645367582524e-09       3.919782895974e-10      -1.838403833630e-12 
    3       1.233632633693e-10       5.334196135146e-15       4.020899489575e-13       0.000000000000e+00       5.282098224035e-09       2.803831323869e-10      -1.407200789869e-12 
    4       1.178665529077e-10       4.728746405176e-15       3.750142182416e-13       0.000000000000e+00       3.653984137266e-09       2.133744329390e-10      -9.391198320170e-13 
    5       1.136830069902e-10       3.239212820621e-15       3.197204689115e-13       0.000000000000e+00       2.716578831762e-09       1.690451580812e-10      -5.399555371698e-13 
    6       1.108336869888e-10       1.849730306954e-15       2.581186173498e-13       0.000000000000e+00       2.115392462505e-09       1.377699878619e-10      -2.399280414697e-13 
    7       1.090399084685e-10       9.979687457493e-16       2.030674645195e-13       0.000000000000e+00       1.701948114428e-09       1.147555870862e-10      -4.248776570823e-14 
    8       1.081018691958e-10       6.258215067714e-16       1.602713949615e-13       0.000000000000e+00       1.403038405085e-09       9.730441150702e-11       6.452464341788e-14 
    9       1.077804926182e-10       4.946859431429e-16       1.311247847141e-13       0.000000000000e+00       1.178909299541e-09       8.370953210735e-11       1.016000068670e-13 
   10       1.078899371546e-10       4.251884965804e-16       1.144837953920e-13       0.000000000000e+00       1.005979215572e-09       7.287377959018e-11       9.231531103759e-14 
   11       1.083802411032e-10       3.594802731652e-16       1.078268791942e-13       0.000000000000e+00       8.604536838005e-10       6.492886103854e-11       5.947933464161e-14 
   12       1.091572036032e-10       3.089753860767e-16       1.082380450848e-13       0.000000000000e+00       7.517309353754e-10       5.744570184877e-11       2.047103680572e-14 
   13       1.101455461194e-10       2.894844097997e-16       1.130222829705e-13       0.000000000000e+00       6.624972616911e-10       5.141486401532e-11      -1.185708650189e-14 
   14       1.112899906172e-10       2.973196622508e-16       1.201128894477e-13       0.000000000000e+00       5.882770586545e-10       4.615521169554e-11      -3.186784046287e-14 
   15       1.125741240218e-10       3.198587779876e-16       1.281905407048e-13       0.000000000000e+00       5.258152321922e-10       4.162929401095e-11      -3.858757467070e-14 
   16       1.140104009984e-10       3.511183541714e-16       1.364605893733e-13       0.000000000000e+00       4.727176794140e-10       3.778117867423e-11      -3.475886119510e-14 
   17       1.155046238108e-10       3.947981694070e-16       1.446515562834e-13       0.000000000000e+00       4.271765459394e-10       3.448518118974e-11      -2.497605058715e-14 
   18       1.170953001528e-10       4.576194840428e-16       1.529372567603e-13       0.000000000000e+00       3.876594528697e-10       3.159684452583e-11      -1.408079865312e-14 
   19       1.187914489312e-10       5.412937057805e-16       1.615307150646e-13       0.000000000000e+00       3.535252110883e-10       2.905214261412e-11      -5.106620780239e-15 
   20       1.205251439329e-10       6.449487993727e-16       1.706116102289e-13       0.000000000000e+00       3.234678986454e-10       2.675698368971e-11      -4.923350603039e-16 
   21       1.223164210289e-10       7.674417310359e-16       1.802121266298e-13       0.000000000000e+00       2.970125949484e-10       2.471457615407e-11      -2.770389643793e-16 
   22       1.241800404571e-10       9.072728698089e-16       1.902449122383e-13       0.000000000000e+00       2.735207387720e-10       2.292203904834e-11      -3.291694637430e-15 
   23       1.260987573991e-10       1.064842821699e-15       2.004357623428e-13       0.000000000000e+00       2.526766243680e-10       2.133116857151e-11      -7.966048540830e-15 
