# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.568020747301e-10       4.342558095894e-15       3.356369875075e-13       2.221892749602e-19       7.764999420565e-09       5.540870863668e-10      -1.845193958676e-12 
    3       1.447464650585e-10       5.369569661524e-15       3.852307414393e-13       4.444675599200e-19       4.764469183972e-09       3.871386493173e-10      -1.369469217462e-12 
    4       1.345346955067e-10       4.440873078798e-15       3.618219980585e-13       7.409754514442e-19       3.306970623011e-09       2.906159546568e-10      -8.631355785098e-13 
    5       1.270786749213e-10       2.827021341220e-15       3.075091892317e-13       1.111827176219e-18       2.466095080844e-09       2.281834688755e-10      -4.476051693659e-13 
    6       1.219175950662e-10       1.529405902577e-15       2.465679286336e-13       1.557161780762e-18       1.924962291370e-09       1.848671096272e-10      -1.532816065062e-13 
    7       1.184902528585e-10       8.373023672958e-16       1.929018645041e-13       2.077140791086e-18       1.551854209341e-09       1.533589509907e-10       2.275936725731e-14 
    8       1.162746095124e-10       5.683559958487e-16       1.524427164989e-13       2.671945548723e-18       1.281628591853e-09       1.295760797655e-10       1.011691830623e-13 
    9       1.149755915092e-10       4.635624788299e-16       1.262470219134e-13       3.341774293989e-18       1.078473791407e-09       1.111098619371e-10       1.106990013452e-13 
   10       1.143974156235e-10       3.886955486185e-16       1.125583519969e-13       4.086839072915e-18       9.212696999464e-10       9.648148199042e-11       8.109843702049e-14 
   11       1.142749409562e-10       3.263974328786e-16       1.084369413781e-13       4.907362547462e-18       7.905153786917e-10       8.538700272266e-11       3.825327040228e-14 
   12       1.145672751962e-10       2.934897155993e-16       1.108032088367e-13       5.803574789234e-18       6.913071808951e-10       7.561156417132e-11      -6.577874054565e-16 
   13       1.151834376682e-10       2.915973921455e-16       1.168964615211e-13       6.775710134971e-18       6.097737566775e-10       6.727330031421e-11      -2.612156132129e-14 
   14       1.160085678269e-10       3.087932406212e-16       1.247574199727e-13       7.824004177803e-18       5.418715117091e-10       6.032618570380e-11      -3.571356792587e-14 
   15       1.170592056167e-10       3.374729287233e-16       1.332235428523e-13       8.948690961595e-18       4.846721584782e-10       5.445027937120e-11      -3.260051281347e-14 
   16       1.182788861753e-10       3.803132933031e-16       1.417289188634e-13       1.015000043716e-17       4.360002338291e-10       4.928454220566e-11      -2.263565150176e-14 
   17       1.196272666055e-10       4.432945240415e-16       1.503401489144e-13       1.142815622882e-17       3.942133865338e-10       4.479531913381e-11      -1.135455227392e-14 
   18       1.211021730542e-10       5.284928445554e-16       1.593288753361e-13       1.278337361880e-17       3.579228656223e-10       4.088134656428e-11      -3.103918602963e-15 
   19       1.227056740552e-10       6.348365067556e-16       1.688423702957e-13       1.421585867944e-17       3.265483873661e-10       3.749043790874e-11       5.876390202026e-16 
   20       1.243803321728e-10       7.599320383252e-16       1.789240961564e-13       1.572580571111e-17       2.989019230358e-10       3.450912426812e-11      -5.206918335389e-16 
   21       1.261312214552e-10       9.038978793210e-16       1.894211928674e-13       1.731339847199e-17       2.745525613372e-10       3.187147934578e-11      -4.884924678628e-15 
   22       1.279511696863e-10       1.067334670069e-15       2.000367393580e-13       1.897880750688e-17       2.529172201703e-10       2.948982397922e-11      -9.998406579532e-15 
   23       1.298405576605e-10       1.250065362860e-15       2.104035408599e-13       2.072219296309e-17       2.337084153935e-10       2.736501433495e-11      -1.414663957000e-14 
   24       1.317809209573e-10       1.451717372666e-15       2.200977708035e-13       2.254370147137e-17       2.164899034295e-10       2.549157467683e-11      -1.595629300719e-14 
   25       1.337757592235e-10       1.673508935996e-15       2.288416863473e-13       2.444346948468e-17       2.010302527040e-10       2.380954163399e-11      -1.553046479767e-14 
