# Matter power spectrum P(k) at redshift z=0
# for k=1.06557e-05 to 1.19294 h/Mpc,
# number of wavenumbers equal to 553
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065569293999e-05       4.462888882376e+01 
       2.350530956224e-05       9.583648719009e+01 
       3.640050940993e-05       1.462229382347e+02 
       4.937582091362e-05       1.962976712951e+02 
       6.246634623943e-05       2.463563611784e+02 
       7.570807277071e-05       2.966234590554e+02 
       8.913819457442e-05       3.472926286383e+02 
       1.027954481060e-04       3.985434259036e+02 
       1.167204664396e-04       4.505499192717e+02 
       1.309561563426e-04       5.034859410458e+02 
       1.455481025214e-04       5.575287803842e+02 
       1.605450033058e-04       6.128620795380e+02 
       1.759991418651e-04       6.696783232194e+02 
       1.919668966877e-04       7.281811340434e+02 
       2.085092944127e-04       7.885874763581e+02 
       2.256926070485e-04       8.511298515080e+02 
       2.435889939872e-04       9.160584981432e+02 
       2.622771868097e-04       9.836436209508e+02 
       2.818432114068e-04       1.054177625409e+03 
       3.023811371028e-04       1.127977320402e+03 
       3.239938358786e-04       1.205386023753e+03 
       3.467937260716e-04       1.286775467472e+03 
       3.709034636935e-04       1.372547356774e+03 
       3.964565305134e-04       1.463134393773e+03 
       4.235976513081e-04       1.559000514696e+03 
       4.524829536824e-04       1.660640026844e+03 
       4.832797639100e-04       1.768575283276e+03 
       5.161659137726e-04       1.883352471407e+03 
       5.513284203523e-04       2.005535070574e+03 
       5.889613988127e-04       2.135694574777e+03 
       6.292630845631e-04       2.274398146014e+03 
       6.724318836201e-04       2.422193076697e+03 
       7.186614448588e-04       2.579588186304e+03 
       7.681348572428e-04       2.747032779997e+03 
       8.210182129967e-04       2.924894141268e+03 
       8.774539269084e-04       3.113435158503e+03 
       9.375543339186e-04       3.312793971111e+03 
       1.001396166030e-03       3.522967788073e+03 
       1.069016501982e-03       3.743802886224e+03 
       1.140410670944e-03       3.974992224815e+03 
       1.215532382500e-03       4.216081515551e+03 
       1.294296086106e-03       4.466483265405e+03 
       1.376581290223e-03       4.725478836667e+03 
       1.462238353123e-03       4.992279981836e+03 
       1.551095135291e-03       5.266056296079e+03 
       1.642963890329e-03       5.545927961723e+03 
       1.737647851579e-03       5.831007256085e+03 
       1.834947111136e-03       6.120419729552e+03 
       1.934663547709e-03       6.413321326606e+03 
       2.036604707783e-03       6.708911077228e+03 
       2.140586661164e-03       7.006439699654e+03 
       2.246435930312e-03       7.305215411458e+03 
       2.353990635213e-03       7.604605787893e+03 
       2.463101009427e-03       7.904037727151e+03 
       2.573629437318e-03       8.202996233228e+03 
       2.685450145534e-03       8.501020383468e+03 
       2.798448659787e-03       8.797701222364e+03 
       2.912521115265e-03       9.092676158575e+03 
       3.027573488017e-03       9.385626900474e+03 
       3.143520796634e-03       9.676273216066e+03 
       3.260286308901e-03       9.964371256745e+03 
       3.377800776622e-03       1.024970793989e+04 
       3.496001713105e-03       1.053209906301e+04 
       3.614832721502e-03       1.081138475582e+04 
       3.734242877606e-03       1.108742964704e+04 
       3.854186167674e-03       1.136011563581e+04 
       3.974620979732e-03       1.162934547048e+04 
       4.095509645604e-03       1.189503528937e+04 
       4.216818030143e-03       1.215711831630e+04 
       4.338515163825e-03       1.241553599211e+04 
       4.460572914777e-03       1.267024554993e+04 
       4.582965696406e-03       1.292121094561e+04 
       4.705670206980e-03       1.316840451399e+04 
       4.828665197772e-03       1.341180011434e+04 
       4.951931266650e-03       1.365134332791e+04 
       5.075450674294e-03       1.388713669802e+04 
       5.199207180481e-03       1.411911418660e+04 
       5.323185898174e-03       1.434723643113e+04 
       5.447373163373e-03       1.457164673960e+04 
       5.571756418934e-03       1.479227266885e+04 
       5.696324110753e-03       1.500911166747e+04 
       5.821065594905e-03       1.522218911015e+04 
       5.945971054493e-03       1.543086345368e+04 
       6.071031425105e-03       1.563647706061e+04 
       6.196238327913e-03       1.583835056812e+04 
       6.321584009553e-03       1.603671953882e+04 
