# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.339728452144e-10       4.145498046123e-15       3.794715088202e-13       0.000000000000e+00       8.622318389501e-09       4.224177464611e-10      -1.831272094469e-12 
    3       1.265250123580e-10       5.368855678381e-15       4.165102766428e-13       0.000000000000e+00       5.268883618667e-09       2.981040691244e-10      -1.398710215671e-12 
    4       1.198466144083e-10       4.719016367715e-15       3.841164354278e-13       0.000000000000e+00       3.646842561506e-09       2.247912449728e-10      -9.278509513339e-13 
    5       1.150116864738e-10       3.205430034734e-15       3.239849298210e-13       0.000000000000e+00       2.713617645678e-09       1.768958318453e-10      -5.274309307440e-13 
    6       1.117732597339e-10       1.817821684446e-15       2.589628616935e-13       0.000000000000e+00       2.114413626040e-09       1.433961330573e-10      -2.283539085563e-13 
    7       1.097298300389e-10       9.794733926239e-16       2.019846316097e-13       0.000000000000e+00       1.702057208386e-09       1.188390419780e-10      -3.342859381036e-14 
    8       1.086148033593e-10       6.179440112862e-16       1.584865674730e-13       0.000000000000e+00       1.403987503303e-09       1.002704070882e-10       7.029337151050e-14 
    9       1.081741936298e-10       4.902074053706e-16       1.294997023134e-13       0.000000000000e+00       1.180256033847e-09       8.593276171747e-11       1.040949051560e-13 
   10       1.082288041298e-10       4.203316512885e-16       1.134524767644e-13       0.000000000000e+00       1.007264246461e-09       7.461691876203e-11       9.219923967745e-14 
   11       1.086696708786e-10       3.548506411896e-16       1.074831424084e-13       0.000000000000e+00       8.620350767229e-10       6.617886364385e-11       5.769681698266e-14 
   12       1.093736406145e-10       3.063327158537e-16       1.084405006649e-13       0.000000000000e+00       7.532702755476e-10       5.842038797977e-11       1.834537648402e-14 
   13       1.103082792272e-10       2.891877065304e-16       1.136011503254e-13       0.000000000000e+00       6.639654747177e-10       5.197538985718e-11      -1.372562932652e-14 
   14       1.114470624061e-10       2.983214188486e-16       1.209140655096e-13       0.000000000000e+00       5.896628966235e-10       4.669457647400e-11      -3.268325400108e-14 
   15       1.127480697504e-10       3.211841346822e-16       1.289824495517e-13       0.000000000000e+00       5.271216401819e-10       4.203482014278e-11      -3.846931508573e-14 
   16       1.141254556080e-10       3.528847943778e-16       1.370900951334e-13       0.000000000000e+00       4.739407073858e-10       3.801385673153e-11      -3.394311047359e-14 
   17       1.156194834971e-10       3.978679457873e-16       1.451859822720e-13       0.000000000000e+00       4.283170918112e-10       3.453349809062e-11      -2.385128044670e-14 
   18       1.172109435561e-10       4.625029378895e-16       1.534053247121e-13       0.000000000000e+00       3.887209094984e-10       3.152386310380e-11      -1.307653161996e-14 
   19       1.188987241642e-10       5.481729933001e-16       1.619794971913e-13       0.000000000000e+00       3.545118962953e-10       2.892481096783e-11      -4.532181917213e-15 
   20       1.206423327463e-10       6.537769948792e-16       1.711431818997e-13       0.000000000000e+00       3.243847226609e-10       2.660000359124e-11      -4.653608412017e-16 
   21       1.224423758220e-10       7.782674775401e-16       1.808896865859e-13       0.000000000000e+00       2.978647515150e-10       2.452719177327e-11      -7.810787850101e-16 
   22       1.242849812423e-10       9.203301167741e-16       1.910558252831e-13       0.000000000000e+00       2.743127873991e-10       2.268825964012e-11      -4.181500348058e-15 
   23       1.261838279942e-10       1.080266793252e-15       2.013352229272e-13       0.000000000000e+00       2.534130407869e-10       2.106289843022e-11      -8.999814990099e-15 
   24       1.281386274281e-10       1.258655194303e-15       2.113194619302e-13       0.000000000000e+00       2.346878017352e-10       1.960837576790e-11      -1.327645392583e-14 
