# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.360319359684e-10       4.163106510647e-15       3.669752861369e-13       2.314943944023e-19       8.464148740445e-09       4.390572419459e-10      -1.836961065391e-12 
    3       1.285256595571e-10       5.364137794875e-15       4.071130894497e-13       4.630774403353e-19       5.182445503533e-09       3.101816906030e-10      -1.397070370241e-12 
    4       1.216368973204e-10       4.678368910772e-15       3.777202603652e-13       7.719912760426e-19       3.587610235267e-09       2.341329633840e-10      -9.207452661451e-13 
    5       1.165653111260e-10       3.150353188900e-15       3.198764895092e-13       1.158350069476e-18       2.669312777226e-09       1.844257033809e-10      -5.176856723240e-13 
    6       1.131268228911e-10       1.774903244054e-15       2.564853466149e-13       1.622293132913e-18       2.079874394279e-09       1.497076230883e-10      -2.186347011826e-13 
    7       1.109708556022e-10       9.584750159102e-16       2.005903029551e-13       2.163982778701e-18       1.674419697751e-09       1.242931773012e-10      -2.575458275309e-14 
    8       1.097034916578e-10       6.125484032692e-16       1.578291449250e-13       2.783601862541e-18       1.381305906609e-09       1.050407979874e-10       7.485688905352e-14 
    9       1.091546810956e-10       4.900570081637e-16       1.293278594769e-13       3.481351072243e-18       1.161318861284e-09       9.011114347738e-11       1.054553347613e-13 
   10       1.091520957899e-10       4.201442743348e-16       1.135303691079e-13       4.257446025203e-18       9.912958301363e-10       7.830104358912e-11       9.103330773508e-14 
   11       1.095100243970e-10       3.551164066090e-16       1.076791696349e-13       5.112114241346e-18       8.484225774542e-10       6.942814779878e-11       5.509150714909e-14 
   12       1.101586929010e-10       3.091806544089e-16       1.087577476560e-13       6.045592059942e-18       7.414338696347e-10       6.149776490033e-11       1.565930296608e-14 
   13       1.110558260786e-10       2.952037214765e-16       1.140168532640e-13       7.058121568477e-18       6.535928803410e-10       5.468939008425e-11      -1.578955343717e-14 
   14       1.121561788842e-10       3.066505908095e-16       1.213560063696e-13       8.149947609644e-18       5.804930225473e-10       4.906505944703e-11      -3.362615499525e-14 
   15       1.133908073455e-10       3.312448480113e-16       1.294460396702e-13       9.321314928647e-18       5.189601435133e-10       4.434610558462e-11      -3.793340108535e-14 
   16       1.147603801277e-10       3.652324414459e-16       1.376739780625e-13       1.057246551743e-17       4.666383556529e-10       4.019324972157e-11      -3.240083000352e-14 
   17       1.162656813007e-10       4.136151758270e-16       1.458741283572e-13       1.190363620549e-17       4.217470939806e-10       3.649880421628e-11      -2.197205298703e-14 
   18       1.178343136789e-10       4.824351648849e-16       1.542135302315e-13       1.331505644417e-17       3.827827821656e-10       3.328369162018e-11      -1.139510381754e-14 
   19       1.194877398123e-10       5.725405004708e-16       1.629279032976e-13       1.480694697678e-17       3.491171399102e-10       3.052932893630e-11      -3.426482081648e-15 
   20       1.212271047219e-10       6.823076780358e-16       1.722233443159e-13       1.637951732448e-17       3.194664953250e-10       2.811974283094e-11      -9.472504131977e-17 
   21       1.230370005045e-10       8.108788921761e-16       1.820736783405e-13       1.803296618174e-17       2.933643338278e-10       2.598499059565e-11      -1.089246894666e-15 
   22       1.248706089789e-10       9.573574341795e-16       1.922994746913e-13       1.976747883640e-17       2.701820784412e-10       2.404235966688e-11      -4.891013320536e-15 
   23       1.267521213542e-10       1.121987195227e-15       2.025883948532e-13       2.158322917998e-17       2.496090874056e-10       2.230567190800e-11      -9.756350315960e-15 
   24       1.287040107710e-10       1.305173377111e-15       2.125324145593e-13       2.348037668187e-17       2.311752843112e-10       2.078952905158e-11      -1.374336838478e-14 
   25       1.307138588143e-10       1.506966753772e-15       2.217975454798e-13       2.545906903324e-17       2.146306543211e-10       1.943818169166e-11      -1.599264033458e-14 
   26       1.327466301282e-10       1.727460640959e-15       2.300832476964e-13       2.751944007909e-17       1.996515636680e-10       1.816678414717e-11      -1.611135986601e-14 
   27       1.348122117362e-10       1.968200096442e-15       2.373072607524e-13       2.966161677879e-17       1.861603695895e-10       1.697973943592e-11      -1.447548027878e-14 
   28       1.369205476248e-10       2.231417847079e-15       2.434784169085e-13       3.188571232508e-17       1.739935417452e-10       1.590327450987e-11      -1.189732056716e-14 
   29       1.390678489805e-10       2.519392245546e-15       2.486386729652e-13       3.419182636065e-17       1.628555738958e-10       1.495146430310e-11      -9.328614216912e-15 
   30       1.412583342151e-10       2.833282612499e-15       2.528446672667e-13       3.658005743398e-17       1.526849681594e-10       1.410836356961e-11      -7.275551869688e-15 
   31       1.434874063758e-10       3.173826837658e-15       2.561838577259e-13       3.905049410404e-17       1.434061003908e-10       1.333594920970e-11      -6.168966266336e-15 
   32       1.457406792487e-10       3.541709761328e-15       2.587371954583e-13       4.160321432886e-17       1.348720292440e-10       1.259156262475e-11      -6.345862419319e-15 
   33       1.480170268347e-10       3.937861780311e-15       2.604221252675e-13       4.423829692755e-17       1.270362568045e-10       1.187954234085e-11      -7.445660543664e-15 
   34       1.503115961125e-10       4.363259899559e-15       2.610902747717e-13       4.695581361228e-17       1.198294119994e-10       1.121757574815e-11      -8.776380757703e-15 
   35       1.526151221601e-10       4.818832570088e-15       2.605857947440e-13       4.975582885024e-17       1.131442456067e-10       1.061969089775e-11      -9.634175961759e-15 
   36       1.549365616877e-10       5.305411523828e-15       2.588134957466e-13       5.263841084140e-17       1.069633945308e-10       1.008448051061e-11      -9.913754085869e-15 
   37       1.572869006155e-10       5.823755851122e-15       2.556926546250e-13       5.560362411245e-17       1.012674625875e-10       9.602158778533e-12      -9.703987178064e-15 
   38       1.596723799918e-10       6.374558553711e-15       2.511385550318e-13       5.865152657022e-17       9.599639177002e-11       9.157049735421e-12      -9.129692302310e-15 
   39       1.620947128247e-10       6.958471034065e-15       2.450807299107e-13       6.178217128937e-17       9.107112109619e-11       8.732219174001e-12      -8.342279210262e-15 
   40       1.645533080973e-10       7.576198433434e-15       2.375259580397e-13       6.499561268316e-17       8.647657154317e-11       8.326472613172e-12      -7.481253874280e-15 
   41       1.670427832393e-10       8.228428663842e-15       2.285162075629e-13       6.829190238578e-17       8.220067777535e-11       7.942325934703e-12      -6.704133235467e-15 
   42       1.695516616911e-10       8.915803270974e-15       2.181130034625e-13       7.167108772267e-17       7.820962836069e-11       7.581277251989e-12      -6.199152508086e-15 
   43       1.720673084219e-10       9.638921748859e-15       2.063718780318e-13       7.513321066030e-17       7.446037217788e-11       7.243832256998e-12      -6.130609136167e-15 
   44       1.745938820618e-10       1.039836236171e-14       1.932535999478e-13       7.867830400595e-17       7.094712675572e-11       6.929836432019e-12      -6.450265805487e-15 
   45       1.771390506419e-10       1.119466335299e-14       1.786871178013e-13       8.230639420692e-17       6.766629106641e-11       6.638070867950e-12      -7.030175909576e-15 
   46       1.797087934127e-10       1.202831440896e-14       1.625932297268e-13       8.601750244128e-17       6.460248073137e-11       6.366038710715e-12      -7.712303277399e-15 
   47       1.823071970049e-10       1.289975445581e-14       1.448839956225e-13       8.981164465357e-17       6.172760942291e-11       6.109869348586e-12      -8.306750121465e-15 
   48       1.849364598837e-10       1.380936391414e-14       1.254780550249e-13       9.368882865889e-17       5.900953224015e-11       5.865453278619e-12      -8.641682132449e-15 
   49       1.875973828232e-10       1.475744402057e-14       1.043530581741e-13       9.764904440688e-17       5.644300035785e-11       5.632448557680e-12      -8.733880248942e-15 
   50       1.902886664711e-10       1.574422789241e-14       8.150700475279e-14       1.016922710345e-16       5.402585385912e-11       5.411239103966e-12      -8.663220759170e-15 
   51       1.930065266701e-10       1.676988313692e-14       5.694384686152e-14       1.058184794469e-16       5.174980145726e-11       5.201770412075e-12      -8.526019927190e-15 
   52       1.957445012445e-10       1.783450936570e-14       3.067371275236e-14       1.100276322034e-16       4.959998975329e-11       5.003516530078e-12      -8.435899550529e-15 
   53       1.984961102724e-10       1.893816272841e-14       2.704762659481e-15       1.143196827964e-16       4.755966738659e-11       4.815720197936e-12      -8.495794266709e-15 
